"TOA5","CR1000 Casc","CR1000","43359","CR1000.Std.22","CPU:Nyack_CASC_corrected 1hr.CR1","47364","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2018-08-15 00:00:00",1929,12.43
"2018-08-16 00:00:00",1930,12.41
"2018-08-17 00:00:00",1931,12.43
"2018-08-18 00:00:00",1932,12.41
"2018-08-19 00:00:00",1933,12.42
"2018-08-20 00:00:00",1934,12.41
"2018-08-21 00:00:00",1935,12.42
"2018-08-22 00:00:00",1936,12.35
"2018-08-23 00:00:00",1937,12.42
"2018-08-24 00:00:00",1938,12.41
"2018-08-25 00:00:00",1939,12.42
"2018-08-26 00:00:00",1940,12.42
"2018-08-27 00:00:00",1941,12.37
"2018-08-28 00:00:00",1942,12.35
"2018-08-29 00:00:00",1943,12.4
"2018-08-30 00:00:00",1944,12.39
"2018-08-31 00:00:00",1945,12.45
"2018-09-01 00:00:00",1946,12.49
"2018-09-02 00:00:00",1947,12.41
"2018-09-03 00:00:00",1948,12.36
"2018-09-04 00:00:00",1949,12.37
"2018-09-05 00:00:00",1950,12.4
"2018-09-06 00:00:00",1951,12.37
"2018-09-07 00:00:00",1952,12.36
"2018-09-08 00:00:00",1953,12.38
"2018-09-09 00:00:00",1954,12.37
"2018-09-10 00:00:00",1955,12.38
"2018-09-11 00:00:00",1956,12.37
"2018-09-12 00:00:00",1957,12.33
"2018-09-13 00:00:00",1958,12.31
"2018-09-14 00:00:00",1959,12.27
"2018-09-15 00:00:00",1960,12.3
"2018-09-16 00:00:00",1961,12.34
"2018-09-17 00:00:00",1962,12.31
"2018-09-18 00:00:00",1963,12.27
"2018-09-19 00:00:00",1964,12.33
"2018-09-20 00:00:00",1965,12.34
"2018-09-21 00:00:00",1966,12.39
"2018-09-22 00:00:00",1967,12.34
"2018-09-23 00:00:00",1968,12.33
"2018-09-24 00:00:00",1969,12.3
"2018-09-25 00:00:00",1970,12.29
"2018-09-26 00:00:00",1971,12.23
"2018-09-27 00:00:00",1972,12.31
"2018-09-28 00:00:00",1973,12.34
"2018-09-29 00:00:00",1974,12.24
"2018-09-30 00:00:00",1975,12.21
"2018-10-01 00:00:00",1976,12.2
"2018-10-02 00:00:00",1977,12.21
"2018-10-03 00:00:00",1978,12.14
"2018-10-04 00:00:00",1979,12.1
"2018-10-05 00:00:00",1980,12.07
"2018-10-06 00:00:00",1981,12.07
