"TOA5","CR1000_HA10","CR1000","43362","CR1000.Std.22","CPU:Nyack_HA10_corrected 1hr.CR1","40296","Table1"
"TIMESTAMP","RECORD","DoConc4","DoSat4","DO_W_T4","Cond4","Ct4","Cond_W_T4","Lvl_m4","Lvl_W_T4"
"TS","RN","mg/L","%","oC","mS/cm","mS/cm","Deg C","meters","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2013-04-01 00:00:00",11313,3.654,31.56,4.267,0.252,0.1473892,4.208,2.179,4.212
"2013-04-01 01:00:00",11314,3.659,31.6,4.259,0.252,0.1471873,4.238,2.18,4.214
"2013-04-01 02:00:00",11315,3.688,31.86,4.269,0.251,0.1471002,4.306,2.181,4.213
"2013-04-01 03:00:00",11316,3.71,32.05,4.272,0.251,0.1471002,4.269,2.182,4.215
"2013-04-01 04:00:00",11317,3.695,31.92,4.269,0.251,0.1471566,4.298,2.183,4.216
"2013-04-01 05:00:00",11318,3.65,31.53,4.264,0.252,0.1471572,4.23,2.184,4.218
"2013-04-01 06:00:00",11319,3.674,31.74,4.268,0.251,0.1470419,4.288,2.185,4.216
"2013-04-01 07:00:00",11320,3.656,31.58,4.266,0.251,0.1472726,4.288,2.185,4.219
"2013-04-01 08:00:00",11321,3.643,31.47,4.266,0.253,0.1477343,4.24,2.184,4.219
"2013-04-01 09:00:00",11322,3.625,31.31,4.262,0.252,0.1472161,4.211,2.185,4.221
"2013-04-01 10:00:00",11323,3.654,31.56,4.261,0.252,0.1472759,4.257,2.185,4.222
"2013-04-01 11:00:00",11324,3.653,31.54,4.261,0.252,0.1472219,4.241,2.185,4.221
"2013-04-01 12:00:00",11325,3.684,31.81,4.261,0.251,0.1472773,4.283,2.183,4.222
"2013-04-01 13:00:00",11326,3.661,31.62,4.266,0.252,0.1471954,4.251,2.186,4.223
"2013-04-01 14:00:00",11327,3.656,31.57,4.258,0.252,0.1472765,4.236,2.185,4.224
"2013-04-01 15:00:00",11328,3.689,31.86,4.261,0.251,0.1473597,4.298,2.188,4.225
"2013-04-01 16:00:00",11329,3.574,30.87,4.259,0.255,0.1489211,4.234,2.188,4.226
"2013-04-01 17:00:00",11330,3.614,31.22,4.264,0.27,0.1580221,4.257,2.191,4.226
"2013-04-01 18:00:00",11331,3.685,31.83,4.263,0.276,0.1613764,4.258,2.192,4.228
"2013-04-01 19:00:00",11332,3.639,31.43,4.262,0.278,0.1626411,4.291,2.192,4.228
"2013-04-01 20:00:00",11333,3.624,31.31,4.269,0.272,0.1591811,4.265,2.192,4.23
"2013-04-01 21:00:00",11334,3.568,30.81,4.262,0.276,0.1613541,4.232,2.193,4.228
"2013-04-01 22:00:00",11335,3.56,30.75,4.261,0.271,0.1583067,4.256,2.193,4.229
"2013-04-01 23:00:00",11336,3.559,30.74,4.259,0.275,0.1608012,4.285,2.195,4.231
"2013-04-02 00:00:00",11337,3.622,31.28,4.265,0.273,0.1596567,4.282,2.195,4.231
"2013-04-02 01:00:00",11338,3.654,31.55,4.258,0.253,0.1483697,4.269,2.196,4.234
"2013-04-02 02:00:00",11339,3.685,31.82,4.26,0.251,0.1468696,4.288,2.197,4.23
"2013-04-02 03:00:00",11340,3.607,31.15,4.26,0.251,0.1470403,4.288,2.198,4.232
"2013-04-02 04:00:00",11341,3.604,31.13,4.261,0.269,0.157377,4.249,2.199,4.231
"2013-04-02 05:00:00",11342,3.618,31.24,4.256,0.273,0.1600709,4.278,2.2,4.229
"2013-04-02 06:00:00",11343,3.569,30.83,4.265,0.275,0.1608926,4.288,2.2,4.232
"2013-04-02 07:00:00",11344,3.697,31.92,4.259,0.271,0.1584301,4.269,2.201,4.235
"2013-04-02 08:00:00",11345,3.638,31.42,4.259,0.255,0.1491208,4.278,2.2,4.234
"2013-04-02 09:00:00",11346,3.604,31.12,4.259,0.251,0.1467547,4.23,2.2,4.232
"2013-04-02 10:00:00",11347,3.576,30.88,4.257,0.252,0.1473897,4.247,2.2,4.235
"2013-04-02 11:00:00",11348,3.603,31.11,4.258,0.252,0.1476786,4.296,2.201,4.231
"2013-04-02 12:00:00",11349,3.644,31.47,4.261,0.252,0.1473713,4.262,2.2,4.234
"2013-04-02 13:00:00",11350,3.682,31.79,4.258,0.251,0.1468206,4.256,2.204,4.238
"2013-04-02 14:00:00",11351,3.66,31.61,4.258,0.251,0.1469074,4.243,2.202,4.237
"2013-04-02 15:00:00",11352,3.722,32.14,4.257,0.251,0.1466443,4.258,2.206,4.235
"2013-04-02 16:00:00",11353,3.608,31.16,4.259,0.252,0.1476789,4.313,2.204,4.237
"2013-04-02 17:00:00",11354,3.631,31.35,4.252,0.251,0.1469006,4.296,2.207,4.239
"2013-04-02 18:00:00",11355,3.588,30.99,4.261,0.251,0.1469309,4.313,2.208,4.241
"2013-04-02 19:00:00",11356,3.602,31.11,4.26,0.251,0.1471896,4.295,2.21,4.239
"2013-04-02 20:00:00",11357,3.566,30.79,4.257,0.251,0.1469595,4.242,2.212,4.24
"2013-04-02 21:00:00",11358,3.569,30.82,4.259,0.251,0.147013,4.284,2.213,4.236
"2013-04-02 22:00:00",11359,3.59,31.01,4.26,0.252,0.1476208,4.273,2.214,4.235
"2013-04-02 23:00:00",11360,3.52,30.4,4.261,0.251,0.1473228,4.292,2.215,4.237
"2013-04-03 00:00:00",11361,3.553,30.68,4.259,0.25,0.146756,4.293,2.216,4.246
"2013-04-03 01:00:00",11362,3.561,30.76,4.276,0.252,0.1471015,4.238,2.218,4.246
"2013-04-03 02:00:00",11363,3.471,29.99,4.27,0.251,0.1466744,4.241,2.22,4.238
"2013-04-03 03:00:00",11364,3.595,31.04,4.26,0.251,0.1469281,4.29,2.221,4.24
"2013-04-03 04:00:00",11365,3.553,30.68,4.259,0.251,0.1468119,4.232,2.222,4.242
"2013-04-03 05:00:00",11366,3.568,30.82,4.262,0.251,0.1470433,4.251,2.225,4.243
"2013-04-03 06:00:00",11367,3.606,31.14,4.259,0.25,0.1466965,4.299,2.226,4.245
"2013-04-03 07:00:00",11368,3.557,30.72,4.261,0.25,0.1466976,4.304,2.226,4.24
"2013-04-03 08:00:00",11369,3.495,30.19,4.261,0.251,0.1466976,4.281,2.228,4.244
"2013-04-03 09:00:00",11370,3.564,30.78,4.263,0.25,0.1464489,4.261,2.229,4.241
"2013-04-03 10:00:00",11371,3.495,30.19,4.277,0.251,0.1468713,4.275,2.23,4.246
"2013-04-03 11:00:00",11372,3.599,31.09,4.275,0.25,0.1466008,4.273,2.231,4.241
"2013-04-03 12:00:00",11373,3.503,30.26,4.269,0.251,0.1466993,4.244,2.229,4.24
"2013-04-03 13:00:00",11374,3.508,30.3,4.275,0.25,0.1467861,4.325,2.233,4.24
"2013-04-03 14:00:00",11375,3.562,30.77,4.275,0.25,0.1465301,4.285,2.238,4.242
"2013-04-03 15:00:00",11376,3.542,30.59,4.268,0.252,0.147679,4.309,2.235,4.24
"2013-04-03 16:00:00",11377,3.506,30.29,4.272,0.25,0.1467293,4.289,2.241,4.239
"2013-04-03 17:00:00",11378,3.513,30.35,4.276,0.251,0.1469611,4.318,2.241,4.24
"2013-04-03 18:00:00",11379,3.501,30.24,4.268,0.251,0.1469924,4.32,2.244,4.241
"2013-04-03 19:00:00",11380,3.491,30.16,4.275,0.251,0.1469294,4.32,2.245,4.239
"2013-04-03 20:00:00",11381,3.488,30.13,4.273,0.252,0.1475481,4.263,2.247,4.24
"2013-04-03 21:00:00",11382,3.483,30.09,4.269,0.25,0.1468711,4.317,2.248,4.243
"2013-04-03 22:00:00",11383,3.561,30.75,4.263,0.252,0.1473892,4.289,2.249,4.238
"2013-04-03 23:00:00",11384,3.483,30.09,4.27,0.251,0.1470433,4.295,2.25,4.24
"2013-04-04 00:00:00",11385,3.515,30.36,4.266,0.251,0.1469554,4.266,2.251,4.239
"2013-04-04 01:00:00",11386,3.516,30.37,4.269,0.251,0.1469566,4.258,2.252,4.24
"2013-04-04 02:00:00",11387,3.498,30.21,4.264,0.251,0.1469849,4.282,2.254,4.241
"2013-04-04 03:00:00",11388,3.493,30.17,4.265,0.251,0.1467543,4.288,2.255,4.24
"2013-04-04 04:00:00",11389,3.448,29.78,4.264,0.251,0.1467543,4.249,2.255,4.24
"2013-04-04 05:00:00",11390,3.482,30.07,4.264,0.251,0.1467544,4.249,2.256,4.242
"2013-04-04 06:00:00",11391,3.369,29.1,4.261,0.251,0.146811,4.298,2.257,4.242
"2013-04-04 07:00:00",11392,3.481,30.06,4.259,0.251,0.1469986,4.259,2.258,4.242
"2013-04-04 08:00:00",11393,3.541,30.59,4.272,0.252,0.1479079,4.317,2.258,4.239
"2013-04-04 09:00:00",11394,3.548,30.64,4.259,0.251,0.1469748,4.247,2.258,4.239
"2013-04-04 10:00:00",11395,3.545,30.61,4.26,0.252,0.1476201,4.285,2.258,4.239
"2013-04-04 11:00:00",11396,3.558,30.72,4.256,0.252,0.1473278,4.238,2.259,4.238
"2013-04-04 12:00:00",11397,3.484,30.08,4.26,0.251,0.1469297,4.254,2.259,4.241
"2013-04-04 13:00:00",11398,3.432,29.64,4.258,0.251,0.1467596,4.274,2.26,4.238
"2013-04-04 14:00:00",11399,3.49,30.13,4.256,0.251,0.1469631,4.308,2.26,4.238
"2013-04-04 15:00:00",11400,3.495,30.18,4.258,0.252,0.1473919,4.265,2.263,4.238
"2013-04-04 16:00:00",11401,3.528,30.46,4.254,0.262,0.1537734,4.304,2.263,4.238
"2013-04-04 17:00:00",11402,3.545,30.61,4.256,0.278,0.1626603,4.265,2.264,4.241
"2013-04-04 18:00:00",11403,3.5,30.22,4.256,0.283,0.1655178,4.242,2.264,4.24
"2013-04-04 19:00:00",11404,3.494,30.17,4.257,0.283,0.1654646,4.261,2.265,4.24
"2013-04-04 20:00:00",11405,3.498,30.21,4.256,0.283,0.1658376,4.273,2.265,4.241
"2013-04-04 21:00:00",11406,3.501,30.23,4.255,0.285,0.1671616,4.283,2.265,4.242
"2013-04-04 22:00:00",11407,3.559,30.73,4.254,0.268,0.1566032,4.244,2.266,4.238
"2013-04-04 23:00:00",11408,3.519,30.38,4.252,0.285,0.1664742,4.244,2.266,4.238
"2013-04-05 00:00:00",11409,3.489,30.13,4.253,0.275,0.1608219,4.254,2.267,4.238
"2013-04-05 01:00:00",11410,3.47,29.96,4.252,0.282,0.1650573,4.266,2.267,4.24
"2013-04-05 02:00:00",11411,3.456,29.85,4.255,0.277,0.1623486,4.298,2.268,4.24
"2013-04-05 03:00:00",11412,3.474,30,4.252,0.284,0.1662379,4.278,2.268,4.242
"2013-04-05 04:00:00",11413,3.435,29.66,4.256,0.269,0.1578943,4.294,2.269,4.24
"2013-04-05 05:00:00",11414,3.387,29.25,4.256,0.277,0.161996,4.225,2.27,4.237
"2013-04-05 06:00:00",11415,3.485,30.09,4.254,0.284,0.1667107,4.302,2.271,4.24
"2013-04-05 07:00:00",11416,3.451,29.8,4.255,0.275,0.1615261,4.324,2.272,4.242
"2013-04-05 08:00:00",11417,3.392,29.29,4.255,0.271,0.1587129,4.255,2.272,4.244
"2013-04-05 09:00:00",11418,3.402,29.38,4.256,0.252,0.1473134,4.264,2.273,4.243
"2013-04-05 10:00:00",11419,3.38,29.18,4.255,0.25,0.1466305,4.292,2.273,4.243
"2013-04-05 11:00:00",11420,3.466,29.93,4.254,0.25,0.1465845,4.292,2.273,4.242
"2013-04-05 12:00:00",11421,3.457,29.86,4.258,0.251,0.1466714,4.257,2.273,4.243
"2013-04-05 13:00:00",11422,3.423,29.56,4.257,0.25,0.146671,4.315,2.275,4.243
"2013-04-05 14:00:00",11423,3.439,29.69,4.256,0.25,0.1467803,4.313,2.278,4.243
"2013-04-05 15:00:00",11424,3.431,29.62,4.257,0.25,0.1465841,4.282,2.278,4.243
"2013-04-05 16:00:00",11425,3.461,29.89,4.257,0.251,0.1471599,4.312,2.278,4.244
"2013-04-05 17:00:00",11426,3.404,29.4,4.257,0.25,0.1465841,4.282,2.28,4.243
"2013-04-05 18:00:00",11427,3.405,29.41,4.256,0.25,0.1468327,4.321,2.282,4.243
"2013-04-05 19:00:00",11428,3.385,29.23,4.258,0.251,0.1467418,4.263,2.284,4.243
"2013-04-05 20:00:00",11429,3.402,29.38,4.257,0.25,0.1466408,4.322,2.285,4.246
"2013-04-05 21:00:00",11430,3.426,29.58,4.258,0.25,0.1466805,4.289,2.286,4.246
"2013-04-05 22:00:00",11431,3.464,29.91,4.258,0.25,0.1466976,4.289,2.287,4.244
"2013-04-05 23:00:00",11432,3.368,29.08,4.26,0.25,0.1466957,4.299,2.289,4.244
"2013-04-06 00:00:00",11433,3.356,28.98,4.258,0.25,0.1466962,4.299,2.291,4.246
"2013-04-06 01:00:00",11434,3.422,29.55,4.257,0.25,0.1465824,4.28,2.292,4.242
"2013-04-06 02:00:00",11435,3.459,29.87,4.264,0.25,0.1464672,4.241,2.294,4.242
"2013-04-06 03:00:00",11436,3.508,30.3,4.261,0.25,0.1464667,4.289,2.295,4.245
"2013-04-06 04:00:00",11437,3.399,29.35,4.257,0.25,0.1466976,4.328,2.297,4.244
"2013-04-06 05:00:00",11438,3.411,29.45,4.257,0.251,0.1466976,4.261,2.298,4.244
"2013-04-06 06:00:00",11439,3.409,29.43,4.258,0.25,0.1465824,4.261,2.299,4.245
"2013-04-06 07:00:00",11440,3.4,29.36,4.259,0.25,0.1466976,4.309,2.3,4.245
"2013-04-06 08:00:00",11441,3.41,29.44,4.258,0.251,0.1466972,4.27,2.301,4.246
"2013-04-06 09:00:00",11442,3.356,28.98,4.26,0.251,0.1466616,4.27,2.302,4.246
"2013-04-06 10:00:00",11443,3.304,28.54,4.259,0.25,0.1466409,4.279,2.303,4.247
"2013-04-06 11:00:00",11444,3.357,28.99,4.262,0.25,0.1467561,4.312,2.304,4.247
"2013-04-06 12:00:00",11445,3.367,29.08,4.26,0.251,0.1466165,4.244,2.303,4.246
"2013-04-06 13:00:00",11446,3.326,28.73,4.263,0.251,0.1468154,4.253,2.306,4.246
"2013-04-06 14:00:00",11447,3.353,28.95,4.258,0.25,0.1465746,4.279,2.307,4.245
"2013-04-06 15:00:00",11448,3.409,29.44,4.262,0.25,0.1465563,4.325,2.31,4.248
"2013-04-06 16:00:00",11449,3.369,29.1,4.266,0.251,0.1468135,4.26,2.311,4.248
"2013-04-06 17:00:00",11450,3.362,29.04,4.259,0.25,0.1467294,4.312,2.311,4.248
"2013-04-06 18:00:00",11451,3.351,28.95,4.267,0.25,0.1466388,4.283,2.312,4.248
"2013-04-06 19:00:00",11452,3.337,28.82,4.259,0.251,0.1466408,4.266,2.314,4.248
"2013-04-06 20:00:00",11453,3.288,28.39,4.258,0.25,0.1466961,4.319,2.314,4.249
"2013-04-06 21:00:00",11454,3.309,28.58,4.261,0.251,0.1468128,4.251,2.315,4.248
"2013-04-06 22:00:00",11455,3.221,27.82,4.26,0.251,0.1466976,4.271,2.316,4.246
"2013-04-06 23:00:00",11456,3.21,27.72,4.264,0.25,0.1468128,4.31,2.317,4.248
"2013-04-07 00:00:00",11457,3.227,27.87,4.261,0.251,0.1469281,4.311,2.318,4.249
"2013-04-07 01:00:00",11458,3.274,28.28,4.261,0.251,0.1466976,4.255,2.319,4.248
"2013-04-07 02:00:00",11459,3.243,28.01,4.271,0.251,0.1468128,4.295,2.319,4.249
"2013-04-07 03:00:00",11460,3.226,27.87,4.267,0.251,0.1468375,4.295,2.32,4.249
"2013-04-07 04:00:00",11461,3.176,27.42,4.259,0.251,0.1468242,4.305,2.321,4.25
"2013-04-07 05:00:00",11462,3.196,27.6,4.26,0.25,0.1467193,4.314,2.321,4.25
"2013-04-07 06:00:00",11463,3.164,27.33,4.259,0.251,0.1468444,4.237,2.321,4.251
"2013-04-07 07:00:00",11464,3.163,27.31,4.258,0.25,0.1467262,4.305,2.321,4.251
"2013-04-07 08:00:00",11465,3.213,27.74,4.258,0.251,0.1467207,4.247,2.321,4.252
"2013-04-07 09:00:00",11466,3.198,27.62,4.258,0.25,0.1466977,4.324,2.321,4.252
"2013-04-07 10:00:00",11467,3.154,27.24,4.257,0.251,0.1470434,4.28,2.321,4.252
"2013-04-07 11:00:00",11468,3.249,28.06,4.258,0.25,0.1468715,4.316,2.321,4.252
"2013-04-07 12:00:00",11469,3.168,27.36,4.257,0.251,0.1466409,4.254,2.322,4.254
"2013-04-07 13:00:00",11470,3.217,27.78,4.256,0.251,0.1466318,4.244,2.32,4.254
"2013-04-07 14:00:00",11471,3.191,27.56,4.257,0.251,0.1467404,4.235,2.321,4.254
"2013-04-07 15:00:00",11472,3.242,28,4.256,0.251,0.146756,4.278,2.321,4.255
"2013-04-07 16:00:00",11473,3.172,27.39,4.256,0.251,0.1469278,4.27,2.319,4.257
"2013-04-07 17:00:00",11474,3.257,28.12,4.254,0.25,0.1465824,4.333,2.319,4.256
"2013-04-07 18:00:00",11475,3.181,27.46,4.25,0.251,0.1466976,4.276,2.319,4.257
"2013-04-07 19:00:00",11476,3.257,28.12,4.25,0.25,0.1465941,4.305,2.318,4.257
"2013-04-07 20:00:00",11477,3.196,27.6,4.257,0.251,0.1469585,4.276,2.317,4.259
"2013-04-07 21:00:00",11478,3.295,28.45,4.248,0.25,0.1466196,4.276,2.316,4.259
"2013-04-07 22:00:00",11479,3.386,29.22,4.232,0.25,0.1466362,4.31,2.315,4.258
"2013-04-07 23:00:00",11480,3.242,27.98,4.238,0.25,0.1466392,4.322,2.314,4.255
"2013-04-08 00:00:00",11481,3.319,28.64,4.241,0.251,0.1468696,4.244,2.313,4.256
"2013-04-08 01:00:00",11482,3.346,28.87,4.231,0.25,0.146524,4.256,2.311,4.257
"2013-04-08 02:00:00",11483,3.414,29.46,4.233,0.25,0.146524,4.249,2.311,4.255
"2013-04-08 03:00:00",11484,3.454,29.8,4.232,0.251,0.1467543,4.288,2.31,4.253
"2013-04-08 04:00:00",11485,3.346,28.88,4.233,0.251,0.1467543,4.269,2.309,4.252
"2013-04-08 05:00:00",11486,3.346,28.87,4.23,0.252,0.1478125,4.298,2.307,4.253
"2013-04-08 06:00:00",11487,3.431,29.6,4.226,0.255,0.1495825,4.317,2.307,4.259
"2013-04-08 07:00:00",11488,3.374,29.12,4.231,0.254,0.1486583,4.24,2.305,4.261
"2013-04-08 08:00:00",11489,3.443,29.71,4.223,0.252,0.1475033,4.307,2.303,4.253
"2013-04-08 09:00:00",11490,3.463,29.88,4.23,0.25,0.1467594,4.298,2.301,4.257
"2013-04-08 10:00:00",11491,3.469,29.92,4.219,0.251,0.146985,4.23,2.301,4.259
"2013-04-08 11:00:00",11492,3.482,30.03,4.216,0.253,0.1476566,4.218,2.299,4.26
"2013-04-08 12:00:00",11493,3.482,30.05,4.231,0.251,0.146813,4.247,2.297,4.261
"2013-04-08 13:00:00",11494,3.731,32.19,4.227,0.249,0.1461217,4.319,2.298,4.253
"2013-04-08 14:00:00",11495,3.632,31.34,4.228,0.251,0.1465824,4.232,2.296,4.253
"2013-04-08 15:00:00",11496,3.761,32.44,4.218,0.25,0.1461216,4.26,2.294,4.256
"2013-04-08 16:00:00",11497,3.673,31.68,4.213,0.256,0.149751,4.295,2.293,4.263
"2013-04-08 17:00:00",11498,3.533,30.47,4.211,0.255,0.1492941,4.248,2.294,4.262
"2013-04-08 18:00:00",11499,3.585,30.92,4.207,0.256,0.1498147,4.244,2.292,4.263
"2013-04-08 19:00:00",11500,3.582,30.89,4.207,0.285,0.166572,4.208,2.291,4.261
"2013-04-08 20:00:00",11501,3.658,31.54,4.205,0.334,0.1954066,4.248,2.289,4.262
"2013-04-08 21:00:00",11502,3.523,30.39,4.22,0.313,0.1833692,4.307,2.288,4.25
"2013-04-08 22:00:00",11503,3.577,30.84,4.206,0.316,0.1849922,4.278,2.286,4.242
"2013-04-08 23:00:00",11504,3.64,31.39,4.206,0.316,0.1849922,4.249,2.285,4.246
"2013-04-09 00:00:00",11505,3.606,31.09,4.207,0.327,0.1913193,4.24,2.284,4.247
"2013-04-09 01:00:00",11506,3.597,31.01,4.198,0.314,0.1839337,4.252,2.283,4.246
"2013-04-09 02:00:00",11507,3.606,31.1,4.202,0.332,0.194076,4.225,2.282,4.253
"2013-04-09 03:00:00",11508,3.658,31.54,4.205,0.335,0.1958078,4.233,2.28,4.26
"2013-04-09 04:00:00",11509,3.775,32.56,4.204,0.334,0.1954391,4.233,2.279,4.257
"2013-04-09 05:00:00",11510,3.744,32.27,4.195,0.33,0.1926184,4.204,2.278,4.263
"2013-04-09 06:00:00",11511,3.791,32.69,4.203,0.338,0.1972842,4.223,2.277,4.262
"2013-04-09 07:00:00",11512,3.714,32.03,4.203,0.328,0.1918843,4.223,2.275,4.261
"2013-04-09 08:00:00",11513,3.504,30.21,4.205,0.318,0.1864001,4.281,2.274,4.255
"2013-04-09 09:00:00",11514,3.615,31.18,4.211,0.325,0.1904657,4.28,2.272,4.256
"2013-04-09 10:00:00",11515,3.671,31.66,4.208,0.32,0.1871634,4.221,2.271,4.254
"2013-04-09 11:00:00",11516,3.599,31.02,4.192,0.32,0.1875585,4.272,2.27,4.253
"2013-04-09 12:00:00",11517,3.681,31.75,4.207,0.316,0.1853307,4.294,2.268,4.25
"2013-04-09 13:00:00",11518,3.612,31.15,4.208,0.318,0.1862108,4.274,2.269,4.252
"2013-04-09 14:00:00",11519,3.667,31.63,4.21,0.323,0.1893142,4.283,2.269,4.261
"2013-04-09 15:00:00",11520,3.639,31.38,4.205,0.319,0.1865382,4.263,2.263,4.261
"2013-04-09 16:00:00",11521,3.644,31.42,4.206,0.313,0.1833386,4.289,2.271,4.255
"2013-04-09 17:00:00",11522,3.618,31.2,4.209,0.257,0.1503923,4.224,2.266,4.262
"2013-04-09 18:00:00",11523,3.609,31.12,4.206,0.251,0.1468487,4.302,2.265,4.262
"2013-04-09 19:00:00",11524,3.502,30.2,4.203,0.252,0.1474473,4.273,2.264,4.264
"2013-04-09 20:00:00",11525,3.55,30.61,4.207,0.252,0.14785,4.318,2.263,4.26
"2013-04-09 21:00:00",11526,3.563,30.73,4.207,0.251,0.1468128,4.273,2.262,4.262
"2013-04-09 22:00:00",11527,3.611,31.14,4.205,0.251,0.1473892,4.314,2.258,4.264
"2013-04-09 23:00:00",11528,3.552,30.62,4.19,0.253,0.1478506,4.266,2.26,4.263
"2013-04-10 00:00:00",11529,3.507,30.24,4.204,0.257,0.1504137,4.276,2.258,4.26
"2013-04-10 01:00:00",11530,3.587,30.93,4.203,0.253,0.1481081,4.256,2.257,4.262
"2013-04-10 02:00:00",11531,3.605,31.09,4.207,0.251,0.1466977,4.237,2.256,4.261
"2013-04-10 03:00:00",11532,3.535,30.48,4.205,0.256,0.1500462,4.295,2.256,4.258
