"TOA5","CR1000_HA12","CR1000","43364","CR1000.Std.22","CPU:Nyack_HA12_corrected 1 hr.CR1","18026","Table1"
"TIMESTAMP","RECORD","DoConc5","DoSat5","DO_W_T5","Cond5","Ct5","Cond_W_T5","Lvl_m5","Lvl_W_T5"
"TS","RN","mg/L","%","oC","mS/cm","mS/cm","Deg C","meters","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2013-04-01 00:00:00",7427,5.341,42.86,1.532,0.324,0.1721286,1.571,2.912,1.589
"2013-04-01 01:00:00",7428,5.315,42.66,1.541,0.326,0.173326,1.59,2.915,1.593
"2013-04-01 02:00:00",7429,5.291,42.47,1.547,0.331,0.1758552,1.599,2.918,1.591
"2013-04-01 03:00:00",7430,5.185,41.62,1.546,0.336,0.1789397,1.597,2.92,1.584
"2013-04-01 04:00:00",7431,5.207,41.8,1.546,0.34,0.1812008,1.63,2.923,1.583
"2013-04-01 05:00:00",7432,5.277,42.36,1.543,0.344,0.1828712,1.601,2.926,1.58
"2013-04-01 06:00:00",7433,5.366,43.07,1.545,0.346,0.1838273,1.592,2.928,1.58
"2013-04-01 07:00:00",7434,4.913,39.44,1.542,0.346,0.1842121,1.592,2.93,1.577
"2013-04-01 08:00:00",7435,5.198,41.71,1.534,0.346,0.1840689,1.62,2.933,1.577
"2013-04-01 09:00:00",7436,5.574,44.74,1.541,0.346,0.1840089,1.619,2.935,1.579
"2013-04-01 10:00:00",7437,5.258,42.18,1.523,0.346,0.183954,1.56,2.938,1.571
"2013-04-01 11:00:00",7438,5.322,42.7,1.527,0.346,0.1838026,1.58,2.94,1.575
"2013-04-01 12:00:00",7439,5.392,43.26,1.523,0.345,0.1837304,1.606,2.943,1.575
"2013-04-01 13:00:00",7440,5.525,44.32,1.524,0.346,0.1835388,1.552,2.945,1.571
"2013-04-01 14:00:00",7441,5.74,46.05,1.523,0.345,0.1834669,1.571,2.949,1.57
"2013-04-01 15:00:00",7442,5.38,43.16,1.523,0.344,0.1831574,1.593,2.952,1.57
"2013-04-01 16:00:00",7443,5.236,42,1.518,0.345,0.1830373,1.554,2.956,1.57
"2013-04-01 17:00:00",7444,5.493,44.05,1.511,0.344,0.182918,1.564,2.961,1.569
"2013-04-01 18:00:00",7445,5.53,44.35,1.514,0.343,0.1826164,1.583,2.964,1.567
"2013-04-01 19:00:00",7446,5.288,42.4,1.507,0.344,0.1824646,1.559,2.968,1.566
"2013-04-01 20:00:00",7447,5.309,42.57,1.503,0.344,0.1824172,1.539,2.972,1.565
"2013-04-01 21:00:00",7448,5.352,42.91,1.499,0.343,0.1822504,1.579,2.976,1.564
"2013-04-01 22:00:00",7449,5.474,43.88,1.497,0.342,0.1820462,1.595,2.979,1.563
"2013-04-01 23:00:00",7450,5.559,44.56,1.499,0.343,0.1820834,1.552,2.983,1.561
"2013-04-02 00:00:00",7451,5.591,44.82,1.501,0.342,0.1818449,1.59,2.987,1.557
"2013-04-02 01:00:00",7452,5.181,41.53,1.497,0.342,0.1817743,1.571,2.99,1.562
"2013-04-02 02:00:00",7453,5.279,42.32,1.497,0.342,0.1816777,1.555,2.994,1.555
"2013-04-02 03:00:00",7454,5.435,43.57,1.496,0.342,0.181797,1.543,2.998,1.556
"2013-04-02 04:00:00",7455,5.441,43.62,1.498,0.342,0.1816777,1.544,3.002,1.555
"2013-04-02 05:00:00",7456,5.5,44.09,1.492,0.342,0.1816777,1.563,3.006,1.552
"2013-04-02 06:00:00",7457,5.631,45.14,1.495,0.342,0.1816786,1.563,3.01,1.548
"2013-04-02 07:00:00",7458,5.965,47.82,1.499,0.342,0.1815908,1.553,3.013,1.547
"2013-04-02 08:00:00",7459,5.863,46.99,1.486,0.342,0.1816792,1.525,3.016,1.544
"2013-04-02 09:00:00",7460,5.389,43.18,1.481,0.342,0.1817284,1.561,3.02,1.543
"2013-04-02 10:00:00",7461,5.768,46.21,1.473,0.342,0.1816569,1.575,3.022,1.541
"2013-04-02 11:00:00",7462,5.564,44.57,1.476,0.342,0.181738,1.54,3.025,1.535
"2013-04-02 12:00:00",7463,5.775,46.27,1.478,0.342,0.1816392,1.577,3.027,1.532
"2013-04-02 13:00:00",7464,5.502,44.08,1.476,0.341,0.1813227,1.595,3.029,1.532
"2013-04-02 14:00:00",7465,5.832,46.72,1.472,0.34,0.1808943,1.564,3.032,1.532
"2013-04-02 15:00:00",7466,6.028,48.29,1.471,0.34,0.181013,1.607,3.037,1.533
"2013-04-02 16:00:00",7467,5.721,45.83,1.47,0.341,0.1810129,1.551,3.04,1.532
"2013-04-02 17:00:00",7468,5.579,44.69,1.47,0.341,0.1810129,1.554,3.044,1.53
"2013-04-02 18:00:00",7469,5.699,45.65,1.472,0.341,0.181047,1.574,3.048,1.529
"2013-04-02 19:00:00",7470,5.692,45.59,1.471,0.34,0.180727,1.584,3.051,1.529
"2013-04-02 20:00:00",7471,5.217,41.79,1.473,0.34,0.1806788,1.57,3.054,1.527
"2013-04-02 21:00:00",7472,5.42,43.42,1.47,0.34,0.1806788,1.562,3.058,1.529
"2013-04-02 22:00:00",7473,5.429,43.49,1.473,0.341,0.1807978,1.543,3.061,1.528
"2013-04-02 23:00:00",7474,5.436,43.55,1.473,0.341,0.1811548,1.538,3.065,1.526
"2013-04-03 00:00:00",7475,5.357,42.92,1.477,0.343,0.1819402,1.51,3.068,1.524
"2013-04-03 01:00:00",7476,5.086,40.74,1.47,0.345,0.1829385,1.535,3.072,1.524
"2013-04-03 02:00:00",7477,5.06,40.53,1.468,0.347,0.1841602,1.531,3.076,1.52
"2013-04-03 03:00:00",7478,5.524,44.25,1.472,0.348,0.1846394,1.535,3.08,1.52
"2013-04-03 04:00:00",7479,5.321,42.62,1.47,0.349,0.185138,1.507,3.083,1.517
"2013-04-03 05:00:00",7480,5.146,41.21,1.466,0.35,0.1856322,1.527,3.088,1.515
"2013-04-03 06:00:00",7481,5.357,42.9,1.463,0.35,0.1856336,1.503,3.093,1.511
"2013-04-03 07:00:00",7482,5.107,40.91,1.466,0.35,0.1856345,1.542,3.097,1.511
"2013-04-03 08:00:00",7483,5.598,44.82,1.452,0.35,0.1856337,1.519,3.102,1.509
"2013-04-03 09:00:00",7484,5.234,41.9,1.446,0.35,0.1855972,1.517,3.106,1.507
"2013-04-03 10:00:00",7485,5.331,42.7,1.466,0.327,0.173474,1.521,3.111,1.505
"2013-04-03 11:00:00",7486,6.155,49.25,1.433,0.326,0.1728185,1.503,3.117,1.525
"2013-04-03 12:00:00",7487,6.685,53.45,1.4,0.326,0.1726336,1.509,3.124,1.495
"2013-04-03 13:00:00",7488,6.911,55.27,1.413,0.325,0.1721626,1.513,3.133,1.491
"2013-04-03 14:00:00",7489,6.772,54.13,1.391,0.324,0.171922,1.508,3.141,1.486
"2013-04-03 15:00:00",7490,6.536,52.24,1.391,0.325,0.1719782,1.46,3.149,1.5
"2013-04-03 16:00:00",7491,6.888,55.04,1.381,0.325,0.1723506,1.489,3.157,1.502
"2013-04-03 17:00:00",7492,6.457,51.59,1.375,0.326,0.1726858,1.499,3.164,1.494
"2013-04-03 18:00:00",7493,6.524,52.18,1.419,0.326,0.1726327,1.48,3.171,1.495
"2013-04-03 19:00:00",7494,6.448,51.58,1.417,0.326,0.1727552,1.479,3.176,1.494
"2013-04-03 20:00:00",7495,6.675,53.4,1.422,0.326,0.1727005,1.491,3.181,1.497
"2013-04-03 21:00:00",7496,6.61,52.82,1.383,0.326,0.1727665,1.492,3.185,1.491
"2013-04-03 22:00:00",7497,6.955,55.61,1.406,0.326,0.1728858,1.484,3.189,1.494
"2013-04-03 23:00:00",7498,6.808,54.41,1.387,0.326,0.1729177,1.489,3.192,1.49
"2013-04-04 00:00:00",7499,6.722,53.74,1.398,0.327,0.1729494,1.484,3.194,1.492
"2013-04-04 01:00:00",7500,6.451,51.56,1.386,0.327,0.1730712,1.475,3.197,1.484
"2013-04-04 02:00:00",7501,7.09,56.67,1.39,0.327,0.1731891,1.456,3.199,1.486
"2013-04-04 03:00:00",7502,6.073,48.62,1.447,0.327,0.1733656,1.494,3.201,1.485
"2013-04-04 04:00:00",7503,6.121,49.01,1.456,0.328,0.1736107,1.496,3.202,1.467
"2013-04-04 05:00:00",7504,6.637,53.12,1.442,0.328,0.1737288,1.45,3.204,1.465
"2013-04-04 06:00:00",7505,6.297,50.4,1.445,0.329,0.1738468,1.455,3.206,1.466
"2013-04-04 07:00:00",7506,6.415,51.31,1.418,0.329,0.1739648,1.448,3.207,1.463
"2013-04-04 08:00:00",7507,6.656,53.29,1.448,0.329,0.1739648,1.445,3.208,1.462
"2013-04-04 09:00:00",7508,6.62,52.98,1.442,0.327,0.1736639,1.533,3.21,1.461
"2013-04-04 10:00:00",7509,6.531,52.26,1.432,0.328,0.1736074,1.433,3.212,1.457
"2013-04-04 11:00:00",7510,6.658,53.26,1.424,0.329,0.1736546,1.423,3.214,1.458
"2013-04-04 12:00:00",7511,6.505,52.06,1.435,0.326,0.17266,1.481,3.216,1.457
"2013-04-04 13:00:00",7512,6.695,53.51,1.394,0.326,0.1726333,1.475,3.217,1.455
"2013-04-04 14:00:00",7513,6.653,53.21,1.416,0.326,0.1723308,1.451,3.219,1.454
"2013-04-04 15:00:00",7514,6.62,52.94,1.406,0.324,0.1715709,1.47,3.221,1.452
"2013-04-04 16:00:00",7515,6.512,52.01,1.365,0.325,0.1719173,1.43,3.222,1.451
"2013-04-04 17:00:00",7516,6.261,50.07,1.412,0.325,0.1717138,1.431,3.224,1.451
"2013-04-04 18:00:00",7517,6.685,53.49,1.427,0.324,0.1716253,1.449,3.226,1.449
"2013-04-04 19:00:00",7518,6.204,49.63,1.419,0.324,0.1714571,1.447,3.229,1.446
"2013-04-04 20:00:00",7519,6.346,50.7,1.373,0.324,0.1712853,1.452,3.233,1.447
"2013-04-04 21:00:00",7520,6.37,50.97,1.436,0.324,0.1714064,1.424,3.238,1.446
"2013-04-04 22:00:00",7521,6.651,53.19,1.414,0.324,0.1714064,1.465,3.242,1.449
"2013-04-04 23:00:00",7522,6.972,55.76,1.41,0.324,0.1712888,1.45,3.245,1.466
"2013-04-05 00:00:00",7523,7.478,59.82,1.421,0.324,0.1713523,1.434,3.248,1.465
"2013-04-05 01:00:00",7524,6.819,54.58,1.442,0.324,0.1713556,1.473,3.25,1.463
"2013-04-05 02:00:00",7525,7.296,58.39,1.438,0.324,0.1713557,1.445,3.253,1.459
"2013-04-05 03:00:00",7526,7.411,59.3,1.427,0.324,0.1714733,1.435,3.255,1.458
"2013-04-05 04:00:00",7527,7.109,56.87,1.419,0.325,0.1718201,1.425,3.258,1.454
"2013-04-05 05:00:00",7528,7.156,57.24,1.417,0.326,0.1724118,1.445,3.261,1.45
"2013-04-05 06:00:00",7529,6.309,50.46,1.417,0.327,0.1730806,1.463,3.264,1.446
"2013-04-05 07:00:00",7530,6.682,53.44,1.416,0.329,0.1738015,1.444,3.268,1.445
"2013-04-05 08:00:00",7531,7.153,57.2,1.409,0.33,0.1745041,1.425,3.272,1.441
"2013-04-05 09:00:00",7532,6.918,55.31,1.403,0.331,0.1750593,1.448,3.277,1.438
"2013-04-05 10:00:00",7533,7.414,59.26,1.391,0.331,0.1749412,1.405,3.282,1.433
"2013-04-05 11:00:00",7534,7.034,56.18,1.365,0.328,0.1735964,1.424,3.287,1.43
"2013-04-05 12:00:00",7535,7.739,61.87,1.394,0.326,0.1723979,1.437,3.294,1.428
"2013-04-05 13:00:00",7536,7.596,60.7,1.379,0.322,0.1698136,1.399,3.301,1.418
"2013-04-05 14:00:00",7537,7.854,62.69,1.34,0.318,0.1680566,1.447,3.308,1.416
"2013-04-05 15:00:00",7538,8.56,68.35,1.337,0.308,0.1626055,1.433,3.318,1.41
"2013-04-05 16:00:00",7539,8.74,69.7,1.326,0.3,0.1585759,1.385,3.327,1.409
"2013-04-05 17:00:00",7540,8.86,70.74,1.363,0.296,0.1562726,1.366,3.337,1.405
"2013-04-05 18:00:00",7541,8.84,70.6,1.346,0.292,0.1543189,1.405,3.346,1.405
"2013-04-05 19:00:00",7542,9.04,72.15,1.338,0.291,0.1534002,1.376,3.355,1.404
"2013-04-05 20:00:00",7543,9.08,72.54,1.365,0.287,0.1512622,1.384,3.363,1.401
"2013-04-05 21:00:00",7544,9.12,72.84,1.368,0.284,0.1500219,1.416,3.371,1.394
"2013-04-05 22:00:00",7545,9.16,73.12,1.344,0.279,0.1471691,1.378,3.379,1.393
"2013-04-05 23:00:00",7546,9.19,73.34,1.339,0.273,0.1439868,1.411,3.386,1.387
"2013-04-06 00:00:00",7547,9.23,73.66,1.339,0.269,0.1421536,1.391,3.394,1.383
"2013-04-06 01:00:00",7548,9.22,73.59,1.342,0.264,0.1394063,1.389,3.401,1.38
"2013-04-06 02:00:00",7549,9.14,72.97,1.337,0.262,0.1382111,1.391,3.406,1.38
"2013-04-06 03:00:00",7550,9.26,73.88,1.338,0.259,0.1363842,1.374,3.412,1.377
"2013-04-06 04:00:00",7551,9.24,73.72,1.336,0.255,0.1347363,1.383,3.418,1.373
"2013-04-06 05:00:00",7552,9.24,73.74,1.325,0.253,0.1332607,1.374,3.423,1.374
"2013-04-06 06:00:00",7553,9.28,74.04,1.341,0.252,0.1328894,1.402,3.425,1.372
"2013-04-06 07:00:00",7554,9.29,74.14,1.339,0.25,0.13208,1.383,3.427,1.374
"2013-04-06 08:00:00",7555,9.25,73.82,1.338,0.25,0.1317206,1.383,3.434,1.371
"2013-04-06 09:00:00",7556,9.2,73.41,1.328,0.248,0.13082,1.378,3.44,1.367
"2013-04-06 10:00:00",7557,9.19,73.35,1.333,0.246,0.1295875,1.368,3.444,1.368
"2013-04-06 11:00:00",7558,9.21,73.5,1.334,0.245,0.1290998,1.367,3.448,1.369
"2013-04-06 12:00:00",7559,9.19,73.32,1.339,0.244,0.1287744,1.35,3.45,1.373
"2013-04-06 13:00:00",7560,9.32,74.41,1.338,0.244,0.1287586,1.376,3.453,1.376
"2013-04-06 14:00:00",7561,9.4,75.01,1.338,0.245,0.1292021,1.357,3.455,1.381
"2013-04-06 15:00:00",7562,9.4,75.01,1.342,0.247,0.1300948,1.38,3.456,1.384
"2013-04-06 16:00:00",7563,9.41,75.09,1.338,0.25,0.1316887,1.38,3.458,1.385
"2013-04-06 17:00:00",7564,9.41,75.09,1.338,0.253,0.1337574,1.385,3.458,1.387
"2013-04-06 18:00:00",7565,9.42,75.22,1.336,0.257,0.1356845,1.376,3.459,1.391
"2013-04-06 19:00:00",7566,9.39,74.97,1.355,0.26,0.1374138,1.396,3.46,1.391
"2013-04-06 20:00:00",7567,9.35,74.63,1.34,0.262,0.1382018,1.358,3.461,1.388
"2013-04-06 21:00:00",7568,9.4,75.05,1.358,0.263,0.1384615,1.371,3.462,1.389
"2013-04-06 22:00:00",7569,9.39,74.95,1.339,0.265,0.1397771,1.392,3.462,1.391
"2013-04-06 23:00:00",7570,9.41,75.12,1.351,0.269,0.1417709,1.392,3.461,1.39
"2013-04-07 00:00:00",7571,9.35,74.63,1.34,0.273,0.1436972,1.364,3.46,1.392
"2013-04-07 01:00:00",7572,9.03,72.11,1.343,0.277,0.1462585,1.383,3.459,1.392
"2013-04-07 02:00:00",7573,8.82,70.42,1.356,0.284,0.1498222,1.376,3.457,1.392
"2013-04-07 03:00:00",7574,8.25,65.86,1.34,0.29,0.1532879,1.408,3.456,1.391
"2013-04-07 04:00:00",7575,7.976,63.64,1.333,0.301,0.1587047,1.37,3.454,1.391
"2013-04-07 05:00:00",7576,7.476,59.67,1.339,0.31,0.1634644,1.398,3.452,1.39
"2013-04-07 06:00:00",7577,7.755,61.9,1.342,0.317,0.1674334,1.417,3.449,1.392
"2013-04-07 07:00:00",7578,7.827,62.48,1.341,0.325,0.1714225,1.37,3.447,1.391
"2013-04-07 08:00:00",7579,7.62,60.83,1.345,0.329,0.1736608,1.398,3.444,1.391
"2013-04-07 09:00:00",7580,7.447,59.44,1.342,0.329,0.1736304,1.379,3.442,1.393
"2013-04-07 10:00:00",7581,7.381,58.92,1.349,0.33,0.1741832,1.392,3.439,1.394
"2013-04-07 11:00:00",7582,7.25,57.9,1.361,0.335,0.1767781,1.387,3.436,1.395
"2013-04-07 12:00:00",7583,7.457,59.51,1.339,0.335,0.1767155,1.392,3.433,1.395
"2013-04-07 13:00:00",7584,7.229,57.72,1.352,0.335,0.1768331,1.37,3.43,1.395
"2013-04-07 14:00:00",7585,7.275,58.1,1.364,0.337,0.1774252,1.361,3.427,1.397
"2013-04-07 15:00:00",7586,7.479,59.74,1.365,0.337,0.1779688,1.368,3.424,1.398
"2013-04-07 16:00:00",7587,7.519,60.05,1.366,0.339,0.1786807,1.373,3.422,1.398
"2013-04-07 17:00:00",7588,7.129,56.94,1.365,0.34,0.1793935,1.364,3.418,1.399
"2013-04-07 18:00:00",7589,7.003,55.94,1.365,0.343,0.1810617,1.412,3.414,1.4
"2013-04-07 19:00:00",7590,7.326,58.52,1.366,0.346,0.182883,1.395,3.41,1.405
"2013-04-07 20:00:00",7591,7.914,63.21,1.366,0.351,0.1855499,1.398,3.407,1.404
"2013-04-07 21:00:00",7592,7.94,63.42,1.364,0.358,0.1891531,1.437,3.403,1.406
"2013-04-07 22:00:00",7593,7.198,57.49,1.365,0.36,0.1899962,1.389,3.4,1.408
"2013-04-07 23:00:00",7594,7.276,58.12,1.367,0.361,0.1907197,1.417,3.396,1.409
"2013-04-08 00:00:00",7595,7.312,58.41,1.37,0.366,0.1936199,1.417,3.392,1.409
"2013-04-08 01:00:00",7596,7.268,58.05,1.368,0.371,0.1956813,1.379,3.387,1.409
"2013-04-08 02:00:00",7597,7.441,59.44,1.37,0.371,0.1960906,1.398,3.383,1.409
"2013-04-08 03:00:00",7598,7.219,57.66,1.365,0.371,0.1958793,1.408,3.379,1.41
"2013-04-08 04:00:00",7599,7.331,58.55,1.364,0.37,0.1956369,1.411,3.375,1.41
"2013-04-08 05:00:00",7600,7.152,57.14,1.372,0.369,0.1950299,1.408,3.371,1.411
"2013-04-08 06:00:00",7601,7.137,57.01,1.368,0.372,0.1964874,1.419,3.366,1.411
"2013-04-08 07:00:00",7602,7.117,56.84,1.365,0.375,0.1981911,1.39,3.363,1.411
"2013-04-08 08:00:00",7603,6.883,54.98,1.373,0.377,0.1994103,1.438,3.359,1.413
"2013-04-08 09:00:00",7604,6.957,55.58,1.372,0.377,0.1994103,1.428,3.355,1.413
"2013-04-08 10:00:00",7605,6.92,55.28,1.371,0.379,0.2000206,1.418,3.352,1.413
"2013-04-08 11:00:00",7606,6.881,54.98,1.378,0.378,0.1995769,1.389,3.348,1.414
"2013-04-08 12:00:00",7607,6.95,55.52,1.371,0.378,0.1996975,1.418,3.344,1.414
"2013-04-08 13:00:00",7608,7.1,56.73,1.381,0.38,0.2007964,1.389,3.341,1.414
"2013-04-08 14:00:00",7609,6.907,55.18,1.375,0.378,0.1998968,1.415,3.337,1.415
"2013-04-08 15:00:00",7610,7.256,57.97,1.376,0.378,0.1994963,1.402,3.334,1.415
"2013-04-08 16:00:00",7611,6.623,52.92,1.374,0.38,0.2007167,1.412,3.33,1.416
"2013-04-08 17:00:00",7612,7.263,58.03,1.379,0.38,0.2007563,1.422,3.326,1.416
"2013-04-08 18:00:00",7613,6.86,54.81,1.376,0.38,0.2003033,1.388,3.322,1.416
"2013-04-08 19:00:00",7614,7.314,58.44,1.378,0.38,0.2007962,1.389,3.319,1.416
"2013-04-08 20:00:00",7615,7.4,59.13,1.38,0.382,0.2016023,1.38,3.315,1.416
"2013-04-08 21:00:00",7616,7.483,59.79,1.379,0.38,0.2003871,1.399,3.312,1.417
"2013-04-08 22:00:00",7617,7.359,58.8,1.381,0.38,0.2006314,1.419,3.308,1.417
"2013-04-08 23:00:00",7618,7.282,58.2,1.384,0.382,0.2018943,1.41,3.305,1.418
"2013-04-09 00:00:00",7619,7.581,60.58,1.382,0.381,0.2010779,1.404,3.302,1.418
"2013-04-09 01:00:00",7620,7.54,60.26,1.385,0.377,0.1993673,1.429,3.299,1.418
"2013-04-09 02:00:00",7621,7.644,61.09,1.386,0.382,0.2016898,1.421,3.295,1.419
"2013-04-09 03:00:00",7622,7.455,59.59,1.39,0.383,0.2025577,1.43,3.292,1.42
"2013-04-09 04:00:00",7623,7.195,57.49,1.384,0.384,0.2029818,1.402,3.289,1.42
"2013-04-09 05:00:00",7624,7.693,61.48,1.388,0.385,0.2034863,1.45,3.286,1.421
"2013-04-09 06:00:00",7625,7.322,58.52,1.385,0.383,0.2021374,1.392,3.283,1.421
"2013-04-09 07:00:00",7626,7.671,61.3,1.384,0.384,0.2027503,1.421,3.279,1.421
"2013-04-09 08:00:00",7627,7.496,59.91,1.39,0.384,0.2024657,1.373,3.276,1.422
"2013-04-09 09:00:00",7628,7.294,58.29,1.386,0.383,0.2025961,1.42,3.272,1.422
"2013-04-09 10:00:00",7629,4.261,33.66,1.362,0.412,0.2179307,1.421,3.276,1.369
"2013-04-09 11:00:00",7630,4.542,35.91,1.387,0.417,0.2200969,1.389,3.273,1.423
"2013-04-09 12:00:00",7631,6.017,47.57,1.389,0.415,0.2194309,1.427,3.27,1.424
"2013-04-09 13:00:00",7632,6.346,50.17,1.389,0.414,0.2188806,1.44,3.266,1.424
"2013-04-09 14:00:00",7633,6.485,51.27,1.392,0.417,0.2204949,1.425,3.263,1.425
"2013-04-09 15:00:00",7634,6.888,54.46,1.389,0.418,0.2207947,1.43,3.259,1.426
"2013-04-09 16:00:00",7635,6.74,53.3,1.393,0.418,0.2210452,1.435,3.256,1.426
"2013-04-09 17:00:00",7636,6.716,53.1,1.392,0.419,0.2209199,1.386,3.253,1.427
"2013-04-09 18:00:00",7637,6.76,53.46,1.394,0.419,0.2211705,1.415,3.25,1.427
"2013-04-09 19:00:00",7638,6.935,54.84,1.39,0.419,0.2211705,1.419,3.248,1.427
"2013-04-09 20:00:00",7639,6.748,53.36,1.394,0.418,0.2210084,1.445,3.246,1.427
"2013-04-09 21:00:00",7640,6.73,53.21,1.387,0.418,0.2207577,1.406,3.243,1.427
"2013-04-09 22:00:00",7641,6.219,49.17,1.394,0.417,0.2205071,1.45,3.242,1.428
"2013-04-09 23:00:00",7642,6.257,49.48,1.393,0.417,0.2203009,1.426,3.24,1.429
"2013-04-10 00:00:00",7643,6.559,51.87,1.393,0.416,0.2199692,1.408,3.238,1.429
"2013-04-10 01:00:00",7644,6.413,50.7,1.391,0.416,0.2197188,1.427,3.236,1.429
"2013-04-10 02:00:00",7645,5.867,46.39,1.393,0.415,0.2194685,1.437,3.236,1.428
"2013-04-10 03:00:00",7646,6.265,49.53,1.391,0.415,0.2190932,1.427,3.236,1.428
