"TOA5","CR1000 Casc","CR1000","43359","CR1000.Std.22","CPU:Nyack_CASC_corrected 1hr.CR1","47364","Table1"
"TIMESTAMP","RECORD","DoConc6","DoSat6","DO_W_T6","Cond6","Ct6","Cond_W_T6","Lvl_m6","Lvl_W_T6"
"TS","RN","mg/L","%","oC","mS/cm","mS/cm","Deg C","meters","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2013-04-01 00:00:00",4952,10.7,93.8,4.972,0.215,0.1289372,4.979,1.205,4.866
"2013-04-01 01:00:00",4953,10.85,94.6,4.726,0.218,0.129793,4.801,1.21,4.645
"2013-04-01 02:00:00",4954,11.08,96,4.492,0.238,0.1412291,4.628,1.211,4.435
"2013-04-01 03:00:00",4955,10.87,93.6,4.264,0.218,0.1279511,4.39,1.216,4.205
"2013-04-01 04:00:00",4956,11.27,96.5,4.019,0.229,0.1341784,4.258,1.217,3.992
"2013-04-01 05:00:00",4957,10.38,88.4,3.814,0.227,0.1322647,4.085,1.222,3.816
"2013-04-01 06:00:00",4958,11.3,95.6,3.582,0.207,0.1190055,3.778,1.225,3.561
"2013-04-01 07:00:00",4959,9.79,82.5,3.432,0.213,0.1224492,3.759,1.226,3.482
"2013-04-01 08:00:00",4960,9.1,76.49,3.347,0.23,0.1317142,3.691,1.227,3.432
"2013-04-01 09:00:00",4961,10.55,88.8,3.399,0.222,0.1273106,3.613,1.23,3.383
"2013-04-01 10:00:00",4962,11.95,101,3.524,0.205,0.1172798,3.575,1.231,3.43
"2013-04-01 11:00:00",4963,11.92,101.6,3.885,0.219,0.1264243,3.8,1.235,3.743
"2013-04-01 12:00:00",4964,11.75,101.4,4.333,0.215,0.1251691,4.126,1.237,4.146
"2013-04-01 13:00:00",4965,11.54,101,4.881,0.217,0.1281536,4.535,1.242,4.651
"2013-04-01 14:00:00",4966,11.28,100.2,5.453,0.215,0.1285966,4.898,1.243,5.139
"2013-04-01 15:00:00",4967,10.81,97.2,5.96,0.223,0.1343727,5.094,1.248,5.512
"2013-04-01 16:00:00",4968,8.83,80.1,6.303,0.203,0.123246,5.372,1.251,5.814
"2013-04-01 17:00:00",4969,10.02,91.4,6.474,0.204,0.1248118,5.574,1.254,5.989
"2013-04-01 18:00:00",4970,10.1,91.8,6.371,0.206,0.1259617,5.603,1.258,5.972
"2013-04-01 19:00:00",4971,9.69,87.7,6.203,0.197,0.1208653,5.606,1.259,5.855
"2013-04-01 20:00:00",4972,10.29,92.6,5.955,0.209,0.1280822,5.652,1.264,5.752
"2013-04-01 21:00:00",4973,10.05,89.8,5.685,0.218,0.1327728,5.496,1.268,5.516
"2013-04-01 22:00:00",4974,10.5,93.1,5.416,0.208,0.1261998,5.326,1.27,5.281
"2013-04-01 23:00:00",4975,11.01,97,5.115,0.202,0.1218688,5.132,1.278,5.023
"2013-04-02 00:00:00",4976,10.83,94.6,4.827,0.201,0.1203937,4.894,1.278,4.747
"2013-04-02 01:00:00",4977,10.52,91.3,4.582,0.192,0.1141517,4.685,1.281,4.516
"2013-04-02 02:00:00",4978,10.59,91.5,4.368,0.193,0.114171,4.513,1.287,4.307
"2013-04-02 03:00:00",4979,10.35,88.9,4.154,0.199,0.116536,4.297,1.288,4.123
"2013-04-02 04:00:00",4980,10.21,87.2,3.933,0.195,0.1137348,4.153,1.287,3.95
"2013-04-02 05:00:00",4981,9.75,82.9,3.762,0.198,0.1147003,4.028,1.292,3.841
"2013-04-02 06:00:00",4982,10.94,92.6,3.578,0.201,0.1159309,3.855,1.298,3.65
"2013-04-02 07:00:00",4983,10.04,84.5,3.403,0.202,0.1152735,3.577,1.299,3.454
"2013-04-02 08:00:00",4984,11.19,94,3.301,0.202,0.1152275,3.566,1.301,3.36
"2013-04-02 09:00:00",4985,11.65,97.9,3.349,0.2,0.1139245,3.458,1.302,3.332
"2013-04-02 10:00:00",4986,11.21,94.6,3.502,0.199,0.1140165,3.593,1.308,3.428
"2013-04-02 11:00:00",4987,11.44,97.3,3.806,0.203,0.116491,3.73,1.309,3.652
"2013-04-02 12:00:00",4988,11.3,97.3,4.239,0.198,0.1149704,4.038,1.314,4.008
"2013-04-02 13:00:00",4989,11.34,99,4.765,0.21,0.1234823,4.436,1.313,4.407
"2013-04-02 14:00:00",4990,10.24,90.6,5.301,0.222,0.1315667,4.651,1.316,4.812
"2013-04-02 15:00:00",4991,10.22,91.3,5.659,0.206,0.1236962,5.046,1.32,5.147
"2013-04-02 16:00:00",4992,8.72,78.13,5.786,0.209,0.1263261,5.173,1.326,5.32
"2013-04-02 17:00:00",4993,10.3,92.3,5.79,0.204,0.1241992,5.405,1.326,5.403
"2013-04-02 18:00:00",4994,10.23,91.9,5.885,0.211,0.1283551,5.451,1.334,5.482
"2013-04-02 19:00:00",4995,9.3,83.2,5.747,0.213,0.1294056,5.413,1.345,5.459
"2013-04-02 20:00:00",4996,9.26,82.5,5.584,0.194,0.1177843,5.343,1.344,5.344
"2013-04-02 21:00:00",4997,9.32,82.8,5.458,0.189,0.1149202,5.327,1.35,5.282
"2013-04-02 22:00:00",4998,10.07,89.1,5.299,0.188,0.1138561,5.203,1.353,5.136
"2013-04-02 23:00:00",4999,9.99,88,5.115,0.186,0.1120023,5.076,1.36,4.985
"2013-04-03 00:00:00",5000,9.68,84.8,4.915,0.189,0.1127281,4.898,1.367,4.811
"2013-04-03 01:00:00",5001,9.99,87.1,4.742,0.189,0.1127588,4.776,1.37,4.655
"2013-04-03 02:00:00",5002,10.06,87.4,4.59,0.186,0.1103651,4.611,1.383,4.511
"2013-04-03 03:00:00",5003,9.87,85.5,4.488,0.2,0.1181317,4.518,1.384,4.398
"2013-04-03 04:00:00",5004,10.39,89.8,4.393,0.185,0.1086757,4.389,1.399,4.282
"2013-04-03 05:00:00",5005,9.84,84.8,4.257,0.184,0.1077315,4.227,1.399,4.15
"2013-04-03 06:00:00",5006,10.03,86,4.109,0.182,0.1062653,4.121,1.408,4.005
"2013-04-03 07:00:00",5007,10.49,89.6,3.939,0.181,0.1047589,3.958,1.422,3.844
"2013-04-03 08:00:00",5008,10.29,87.7,3.833,0.188,0.1082233,3.819,1.422,3.715
"2013-04-03 09:00:00",5009,10.27,87.3,3.779,0.195,0.1124913,3.814,1.429,3.684
"2013-04-03 10:00:00",5010,10.51,89.4,3.782,0.191,0.1100358,3.78,1.438,3.677
"2013-04-03 11:00:00",5011,10.33,87.9,3.845,0.192,0.1108659,3.851,1.441,3.743
"2013-04-03 12:00:00",5012,10.99,94.2,4.076,0.192,0.1113674,4.031,1.447,3.941
"2013-04-03 13:00:00",5013,10.76,92.8,4.314,0.19,0.1115132,4.276,1.45,4.18
"2013-04-03 14:00:00",5014,10.57,91.8,4.587,0.193,0.1139026,4.517,1.458,4.468
"2013-04-03 15:00:00",5015,10.76,93.7,4.677,0.185,0.1098602,4.617,1.468,4.549
"2013-04-03 16:00:00",5016,10.54,92.1,4.816,0.188,0.1115827,4.751,1.467,4.683
"2013-04-03 17:00:00",5017,10.41,91.1,4.883,0.192,0.1146564,4.786,1.473,4.745
"2013-04-03 18:00:00",5018,10.47,91.8,4.924,0.191,0.1138347,4.873,1.485,4.812
"2013-04-03 19:00:00",5019,10.46,91.3,4.779,0.184,0.1096071,4.75,1.486,4.677
"2013-04-03 20:00:00",5020,10.41,90.2,4.519,0.174,0.1027214,4.506,1.493,4.425
"2013-04-03 21:00:00",5021,10.47,90.4,4.354,0.174,0.1023093,4.359,1.491,4.235
"2013-04-03 22:00:00",5022,10.66,91.6,4.196,0.175,0.1020859,4.179,1.499,4.086
"2013-04-03 23:00:00",5023,11.05,94.5,4.01,0.173,0.1002601,4.05,1.5,3.922
"2013-04-04 00:00:00",5024,10.67,90.9,3.832,0.174,0.1005377,3.881,1.494,3.752
"2013-04-04 01:00:00",5025,10.98,93.1,3.654,0.174,0.09997813,3.718,1.498,3.589
"2013-04-04 02:00:00",5026,10.72,90.5,3.514,0.174,0.09963137,3.56,1.502,3.444
"2013-04-04 03:00:00",5027,11.12,93.5,3.373,0.173,0.09803084,3.397,1.505,3.283
"2013-04-04 04:00:00",5028,10.72,89.9,3.269,0.18,0.1023349,3.36,1.511,3.199
"2013-04-04 05:00:00",5029,11.19,93.6,3.175,0.181,0.1022794,3.23,1.51,3.099
"2013-04-04 06:00:00",5030,11.07,92.4,3.094,0.182,0.1022469,3.163,1.504,3.019
"2013-04-04 07:00:00",5031,11.01,91.7,3.02,0.188,0.1056007,3.115,1.51,2.951
"2013-04-04 08:00:00",5032,10.89,90.7,2.995,0.187,0.1047013,3.058,1.519,2.927
"2013-04-04 09:00:00",5033,11.18,93.4,3.12,0.191,0.107361,3.12,1.52,3.019
"2013-04-04 10:00:00",5034,11,92.5,3.361,0.187,0.1058304,3.33,1.523,3.239
"2013-04-04 11:00:00",5035,11.02,93.4,3.639,0.189,0.1077665,3.584,1.521,3.508
"2013-04-04 12:00:00",5036,11.14,95.2,3.964,0.187,0.1080501,3.9,1.532,3.817
"2013-04-04 13:00:00",5037,11.01,94.8,4.268,0.185,0.1079255,4.148,1.528,4.1
"2013-04-04 14:00:00",5038,11.18,96.9,4.516,0.186,0.1095708,4.448,1.532,4.365
"2013-04-04 15:00:00",5039,10.76,94,4.791,0.186,0.1101349,4.685,1.53,4.624
"2013-04-04 16:00:00",5040,10.67,93.6,4.974,0.184,0.1100014,4.858,1.531,4.826
"2013-04-04 17:00:00",5041,10.69,93.9,5.016,0.184,0.1104081,4.935,1.529,4.874
"2013-04-04 18:00:00",5042,10.65,93.4,4.993,0.183,0.1097178,4.94,1.536,4.869
"2013-04-04 19:00:00",5043,10.55,92.4,4.913,0.182,0.1085841,4.875,1.54,4.794
"2013-04-04 20:00:00",5044,10.56,92.1,4.772,0.189,0.1122801,4.757,1.536,4.669
"2013-04-04 21:00:00",5045,10.63,92.4,4.644,0.188,0.1116951,4.651,1.543,4.547
"2013-04-04 22:00:00",5046,10.62,92.1,4.54,0.172,0.1016291,4.569,1.54,4.439
"2013-04-04 23:00:00",5047,10.61,91.7,4.436,0.172,0.101393,4.426,1.55,4.34
"2013-04-05 00:00:00",5048,10.67,92.1,4.371,0.171,0.1005639,4.359,1.556,4.257
"2013-04-05 01:00:00",5049,10.64,91.7,4.283,0.183,0.1074081,4.273,1.555,4.168
"2013-04-05 02:00:00",5050,10.64,91.4,4.191,0.188,0.1095806,4.177,1.553,4.076
"2013-04-05 03:00:00",5051,10.6,91,4.12,0.186,0.1086134,4.15,1.571,4.01
"2013-04-05 04:00:00",5052,10.63,91.1,4.054,0.188,0.1096628,4.093,1.569,3.943
"2013-04-05 05:00:00",5053,10.79,92.2,3.976,0.182,0.1057797,3.998,1.572,3.869
"2013-04-05 06:00:00",5054,10.9,93,3.907,0.18,0.104232,3.898,1.582,3.795
"2013-04-05 07:00:00",5055,10.72,91.4,3.859,0.184,0.1061502,3.869,1.593,3.751
"2013-04-05 08:00:00",5056,10.87,92.5,3.822,0.184,0.1062497,3.85,1.597,3.716
"2013-04-05 09:00:00",5057,10.95,93.2,3.832,0.183,0.1056554,3.849,1.609,3.718
"2013-04-05 10:00:00",5058,10.96,93.5,3.908,0.174,0.1008001,3.901,1.621,3.783
"2013-04-05 11:00:00",5059,10.97,93.9,4,0.168,0.09697726,3.938,1.612,3.869
"2013-04-05 12:00:00",5060,10.86,93.2,4.112,0.179,0.1039474,4.094,1.637,3.991
"2013-04-05 13:00:00",5061,10.76,92.6,4.245,0.167,0.09772348,4.183,1.641,4.114
"2013-04-05 14:00:00",5062,10.9,93.9,4.264,0.178,0.1039044,4.217,1.648,4.141
"2013-04-05 15:00:00",5063,11.05,94.9,4.192,0.179,0.1042896,4.164,1.672,4.074
"2013-04-05 16:00:00",5064,10.98,94.5,4.233,0.177,0.103207,4.198,1.678,4.105
"2013-04-05 17:00:00",5065,11.24,96.8,4.24,0.175,0.102182,4.218,1.702,4.124
"2013-04-05 18:00:00",5066,11.22,96.5,4.213,0.169,0.09838539,4.189,1.696,4.092
"2013-04-05 19:00:00",5067,11.28,96.8,4.118,0.173,0.1006436,4.122,1.731,4.007
"2013-04-05 20:00:00",5068,11.27,96.4,4.034,0.159,0.09223939,4.022,1.733,3.922
"2013-04-05 21:00:00",5069,11.37,97.1,3.915,0.153,0.08863702,3.91,1.749,3.805
"2013-04-05 22:00:00",5070,11.37,96.6,3.774,0.152,0.08737058,3.756,1.758,3.664
"2013-04-05 23:00:00",5071,11.44,96.9,3.631,0.152,0.08707158,3.605,1.777,3.527
"2013-04-06 00:00:00",5072,11.49,97,3.528,0.152,0.08663873,3.557,1.759,3.429
"2013-04-06 01:00:00",5073,11.54,97.3,3.46,0.152,0.08633707,3.461,1.786,3.359
"2013-04-06 02:00:00",5074,11.54,97.1,3.406,0.152,0.08617476,3.414,1.8,3.308
"2013-04-06 03:00:00",5075,11.54,97,3.362,0.152,0.08628887,3.377,1.818,3.262
"2013-04-06 04:00:00",5076,11.59,97.3,3.302,0.152,0.08609453,3.323,1.804,3.203
"2013-04-06 05:00:00",5077,11.57,97,3.262,0.153,0.08651818,3.247,1.827,3.161
"2013-04-06 06:00:00",5078,11.6,97.2,3.251,0.154,0.08670358,3.236,1.811,3.15
"2013-04-06 07:00:00",5079,11.58,97.1,3.248,0.154,0.086982,3.237,1.829,3.145
"2013-04-06 08:00:00",5080,11.62,97.4,3.249,0.154,0.08713119,3.263,1.84,3.15
"2013-04-06 09:00:00",5081,11.56,97,3.285,0.154,0.08733923,3.277,1.827,3.176
"2013-04-06 10:00:00",5082,11.6,97.5,3.328,0.155,0.08766101,3.324,1.838,3.227
"2013-04-06 11:00:00",5083,11.58,97.5,3.422,0.155,0.08805985,3.379,1.847,3.308
"2013-04-06 12:00:00",5084,11.57,97.8,3.571,0.155,0.08868251,3.539,1.839,3.448
"2013-04-06 13:00:00",5085,11.49,97.6,3.75,0.156,0.08954377,3.719,1.847,3.622
"2013-04-06 14:00:00",5086,11.54,98.4,3.901,0.156,0.09015491,3.876,1.839,3.773
"2013-04-06 15:00:00",5087,11.48,98.2,4.023,0.156,0.09063343,3.989,1.84,3.896
"2013-04-06 16:00:00",5088,11.42,97.9,4.113,0.157,0.09118358,4.076,1.869,3.989
"2013-04-06 17:00:00",5089,11.41,98.1,4.188,0.157,0.09156659,4.154,1.85,4.065
"2013-04-06 18:00:00",5090,11.4,97.9,4.138,0.157,0.09164102,4.116,1.836,4.029
"2013-04-06 19:00:00",5091,11.4,97.6,4.036,0.157,0.091297,3.997,1.854,3.923
"2013-04-06 20:00:00",5092,11.4,97.5,3.98,0.157,0.09123509,3.965,1.851,3.864
"2013-04-06 21:00:00",5093,11.41,97.4,3.91,0.158,0.09162269,3.917,1.825,3.801
"2013-04-06 22:00:00",5094,11.44,97.4,3.834,0.165,0.09500014,3.84,1.863,3.726
"2013-04-06 23:00:00",5095,11.43,97.2,3.796,0.159,0.0916599,3.767,1.843,3.687
"2013-04-07 00:00:00",5096,11.49,97.5,3.708,0.159,0.09150847,3.708,1.838,3.6
"2013-04-07 01:00:00",5097,11.5,97.4,3.632,0.16,0.09156111,3.631,1.841,3.527
"2013-04-07 02:00:00",5098,11.49,97.1,3.551,0.16,0.09146606,3.545,1.839,3.444
"2013-04-07 03:00:00",5099,11.51,97.1,3.463,0.161,0.09143481,3.471,1.842,3.361
"2013-04-07 04:00:00",5100,11.55,97.2,3.399,0.161,0.09141984,3.413,1.829,3.296
"2013-04-07 05:00:00",5101,11.6,97.5,3.325,0.161,0.09133856,3.318,1.828,3.229
"2013-04-07 06:00:00",5102,11.59,97.1,3.241,0.162,0.09126009,3.243,1.824,3.143
"2013-04-07 07:00:00",5103,11.64,97.4,3.196,0.162,0.09127078,3.205,1.825,3.1
"2013-04-07 08:00:00",5104,11.62,97.3,3.198,0.162,0.09149396,3.195,1.808,3.098
"2013-04-07 09:00:00",5105,11.65,97.6,3.247,0.163,0.09174289,3.22,1.818,3.138
"2013-04-07 10:00:00",5106,11.63,97.8,3.369,0.163,0.09231909,3.355,1.806,3.253
"2013-04-07 11:00:00",5107,11.63,98.1,3.494,0.163,0.09292503,3.481,1.818,3.371
"2013-04-07 12:00:00",5108,11.6,98.2,3.62,0.164,0.09356347,3.584,1.806,3.507
"2013-04-07 13:00:00",5109,11.58,98.4,3.757,0.164,0.09407467,3.733,1.794,3.636
"2013-04-07 14:00:00",5110,11.51,98,3.841,0.164,0.09458691,3.824,1.807,3.724
"2013-04-07 15:00:00",5111,11.48,97.8,3.857,0.164,0.0946224,3.821,1.792,3.74
"2013-04-07 16:00:00",5112,11.47,97.9,3.906,0.164,0.0948751,3.85,1.78,3.776
"2013-04-07 17:00:00",5113,11.47,98,3.957,0.164,0.09522857,3.958,1.775,3.837
"2013-04-07 18:00:00",5114,11.43,97.6,3.96,0.165,0.09544232,3.958,1.784,3.845
"2013-04-07 19:00:00",5115,11.46,97.5,3.784,0.165,0.09495135,3.776,1.764,3.684
"2013-04-07 20:00:00",5116,11.49,97.2,3.587,0.165,0.0944668,3.599,1.771,3.497
"2013-04-07 21:00:00",5117,11.52,97,3.415,0.165,0.09395447,3.445,1.761,3.315
"2013-04-07 22:00:00",5118,11.55,97.1,3.323,0.166,0.09374368,3.321,1.759,3.222
"2013-04-07 23:00:00",5119,11.59,97.2,3.247,0.166,0.09365787,3.257,1.744,3.143
"2013-04-08 00:00:00",5120,11.65,97.4,3.145,0.171,0.09643093,3.134,1.751,3.051
"2013-04-08 01:00:00",5121,11.71,97.5,3.003,0.168,0.09424989,3.01,1.749,2.917
"2013-04-08 02:00:00",5122,11.7,97.2,2.914,0.17,0.09479447,2.923,1.734,2.821
"2013-04-08 03:00:00",5123,11.79,97.6,2.788,0.171,0.09498687,2.789,1.72,2.704
"2013-04-08 04:00:00",5124,11.85,97.8,2.649,0.171,0.09459288,2.646,1.717,2.563
"2013-04-08 05:00:00",5125,11.9,97.8,2.526,0.171,0.09429274,2.549,1.723,2.436
"2013-04-08 06:00:00",5126,11.94,97.8,2.39,0.173,0.09483951,2.415,1.732,2.305
"2013-04-08 07:00:00",5127,12,97.9,2.234,0.172,0.09385677,2.251,1.72,2.156
"2013-04-08 08:00:00",5128,12.1,98.6,2.195,0.188,0.1023083,2.204,1.689,2.103
"2013-04-08 09:00:00",5129,12.1,98.8,2.25,0.17,0.09246967,2.252,1.683,2.154
"2013-04-08 10:00:00",5130,12.12,99.4,2.419,0.17,0.09315953,2.405,1.691,2.314
"2013-04-08 11:00:00",5131,12.08,99.6,2.629,0.17,0.09399722,2.61,1.665,2.515
"2013-04-08 12:00:00",5132,12.09,100.5,2.913,0.171,0.09519342,2.89,1.677,2.795
"2013-04-08 13:00:00",5133,11.99,100.5,3.247,0.171,0.09653282,3.203,1.673,3.122
"2013-04-08 14:00:00",5134,11.91,100.6,3.532,0.175,0.09941864,3.483,1.658,3.398
"2013-04-08 15:00:00",5135,11.7,100,4,0.172,0.09938292,3.929,1.661,3.866
"2013-04-08 16:00:00",5136,11.65,100.2,4.213,0.172,0.1003479,4.144,1.654,4.083
"2013-04-08 17:00:00",5137,11.59,99.5,4.138,0.172,0.1003859,4.106,1.651,4.021
"2013-04-08 18:00:00",5138,11.63,99.4,3.974,0.173,0.09990511,3.936,1.652,3.864
"2013-04-08 19:00:00",5139,11.61,98.6,3.73,0.173,0.09921972,3.7,1.641,3.625
"2013-04-08 20:00:00",5140,11.62,98.1,3.527,0.174,0.09918795,3.556,1.63,3.437
"2013-04-08 21:00:00",5141,11.72,98.3,3.273,0.174,0.09854343,3.269,1.634,3.188
"2013-04-08 22:00:00",5142,11.7,97.6,3.043,0.185,0.1036338,3.065,1.623,2.955
"2013-04-08 23:00:00",5143,11.84,97.9,2.744,0.184,0.102178,2.81,1.632,2.676
"2013-04-09 00:00:00",5144,11.93,97.9,2.476,0.185,0.1015953,2.513,1.625,2.398
"2013-04-09 01:00:00",5145,11.96,97.6,2.256,0.185,0.1007879,2.292,1.618,2.178
"2013-04-09 02:00:00",5146,12.04,97.7,2.048,0.174,0.09414338,2.087,1.617,1.981
"2013-04-09 03:00:00",5147,12.16,98.2,1.885,0.173,0.09335299,1.955,1.608,1.82
"2013-04-09 04:00:00",5148,12.21,98.3,1.752,0.173,0.09284863,1.805,1.605,1.674
"2013-04-09 05:00:00",5149,12.27,98.4,1.605,0.173,0.09241166,1.661,1.601,1.536
"2013-04-09 06:00:00",5150,12.33,98.6,1.496,0.174,0.09209204,1.536,1.592,1.421
"2013-04-09 07:00:00",5151,12.3,98.1,1.412,0.174,0.09183648,1.449,1.595,1.326
"2013-04-09 08:00:00",5152,12.38,98.8,1.419,0.174,0.09183109,1.446,1.579,1.337
"2013-04-09 09:00:00",5153,12.45,99.6,1.522,0.174,0.09199329,1.477,1.591,1.407
"2013-04-09 10:00:00",5154,12.51,100.5,1.674,0.174,0.09264264,1.651,1.582,1.576
"2013-04-09 11:00:00",5155,12.25,99.3,2.013,0.174,0.09392236,2.007,1.578,1.904
"2013-04-09 12:00:00",5156,12.27,100.6,2.414,0.174,0.09528036,2.37,1.581,2.284
"2013-04-09 13:00:00",5157,12.11,100.7,2.952,0.174,0.09717248,2.856,1.566,2.801
"2013-04-09 14:00:00",5158,12.03,101.4,3.454,0.175,0.09898589,3.359,1.569,3.282
"2013-04-09 15:00:00",5159,11.8,100.4,3.793,0.175,0.1005826,3.714,1.554,3.64
"2013-04-09 16:00:00",5160,11.64,99.9,4.138,0.175,0.1017936,4.011,1.551,3.962
"2013-04-09 17:00:00",5161,11.55,99.5,4.263,0.176,0.1025051,4.194,1.553,4.126
"2013-04-09 18:00:00",5162,11.59,99.7,4.198,0.176,0.10254,4.164,1.547,4.08
"2013-04-09 19:00:00",5163,11.47,98.3,4.083,0.176,0.10234,4.048,1.55,3.96
"2013-04-09 20:00:00",5164,11.5,98.5,4.056,0.176,0.1023061,4.027,1.541,3.931
"2013-04-09 21:00:00",5165,11.36,97.2,4.037,0.177,0.1024239,3.996,1.546,3.92
"2013-04-09 22:00:00",5166,11.38,97.4,4.009,0.176,0.1022815,4.011,1.542,3.889
"2013-04-09 23:00:00",5167,11.43,97.5,3.883,0.176,0.1018823,3.868,1.54,3.771
"2013-04-10 00:00:00",5168,11.51,97.8,3.732,0.177,0.1015347,3.738,1.534,3.629
"2013-04-10 01:00:00",5169,11.51,97.5,3.624,0.177,0.1011115,3.633,1.541,3.519
"2013-04-10 02:00:00",5170,11.48,96.9,3.5,0.176,0.1001229,3.516,1.537,3.405
"2013-04-10 03:00:00",5171,11.61,97.7,3.406,0.175,0.09952584,3.427,1.543,3.31
"2013-04-10 04:00:00",5172,11.55,97,3.321,0.175,0.09939495,3.349,1.529,3.227
