"TOA5","CR1000_HA08 Cabin","CR1000","43361","CR1000.Std.22","CPU:Nyack_Cabin_corrected_1hr_4_26_12.CR1","5064","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2012-08-24 00:00:00",113,13
"2012-08-25 00:00:00",114,13.21
"2012-08-26 00:00:00",115,12.88
"2012-08-27 00:00:00",116,12.8
"2012-08-28 00:00:00",117,12.93
"2012-08-29 00:00:00",118,12.8
"2012-08-30 00:00:00",119,12.86
"2012-08-31 00:00:00",120,13
"2012-09-01 00:00:00",121,12.82
"2012-09-02 00:00:00",122,12.86
"2012-09-03 00:00:00",123,12.91
"2012-09-04 00:00:00",124,12.89
"2012-09-05 00:00:00",125,13.03
"2012-09-06 00:00:00",126,13
"2012-09-07 00:00:00",127,13.08
"2012-09-08 00:00:00",128,13.01
"2012-09-09 00:00:00",129,12.98
"2012-09-10 00:00:00",130,13.1
"2012-09-11 00:00:00",131,13.24
"2012-09-12 00:00:00",132,13.2
"2012-09-13 00:00:00",133,12.99
"2012-09-14 00:00:00",134,12.85
"2012-09-15 00:00:00",135,13
"2012-09-16 00:00:00",136,13.05
"2012-09-17 00:00:00",137,13.05
"2012-09-18 00:00:00",138,12.99
"2012-09-19 00:00:00",139,12.85
"2012-09-20 00:00:00",140,12.9
"2012-09-21 00:00:00",141,12.81
"2012-09-22 00:00:00",142,12.99
"2012-09-23 00:00:00",143,13
"2012-09-24 00:00:00",144,12.89
"2012-09-25 00:00:00",145,12.98
"2012-09-26 00:00:00",146,13.11
"2012-09-27 00:00:00",147,13.08
"2012-09-28 00:00:00",148,12.86
"2012-09-29 00:00:00",149,13.02
"2012-09-30 00:00:00",150,12.96
"2012-10-01 00:00:00",151,12.86
"2012-10-02 00:00:00",152,13.02
"2012-10-03 00:00:00",153,12.21
"2012-10-04 00:00:00",154,12.36
"2012-10-05 00:00:00",155,13.31
"2012-10-06 00:00:00",156,13.29
"2012-10-07 00:00:00",157,13.41
"2012-10-08 00:00:00",158,13.22
"2012-10-09 00:00:00",159,13.33
"2012-10-10 00:00:00",160,13.04
"2012-10-11 00:00:00",161,13.04
"2012-10-12 00:00:00",162,13.02
"2012-10-13 00:00:00",163,13.03
"2012-10-14 00:00:00",164,13.22
"2012-10-15 00:00:00",165,13.12
"2012-10-16 00:00:00",166,13.27
"2012-10-17 00:00:00",167,12.35
