"TOA5","CR1000_HA12","CR1000","43364","CR1000.Std.22","CPU:Nyack_HA12_corrected 1 hr.CR1","18026","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2012-04-27 00:00:00",0,12.82
"2012-04-28 00:00:00",1,12.77
"2012-04-29 00:00:00",2,12.81
"2012-04-30 00:00:00",3,12.79
"2012-05-01 00:00:00",4,12.82
"2012-05-02 00:00:00",5,12.82
"2012-05-03 00:00:00",6,12.81
"2012-05-04 00:00:00",7,12.79
"2012-05-05 00:00:00",8,12.83
"2012-05-06 00:00:00",9,12.81
"2012-05-07 00:00:00",10,12.82
"2012-05-08 00:00:00",11,12.77
"2012-05-09 00:00:00",12,12.79
"2012-05-10 00:00:00",13,12.77
"2012-05-11 00:00:00",14,12.8
"2012-05-12 00:00:00",15,12.77
"2012-05-13 00:00:00",16,12.77
"2012-05-14 00:00:00",17,12.76
"2012-05-15 00:00:00",18,12.74
"2012-05-16 00:00:00",19,12.74
"2012-05-17 00:00:00",20,12.75
"2012-05-18 00:00:00",21,12.76
"2012-05-19 00:00:00",22,12.76
"2012-05-20 00:00:00",23,12.74
"2012-05-21 00:00:00",24,12.75
"2012-05-22 00:00:00",25,12.78
"2012-05-23 00:00:00",26,12.8
"2012-05-24 00:00:00",27,12.78
"2012-05-25 00:00:00",28,12.8
"2012-05-26 00:00:00",29,12.55
"2012-05-27 00:00:00",30,12.52
"2012-05-28 00:00:00",31,12.56
"2012-05-29 00:00:00",32,12.56
"2012-05-30 00:00:00",33,12.54
"2012-05-31 00:00:00",34,12.53
"2012-06-01 00:00:00",35,12.53
"2012-06-02 00:00:00",36,12.56
"2012-06-03 00:00:00",37,12.58
"2012-06-04 00:00:00",38,12.53
"2012-06-05 00:00:00",39,12.56
"2012-06-06 00:00:00",40,12.55
"2012-06-07 00:00:00",41,12.49
"2012-06-08 00:00:00",42,12.49
"2012-06-09 00:00:00",43,12.56
"2012-06-10 00:00:00",44,12.53
"2012-06-11 00:00:00",45,12.48
"2012-06-12 00:00:00",46,12.52
"2012-06-13 00:00:00",47,12.58
"2012-06-14 00:00:00",48,12.6
"2012-06-15 00:00:00",49,12.55
"2012-06-16 00:00:00",50,12.52
"2012-06-17 00:00:00",51,12.48
"2012-06-18 00:00:00",52,12.54
"2012-06-19 00:00:00",53,12.54
"2012-06-20 00:00:00",54,12.54
