"TOA5","Nyack CASC","CR1000","43359","CR1000.Std.22","CPU:Nyack_CASC_corrected 1hr.CR1","47364","Table1"
"TIMESTAMP","RECORD","DoConc6","DoSat6","DO_W_T6","Cond6","Ct6","Cond_W_T6","Lvl_m6","Lvl_W_T6"
"TS","RN","mg/L","%","oC","mS/cm","mS/cm","Deg C","meters","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-09-06 16:00:00",0,9.96,104,12.36,0.191,0.1428734,12.37,0.915,12.21
"2012-09-06 17:00:00",1,10.07,106.2,12.61,0.191,0.1435338,12.59,0.929,12.39
"2012-09-06 18:00:00",2,10.08,106.1,12.57,0.191,0.1434084,12.6,0.929,12.41
"2012-09-06 19:00:00",3,9.95,104.3,12.36,0.191,0.1426735,12.35,0.928,12.2
"2012-09-06 20:00:00",4,9.78,102,12.13,0.191,0.1420181,12.15,0.929,11.97
"2012-09-06 21:00:00",5,9.68,100.4,11.9,0.191,0.1412465,11.89,0.927,11.74
"2012-09-06 22:00:00",6,9.63,99.5,11.68,0.192,0.1404645,11.66,0.928,11.53
"2012-09-06 23:00:00",7,9.62,98.8,11.46,0.192,0.1398372,11.46,0.928,11.31
"2012-09-07 00:00:00",8,9.65,98.5,11.22,0.192,0.1389353,11.22,0.927,11.07
"2012-09-07 01:00:00",9,9.67,98.2,10.97,0.192,0.1382849,11,0.926,10.82
"2012-09-07 02:00:00",10,9.71,98,10.72,0.193,0.1376349,10.75,0.927,10.57
"2012-09-07 03:00:00",11,9.77,98.1,10.49,0.193,0.1369426,10.46,0.926,10.3
"2012-09-07 04:00:00",12,9.84,98.1,10.18,0.194,0.1361403,10.16,0.926,10.02
"2012-09-07 05:00:00",13,9.9,98.2,9.97,0.194,0.1355877,9.96,0.926,9.81
"2012-09-07 06:00:00",14,10,98.6,9.73,0.194,0.134959,9.75,0.925,9.58
"2012-09-07 07:00:00",15,10.06,98.9,9.59,0.194,0.1345076,9.6,0.926,9.43
"2012-09-07 08:00:00",16,10.19,99.9,9.46,0.195,0.1341014,9.46,0.924,9.31
"2012-09-07 09:00:00",17,10.33,101.3,9.47,0.195,0.1340317,9.44,0.924,9.3
"2012-09-07 10:00:00",18,10.52,103.3,9.53,0.195,0.1342085,9.49,0.924,9.38
"2012-09-07 11:00:00",19,10.48,103.4,9.75,0.194,0.1349234,9.73,0.923,9.61
"2012-09-07 12:00:00",20,10.54,105.2,10.24,0.194,0.1369034,10.22,0.924,10.1
"2012-09-07 13:00:00",21,10.5,106.2,10.8,0.194,0.1389256,10.81,0.924,10.64
"2012-09-07 14:00:00",22,10.41,106.7,11.39,0.194,0.1411587,11.37,0.925,11.22
"2012-09-07 15:00:00",23,10.11,105.2,12.04,0.194,0.1435376,11.99,0.926,11.86
"2012-09-07 16:00:00",24,10.09,106.1,12.52,0.193,0.1452416,12.53,0.925,12.38
"2012-09-07 17:00:00",25,9.98,105.9,12.87,0.194,0.1466774,12.87,0.926,12.72
"2012-09-07 18:00:00",26,9.91,105.5,13.02,0.194,0.1471833,13.03,0.925,12.85
"2012-09-07 19:00:00",27,9.77,103.7,12.91,0.194,0.146924,12.94,0.925,12.75
"2012-09-07 20:00:00",28,9.61,101.7,12.8,0.194,0.1467338,12.8,0.924,12.64
"2012-09-07 21:00:00",29,9.47,100,12.66,0.194,0.1465303,12.68,0.923,12.5
"2012-09-07 22:00:00",30,9.44,99.3,12.49,0.194,0.1456659,12.51,0.923,12.32
"2012-09-07 23:00:00",31,9.44,98.7,12.26,0.195,0.1452367,12.28,0.923,12.08
"2012-09-08 00:00:00",32,9.48,98.4,11.92,0.195,0.1438732,11.94,0.922,11.75
"2012-09-08 01:00:00",33,9.55,98.3,11.55,0.195,0.1429239,11.57,0.921,11.39
"2012-09-08 02:00:00",34,9.61,98.2,11.23,0.196,0.1417578,11.22,0.921,11.06
"2012-09-08 03:00:00",35,9.68,98.2,10.92,0.196,0.1406779,10.93,0.921,10.77
"2012-09-08 04:00:00",36,9.76,98.3,10.61,0.196,0.1396377,10.63,0.92,10.46
"2012-09-08 05:00:00",37,9.82,98.2,10.32,0.196,0.1385155,10.29,0.92,10.15
"2012-09-08 06:00:00",38,9.89,98.2,10.03,0.196,0.1374893,10.02,0.92,9.85
"2012-09-08 07:00:00",39,10.01,98.8,9.76,0.196,0.1365464,9.76,0.919,9.61
"2012-09-08 08:00:00",40,10.13,99.7,9.65,0.196,0.1360539,9.63,0.919,9.48
"2012-09-08 09:00:00",41,9.87,97.1,9.64,0.196,0.1360393,9.63,0.919,9.51
"2012-09-08 10:00:00",42,10.38,102.5,9.78,0.196,0.1364477,9.79,0.918,9.64
"2012-09-08 11:00:00",43,10.43,103.6,10.04,0.196,0.1373955,10.03,0.918,9.9
"2012-09-08 12:00:00",44,10.49,105.1,10.42,0.196,0.1387205,10.42,0.919,10.26
"2012-09-08 13:00:00",45,10.45,105.9,10.9,0.196,0.1406248,10.91,0.918,10.76
"2012-09-08 14:00:00",46,10.3,106,11.53,0.196,0.14301,11.54,0.919,11.39
"2012-09-08 15:00:00",47,10.17,106.1,12.14,0.195,0.1448593,12.14,0.919,11.98
"2012-09-08 16:00:00",48,10.05,106,12.66,0.195,0.1469265,12.68,0.918,12.52
"2012-09-08 17:00:00",49,9.94,105.5,12.93,0.195,0.1478799,12.93,0.919,12.78
"2012-09-08 18:00:00",50,9.86,105.1,13.06,0.195,0.1484147,13.05,0.919,12.89
"2012-09-08 19:00:00",51,9.76,103.7,12.98,0.195,0.1480401,13.01,0.918,12.81
"2012-09-08 20:00:00",52,9.53,100.9,12.79,0.195,0.1476384,12.82,0.919,12.64
"2012-09-08 21:00:00",53,9.42,99.3,12.63,0.195,0.1472115,12.65,0.918,12.47
"2012-09-08 22:00:00",54,9.37,98.5,12.48,0.196,0.1468061,12.51,0.918,12.32
"2012-09-08 23:00:00",55,9.32,97.6,12.27,0.196,0.1459004,12.28,0.917,12.11
"2012-09-09 00:00:00",56,9.39,97.5,11.94,0.196,0.1450181,11.94,0.918,11.78
"2012-09-09 01:00:00",57,9.44,97.3,11.61,0.196,0.1438919,11.63,0.916,11.46
"2012-09-09 02:00:00",58,9.51,97.3,11.29,0.197,0.1429157,11.33,0.915,11.13
"2012-09-09 03:00:00",59,9.57,97.2,11.02,0.197,0.1420878,11.03,0.915,10.87
"2012-09-09 04:00:00",60,9.63,97.3,10.76,0.197,0.1410302,10.78,0.915,10.61
"2012-09-09 05:00:00",61,9.69,97.4,10.55,0.197,0.1402527,10.56,0.915,10.39
"2012-09-09 06:00:00",62,9.75,97.5,10.29,0.198,0.1394005,10.29,0.914,10.13
"2012-09-09 07:00:00",63,9.8,97.4,10.08,0.198,0.1386288,10.05,0.914,9.91
"2012-09-09 08:00:00",64,9.97,98.9,9.99,0.198,0.1382285,9.97,0.914,9.83
"2012-09-09 09:00:00",65,10.14,100.6,9.99,0.197,0.1381351,9.97,0.914,9.81
"2012-09-09 10:00:00",66,10.28,101.9,9.95,0.197,0.1379052,9.93,0.915,9.8
"2012-09-09 11:00:00",67,10.34,102.6,9.99,0.197,0.1379442,9.99,0.914,9.83
"2012-09-09 12:00:00",68,10.44,103.8,10.04,0.197,0.1380008,10.02,0.913,9.87
"2012-09-09 13:00:00",69,10.43,104.2,10.25,0.197,0.1386793,10.26,0.914,10.11
"2012-09-09 14:00:00",70,10.39,104.6,10.58,0.196,0.1398187,10.59,0.914,10.44
"2012-09-09 15:00:00",71,10.39,104.9,10.74,0.196,0.1402949,10.74,0.914,10.59
"2012-09-09 16:00:00",72,10.37,105.2,10.93,0.196,0.1408919,10.95,0.915,10.78
"2012-09-09 17:00:00",73,10.26,104.8,11.21,0.196,0.1418474,11.24,0.914,11.07
"2012-09-09 18:00:00",74,10.21,104.6,11.36,0.196,0.1423273,11.36,0.915,11.2
"2012-09-09 19:00:00",75,10.09,103.2,11.3,0.196,0.1421407,11.31,0.914,11.14
"2012-09-09 20:00:00",76,9.94,101.5,11.23,0.196,0.1418784,11.21,0.915,11.07
"2012-09-09 21:00:00",77,9.78,99.6,11.08,0.196,0.1415706,11.09,0.914,10.94
"2012-09-09 22:00:00",78,9.72,98.6,10.95,0.196,0.1412532,10.97,0.914,10.8
"2012-09-09 23:00:00",79,9.69,98,10.78,0.196,0.1406796,10.81,0.913,10.63
"2012-09-10 00:00:00",80,9.68,97.4,10.6,0.197,0.1401351,10.64,0.914,10.45
"2012-09-10 01:00:00",81,9.61,96.4,10.43,0.197,0.1395424,10.43,0.913,10.26
"2012-09-10 02:00:00",82,9.72,97.1,10.26,0.197,0.1389922,10.26,0.913,10.1
"2012-09-10 03:00:00",83,9.76,97,10.09,0.197,0.1385278,10.09,0.912,9.93
"2012-09-10 04:00:00",84,9.82,97.2,9.88,0.198,0.1378159,9.87,0.912,9.73
"2012-09-10 05:00:00",85,9.83,97,9.75,0.197,0.1373265,9.77,0.911,9.59
"2012-09-10 06:00:00",86,9.87,97,9.59,0.198,0.1367615,9.58,0.91,9.42
"2012-09-10 07:00:00",87,9.92,97.1,9.42,0.198,0.1362759,9.43,0.911,9.27
"2012-09-10 08:00:00",88,10.07,98.5,9.38,0.198,0.136043,9.38,0.912,9.22
"2012-09-10 09:00:00",89,10.18,99.7,9.41,0.198,0.1360178,9.41,0.913,9.25
"2012-09-10 10:00:00",90,10.34,101.7,9.61,0.198,0.1366899,9.58,0.911,9.46
"2012-09-10 11:00:00",91,10.34,101.8,9.69,0.198,0.1370061,9.68,0.911,9.54
"2012-09-10 12:00:00",92,10.32,101.6,9.62,0.197,0.136831,9.64,0.911,9.47
"2012-09-10 13:00:00",93,10.35,101.9,9.62,0.198,0.1367317,9.61,0.91,9.48
"2012-09-10 14:00:00",94,10.35,101.9,9.66,0.197,0.1367795,9.64,0.912,9.5
"2012-09-10 15:00:00",95,10.4,102.4,9.69,0.197,0.1367464,9.7,0.912,9.53
"2012-09-10 16:00:00",96,10.42,102.8,9.71,0.197,0.1367404,9.71,0.912,9.56
"2012-09-10 17:00:00",97,10.4,102.7,9.76,0.197,0.1368227,9.77,0.911,9.61
"2012-09-10 18:00:00",98,10.38,102.6,9.79,0.197,0.1368721,9.81,0.913,9.64
"2012-09-10 19:00:00",99,10.32,101.9,9.78,0.197,0.1368557,9.78,0.912,9.63
"2012-09-10 20:00:00",100,10.25,101.1,9.75,0.197,0.1367856,9.73,0.912,9.6
"2012-09-10 21:00:00",101,10.1,99.6,9.71,0.197,0.1366517,9.71,0.912,9.55
"2012-09-10 22:00:00",102,10.07,99,9.59,0.197,0.1362082,9.61,0.912,9.44
"2012-09-10 23:00:00",103,10.05,98.6,9.48,0.197,0.1358682,9.5,0.913,9.33
"2012-09-11 00:00:00",104,10.05,98.3,9.37,0.197,0.1354825,9.35,0.912,9.21
"2012-09-11 01:00:00",105,10.06,97.9,9.19,0.197,0.1348844,9.18,0.911,9.02
"2012-09-11 02:00:00",106,10.1,97.8,8.98,0.197,0.1341639,8.98,0.911,8.83
"2012-09-11 03:00:00",107,10.14,97.8,8.81,0.197,0.1336068,8.83,0.91,8.67
"2012-09-11 04:00:00",108,10.19,97.9,8.65,0.197,0.1329783,8.7,0.909,8.51
"2012-09-11 05:00:00",109,10.21,97.8,8.5,0.198,0.1324425,8.52,0.909,8.36
"2012-09-11 06:00:00",110,10.27,98,8.35,0.198,0.1318257,8.36,0.909,8.22
"2012-09-11 07:00:00",111,10.34,98.2,8.17,0.198,0.1310981,8.18,0.91,8.03
"2012-09-11 08:00:00",112,10.47,99.3,8.12,0.197,0.1308607,8.15,0.91,7.987
"2012-09-11 09:00:00",113,10.67,101.4,8.22,0.197,0.1311572,8.21,0.91,8.1
"2012-09-11 10:00:00",114,10.69,102.1,8.38,0.197,0.1317292,8.39,0.91,8.25
"2012-09-11 11:00:00",115,10.81,103.9,8.67,0.197,0.132839,8.68,0.91,8.55
"2012-09-11 12:00:00",116,10.73,104.3,9.14,0.197,0.1345437,9.11,0.909,9.01
"2012-09-11 13:00:00",117,10.75,105.8,9.65,0.197,0.1365092,9.68,0.91,9.52
"2012-09-11 14:00:00",118,10.65,105.8,10,0.197,0.1377769,9.99,0.91,9.85
"2012-09-11 15:00:00",119,10.61,105.9,10.23,0.197,0.1386031,10.24,0.91,10.08
"2012-09-11 16:00:00",120,10.52,105.3,10.37,0.197,0.13908,10.36,0.91,10.2
"2012-09-11 17:00:00",121,10.46,104.9,10.4,0.197,0.1392452,10.41,0.909,10.23
"2012-09-11 18:00:00",122,10.39,104.1,10.39,0.197,0.1391875,10.38,0.91,10.22
"2012-09-11 19:00:00",123,10.3,103,10.34,0.197,0.139127,10.31,0.91,10.18
"2012-09-11 20:00:00",124,10.21,102.1,10.31,0.197,0.1390879,10.28,0.908,10.14
"2012-09-11 21:00:00",125,10.04,100,10.15,0.198,0.1389679,10.17,0.908,10.01
"2012-09-11 22:00:00",126,10.02,99.8,10.13,0.198,0.1388429,10.13,0.908,9.97
"2012-09-11 23:00:00",127,9.95,98.9,10.04,0.198,0.1386503,10.05,0.907,9.88
"2012-09-12 00:00:00",128,9.96,98.4,9.82,0.198,0.1379671,9.81,0.906,9.66
"2012-09-12 01:00:00",129,10.04,98.5,9.49,0.198,0.1368287,9.48,0.906,9.33
"2012-09-12 02:00:00",130,10.14,98.4,9.08,0.199,0.1354438,9.1,0.906,8.94
"2012-09-12 03:00:00",131,10.23,98.5,8.72,0.199,0.1342103,8.71,0.905,8.59
"2012-09-12 04:00:00",132,10.31,98.5,8.43,0.199,0.1331253,8.44,0.905,8.28
"2012-09-12 05:00:00",133,10.37,98.5,8.16,0.199,0.1321961,8.16,0.904,8.02
"2012-09-12 06:00:00",134,10.39,98.1,7.926,0.2,0.1313454,7.911,0.903,7.778
"2012-09-12 07:00:00",135,10.47,98.4,7.722,0.2,0.1305783,7.715,0.903,7.573
"2012-09-12 08:00:00",136,10.69,100.1,7.571,0.2,0.1300214,7.568,0.903,7.435
"2012-09-12 09:00:00",137,10.86,101.6,7.548,0.199,0.1297278,7.532,0.903,7.395
"2012-09-12 10:00:00",138,10.95,102.6,7.616,0.199,0.1300813,7.637,0.903,7.525
"2012-09-12 11:00:00",139,10.94,103.2,7.88,0.199,0.130915,7.905,0.902,7.769
"2012-09-12 12:00:00",140,10.97,104.5,8.28,0.199,0.1322654,8.29,0.903,8.14
"2012-09-12 13:00:00",141,10.96,105.6,8.74,0.198,0.1339483,8.75,0.904,8.6
"2012-09-12 14:00:00",142,10.89,106.3,9.28,0.198,0.1358862,9.25,0.905,9.13
"2012-09-12 15:00:00",143,10.76,106.3,9.78,0.198,0.1377978,9.77,0.904,9.64
"2012-09-12 16:00:00",144,10.62,106,10.25,0.198,0.1395184,10.24,0.904,10.09
"2012-09-12 17:00:00",145,10.53,105.7,10.48,0.198,0.1403937,10.51,0.904,10.32
"2012-09-12 18:00:00",146,10.46,105.1,10.53,0.198,0.1405489,10.54,0.905,10.35
"2012-09-12 19:00:00",147,10.34,103.7,10.44,0.198,0.1402821,10.41,0.904,10.28
"2012-09-12 20:00:00",148,10.17,101.7,10.34,0.198,0.1399419,10.3,0.904,10.17
"2012-09-12 21:00:00",149,10.1,100.8,10.2,0.198,0.1394861,10.18,0.904,10.04
"2012-09-12 22:00:00",150,10.07,100,10.04,0.198,0.1389987,10.03,0.903,9.88
"2012-09-12 23:00:00",151,10.05,99.5,9.9,0.198,0.1384043,9.87,0.902,9.72
"2012-09-13 00:00:00",152,10.07,99,9.59,0.199,0.1375306,9.6,0.902,9.44
"2012-09-13 01:00:00",153,10.15,99,9.29,0.199,0.136437,9.29,0.902,9.14
"2012-09-13 02:00:00",154,10.21,99,9.03,0.199,0.13546,9.01,0.902,8.87
"2012-09-13 03:00:00",155,10.29,99.1,8.74,0.199,0.1345883,8.74,0.901,8.6
"2012-09-13 04:00:00",156,10.35,98.9,8.45,0.2,0.1335985,8.44,0.9,8.32
"2012-09-13 05:00:00",157,10.41,99.1,8.24,0.2,0.1328257,8.27,0.9,8.09
"2012-09-13 06:00:00",158,10.31,97.5,7.985,0.2,0.1319072,7.973,0.9,7.833
"2012-09-13 07:00:00",159,10.59,99.5,7.732,0.2,0.1310532,7.724,0.899,7.593
"2012-09-13 08:00:00",160,10.74,100.7,7.633,0.2,0.1306266,7.613,0.9,7.477
"2012-09-13 09:00:00",161,10.9,102,7.59,0.2,0.1304612,7.606,0.899,7.485
"2012-09-13 10:00:00",162,10.87,102.3,7.764,0.2,0.1310675,7.75,0.899,7.656
"2012-09-13 11:00:00",163,10.98,104,8.05,0.2,0.13216,8.06,0.899,7.949
"2012-09-13 12:00:00",164,11.02,105.5,8.49,0.2,0.1337701,8.52,0.898,8.38
"2012-09-13 13:00:00",165,10.98,106.5,9.02,0.199,0.1356854,9.02,0.901,8.88
"2012-09-13 14:00:00",166,10.88,107,9.59,0.199,0.1377679,9.56,0.9,9.45
"2012-09-13 15:00:00",167,10.61,105.9,10.26,0.199,0.1403,10.22,0.9,10.08
"2012-09-13 16:00:00",168,10.59,106.9,10.71,0.199,0.1420013,10.7,0.901,10.57
"2012-09-13 17:00:00",169,10.46,106.4,11.02,0.199,0.1431887,11.05,0.901,10.89
"2012-09-13 18:00:00",170,10.37,105.7,11.11,0.199,0.1435027,11.12,0.901,10.96
"2012-09-13 19:00:00",171,10.21,103.9,11.09,0.199,0.1433907,11.09,0.901,10.94
"2012-09-13 20:00:00",172,10.07,102.4,11.03,0.199,0.143258,11.07,0.901,10.88
"2012-09-13 21:00:00",173,9.97,101.2,10.95,0.199,0.1430227,10.98,0.901,10.79
"2012-09-13 22:00:00",174,9.89,100.1,10.83,0.199,0.1426473,10.86,0.9,10.69
"2012-09-13 23:00:00",175,9.85,99.4,10.68,0.199,0.1421898,10.69,0.9,10.53
"2012-09-14 00:00:00",176,9.86,98.8,10.39,0.199,0.1412686,10.42,0.9,10.25
"2012-09-14 01:00:00",177,9.9,98.5,10.11,0.2,0.1402237,10.1,0.9,9.95
"2012-09-14 02:00:00",178,9.99,98.6,9.79,0.2,0.1392407,9.8,0.899,9.63
"2012-09-14 03:00:00",179,10.04,98.5,9.53,0.2,0.1381461,9.51,0.898,9.37
"2012-09-14 04:00:00",180,10.1,98.5,9.28,0.2,0.1373309,9.29,0.898,9.13
"2012-09-14 05:00:00",181,10.17,98.6,8.99,0.2,0.1362876,9.01,0.898,8.84
"2012-09-14 06:00:00",182,10.26,98.8,8.72,0.201,0.1352148,8.69,0.897,8.56
"2012-09-14 07:00:00",183,10.32,98.8,8.47,0.201,0.1343325,8.45,0.897,8.32
"2012-09-14 08:00:00",184,10.44,99.6,8.33,0.201,0.1339144,8.35,0.897,8.2
"2012-09-14 09:00:00",185,10.57,100.7,8.29,0.201,0.1336877,8.31,0.896,8.16
"2012-09-14 10:00:00",186,10.74,102.6,8.4,0.201,0.133959,8.39,0.897,8.28
"2012-09-14 11:00:00",187,10.82,104.1,8.7,0.2,0.1350474,8.72,0.897,8.58
"2012-09-14 12:00:00",188,10.8,105.2,9.19,0.2,0.1369113,9.18,0.896,9.06
"2012-09-14 13:00:00",189,10.79,106.3,9.69,0.204,0.1415568,9.7,0.897,9.55
"2012-09-14 14:00:00",190,10.72,107,10.23,0.202,0.142488,10.21,0.898,10.08
"2012-09-14 15:00:00",191,10.61,107.3,10.79,0.201,0.1440707,10.78,0.898,10.65
"2012-09-14 16:00:00",192,10.45,106.9,11.3,0.201,0.1461266,11.28,0.898,11.13
"2012-09-14 17:00:00",193,10.38,106.7,11.53,0.2,0.1463893,11.54,0.898,11.37
"2012-09-14 18:00:00",194,10.29,106,11.6,0.201,0.1473818,11.6,0.898,11.44
"2012-09-14 19:00:00",195,10.15,104.5,11.6,0.201,0.1468849,11.61,0.897,11.44
"2012-09-14 20:00:00",196,9.96,102.5,11.53,0.199,0.1451164,11.52,0.897,11.36
"2012-09-14 21:00:00",197,9.77,100.2,11.41,0.199,0.1449234,11.43,0.897,11.26
"2012-09-14 22:00:00",198,9.71,99.3,11.29,0.199,0.1442897,11.3,0.897,11.14
"2012-09-14 23:00:00",199,9.68,98.7,11.12,0.199,0.1438462,11.12,0.896,10.96
"2012-09-15 00:00:00",200,9.69,98.2,10.85,0.199,0.1431257,10.87,0.896,10.7
"2012-09-15 01:00:00",201,9.71,97.8,10.59,0.2,0.1422065,10.59,0.896,10.42
"2012-09-15 02:00:00",202,9.78,97.8,10.31,0.2,0.1412347,10.31,0.895,10.15
"2012-09-15 03:00:00",203,9.84,97.9,10.08,0.2,0.1404394,10.09,0.894,9.93
"2012-09-15 04:00:00",204,9.91,98.1,9.87,0.2,0.1397017,9.87,0.894,9.71
"2012-09-15 05:00:00",205,9.95,98,9.66,0.201,0.1390347,9.66,0.894,9.5
"2012-09-15 06:00:00",206,10.01,98.1,9.47,0.201,0.138289,9.47,0.894,9.31
"2012-09-15 07:00:00",207,10.1,98.4,9.2,0.201,0.1374288,9.19,0.893,9.06
"2012-09-15 08:00:00",208,10.23,99.4,9.1,0.201,0.1369426,9.1,0.893,8.94
"2012-09-15 09:00:00",209,10.41,101.2,9.12,0.201,0.1368937,9.12,0.893,8.96
"2012-09-15 10:00:00",210,10.55,102.9,9.24,0.201,0.1373266,9.22,0.893,9.09
"2012-09-15 11:00:00",211,10.66,104.1,9.29,0.201,0.1374889,9.28,0.893,9.15
"2012-09-15 12:00:00",212,10.59,103.8,9.47,0.2,0.1379482,9.44,0.893,9.3
"2012-09-15 13:00:00",213,10.69,105.3,9.7,0.2,0.1387306,9.69,0.894,9.56
"2012-09-15 14:00:00",214,10.72,106.5,10.04,0.2,0.1399304,10.04,0.894,9.89
"2012-09-15 15:00:00",215,10.68,107.3,10.52,0.199,0.141634,10.51,0.894,10.37
"2012-09-15 16:00:00",216,10.63,107.4,10.77,0.199,0.142522,10.76,0.894,10.63
"2012-09-15 17:00:00",217,10.53,106.8,10.91,0.199,0.1429949,10.94,0.894,10.77
"2012-09-15 18:00:00",218,10.44,106,10.96,0.199,0.143065,10.97,0.894,10.82
"2012-09-15 19:00:00",219,10.21,103.6,10.95,0.199,0.1430203,10.96,0.894,10.8
"2012-09-15 20:00:00",220,10.13,102.6,10.88,0.199,0.1428497,10.89,0.894,10.73
"2012-09-15 21:00:00",221,10.03,101.4,10.77,0.199,0.1425112,10.78,0.893,10.62
"2012-09-15 22:00:00",222,9.92,99.9,10.62,0.199,0.14206,10.64,0.893,10.48
"2012-09-15 23:00:00",223,9.89,99.5,10.54,0.199,0.141702,10.53,0.893,10.37
"2012-09-16 00:00:00",224,9.86,98.8,10.39,0.2,0.1412709,10.4,0.892,10.22
"2012-09-16 01:00:00",225,9.84,98.3,10.25,0.2,0.1408279,10.25,0.892,10.09
