"TOA5","Nyack CASC","CR1000","43359","CR1000.Std.22","CPU:Nyack_CASC_corrected test.CR1","35065","Table1"
"TIMESTAMP","RECORD","DoConc6","DoSat6","DO_W_T6","Cond6","Ct6","Cond_W_T6","Lvl_m6","Lvl_W_T6"
"TS","RN","mg/L","%","oC","mS/cm","mS/cm","Deg C","meters","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-04-10 12:20:00",0,"NAN",0,0,"NAN","NAN",-273.2,"NAN",0
"2012-04-10 12:25:00",1,"NAN",0,0,"NAN","NAN","NAN",0.195,13.63
"2012-04-10 12:30:00",2,"NAN",0,0,"NAN","NAN",-108.9,0.194,13.18
"2012-04-10 12:35:00",3,"NAN",0,0,0.283,0.2279322,15.24,0.195,13.16
"2012-04-10 12:45:00",4,9.28,101.1,14.27,0.283,0.2187732,13.63,0.201,13.28
"2012-08-31 09:10:00",5,9.93,98.9,10.32,"NAN","NAN",10.33,0.927,10.16
"2012-08-31 09:15:00",6,9.93,98.9,10.32,"NAN","NAN",10.3,0.926,10.17
"2012-08-31 09:20:00",7,9.93,98.9,10.34,"NAN","NAN",10.34,0.927,10.18
"2012-08-31 09:25:00",8,9.94,99.1,10.35,"NAN","NAN",10.34,0.927,10.19
"2012-08-31 09:30:00",9,9.95,99.2,10.36,0.191,0.1348448,10.36,0.926,10.2
"2012-08-31 09:35:00",10,9.82,97.3,10.12,0.022,0.01516059,10.19,-0.003,10
"2012-08-31 09:40:00",11,"NAN",100.2,10.25,0.005,-1.355912,10.75,-0.003,10.49
"2012-08-31 09:45:00",12,"NAN",100.2,10.25,0.005,-1.356004,10.63,-0.003,10.54
"2012-08-31 09:50:00",13,9.55,97.2,11.24,0.189,0.1361831,11.05,0.926,11.56
"2012-08-31 09:55:00",14,9.81,99.6,11.12,0.191,0.1370935,10.89,0.924,10.65
"2012-08-31 10:00:00",15,9.89,99.9,10.96,0.191,0.136781,10.85,0.924,10.62
"2012-08-31 10:05:00",16,9.96,100.3,10.79,0.191,0.1364674,10.79,0.924,10.58
"2012-08-31 10:10:00",17,10,100.5,10.74,0.19,0.1362607,10.77,0.924,10.56
"2012-08-31 10:15:00",18,10.02,100.6,10.65,0.19,0.1359094,10.68,0.925,10.52
"2012-08-31 10:20:00",19,10.03,100.6,10.64,0.19,0.1357848,10.64,0.924,10.48
"2012-08-31 10:25:00",20,10.03,100.7,10.64,0.19,0.1358184,10.65,0.924,10.47
"2012-08-31 10:30:00",21,10.04,100.7,10.65,0.191,0.1358747,10.64,0.924,10.47
"2012-08-31 10:35:00",22,10.05,100.9,10.67,0.191,0.1359596,10.65,0.925,10.5
"2012-08-31 10:40:00",23,10.05,100.9,10.68,0.191,0.1360542,10.7,0.925,10.54
"2012-08-31 10:45:00",24,10.07,101.2,10.7,0.191,0.1361362,10.73,0.925,10.57
"2012-08-31 10:50:00",25,10.06,101.1,10.73,0.191,0.1361554,10.72,0.924,10.58
"2012-08-31 10:55:00",26,10.1,101.6,10.75,0.19,0.1363007,10.78,0.925,10.61
"2012-08-31 11:00:00",27,10.08,101.4,10.77,0.19,0.1363227,10.78,0.925,10.63
"2012-08-31 11:05:00",28,10.09,101.5,10.79,0.19,0.1363971,10.8,0.925,10.64
"2012-08-31 11:10:00",29,10.08,101.5,10.82,0.19,0.136481,10.85,0.925,10.67
"2012-08-31 11:15:00",30,10.06,101.5,10.88,0.191,0.136625,10.86,0.924,10.69
"2012-08-31 11:20:00",31,10.06,101.6,10.89,0.191,0.1367806,10.9,0.928,10.73
"2012-08-31 11:25:00",32,10.06,101.7,10.94,0.19,0.1369302,10.94,0.925,10.79
"2012-08-31 11:30:00",33,10.06,101.7,10.97,0.19,0.1370282,10.98,0.923,10.81
"2012-08-31 11:35:00",34,10.06,101.8,11,0.191,0.1371909,10.99,0.923,10.84
"2012-08-31 11:40:00",35,10.06,101.9,11.04,0.19,0.1373383,11.06,0.923,10.88
"2012-08-31 11:45:00",36,10.06,102,11.08,0.191,0.1374671,11.08,0.923,10.92
"2012-08-31 11:50:00",37,10.07,102.1,11.09,0.191,0.1375434,11.1,0.924,10.94
"2012-08-31 11:55:00",38,10.07,102.2,11.12,0.19,0.1376762,11.14,0.925,10.97
"2012-08-31 12:00:00",39,10.06,102.1,11.16,0.191,0.1378613,11.15,0.924,11.01
"2012-08-31 12:05:00",40,10.04,102.1,11.23,0.191,0.1379647,11.21,0.924,11.05
"2012-08-31 12:10:00",41,10.03,102.1,11.25,0.19,0.1380885,11.26,0.924,11.09
"2012-08-31 12:15:00",42,10.04,102.3,11.3,0.191,0.1383249,11.29,0.923,11.13
"2012-08-31 12:20:00",43,10.04,102.4,11.33,0.191,0.1384643,11.34,0.925,11.18
"2012-08-31 12:25:00",44,10.02,102.4,11.39,0.19,0.1386066,11.39,0.924,11.22
"2012-08-31 12:30:00",45,10.03,102.5,11.43,0.191,0.1387697,11.42,0.925,11.26
"2012-08-31 12:35:00",46,10,102.5,11.54,0.191,0.1390453,11.49,0.925,11.32
"2012-08-31 12:40:00",47,10.02,102.7,11.55,0.19,0.1392239,11.56,0.925,11.41
"2012-08-31 12:45:00",48,10,102.7,11.62,0.19,0.1394815,11.62,0.924,11.46
"2012-08-31 12:50:00",49,10.03,103,11.65,0.19,0.1396028,11.67,0.925,11.49
"2012-08-31 12:55:00",50,10,102.9,11.72,0.19,0.1398869,11.74,0.925,11.56
"2012-08-31 13:00:00",51,10,102.9,11.74,0.19,0.1399462,11.78,0.925,11.6
"2012-08-31 13:05:00",52,9.99,103,11.81,0.19,0.1400905,11.8,0.925,11.63
"2012-08-31 13:10:00",53,9.98,103.1,11.88,0.19,0.140372,11.87,0.926,11.69
"2012-08-31 13:15:00",54,9.96,103.1,11.98,0.19,0.140548,11.94,0.926,11.75
"2012-08-31 13:20:00",55,9.97,103.2,11.97,0.19,0.1407389,11.98,0.924,11.81
"2012-08-31 13:25:00",56,9.96,103.2,12.02,0.19,0.140932,12.05,0.925,11.86
"2012-08-31 13:30:00",57,9.96,103.3,12.05,0.19,0.1410799,12.08,0.925,11.91
"2012-08-31 13:35:00",58,9.94,103.3,12.13,0.19,0.1412115,12.13,0.925,11.94
"2012-08-31 13:40:00",59,9.93,103.2,12.17,0.19,0.1414141,12.17,0.925,11.99
"2012-08-31 13:45:00",60,9.92,103.2,12.24,0.19,0.1417763,12.26,0.925,12.06
"2012-08-31 13:50:00",61,9.91,103.4,12.31,0.19,0.1418873,12.3,0.925,12.14
"2012-08-31 13:55:00",62,9.91,103.5,12.38,0.19,0.1421513,12.39,0.925,12.21
"2012-08-31 14:00:00",63,9.89,103.4,12.45,0.19,0.1423869,12.44,0.926,12.25
"2012-08-31 14:05:00",64,9.88,103.5,12.52,0.19,0.1426236,12.48,0.926,12.32
"2012-08-31 14:10:00",65,9.88,103.6,12.54,0.19,0.1427819,12.54,0.926,12.37
"2012-08-31 14:15:00",66,9.86,103.5,12.61,0.19,0.1428952,12.58,0.927,12.4
"2012-08-31 14:20:00",67,9.87,103.7,12.64,0.19,0.1430847,12.62,0.925,12.48
"2012-08-31 14:25:00",68,9.86,103.7,12.66,0.19,0.14328,12.69,0.925,12.52
"2012-08-31 14:30:00",69,9.84,103.6,12.72,0.19,0.1434968,12.72,0.926,12.56
"2012-08-31 14:35:00",70,9.83,103.6,12.77,0.19,0.143645,12.77,0.926,12.61
"2012-08-31 14:40:00",71,9.81,103.6,12.85,0.19,0.1437361,12.82,0.927,12.66
"2012-08-31 14:45:00",72,9.83,103.8,12.86,0.19,0.1438487,12.88,0.927,12.72
"2012-08-31 14:50:00",73,9.82,103.8,12.91,0.19,0.1440762,12.93,0.927,12.76
"2012-08-31 14:55:00",74,9.81,103.8,12.95,0.19,0.1440762,12.99,0.926,12.8
"2012-08-31 15:00:00",75,9.79,103.7,13.01,0.19,0.14419,13,0.926,12.83
"2012-08-31 15:05:00",76,9.78,103.7,13.05,0.19,0.1444178,13.06,0.927,12.88
"2012-08-31 15:10:00",77,9.77,103.7,13.09,0.19,0.1445425,13.07,0.927,12.92
"2012-08-31 15:15:00",78,9.77,103.8,13.13,0.19,0.1447804,13.13,0.927,12.99
"2012-08-31 15:20:00",79,9.76,103.7,13.17,0.19,0.1447838,13.16,0.926,13.02
"2012-08-31 15:25:00",80,9.74,103.6,13.21,0.19,0.1448999,13.2,0.926,13.04
"2012-08-31 15:30:00",81,9.72,103.6,13.27,0.19,0.1451287,13.25,0.926,13.08
"2012-08-31 15:35:00",82,9.71,103.5,13.29,0.19,0.1453571,13.31,0.927,13.12
"2012-08-31 15:40:00",83,9.7,103.6,13.34,0.19,0.1454713,13.36,0.926,13.17
"2012-08-31 15:45:00",84,9.69,103.5,13.37,0.19,0.1454806,13.39,0.927,13.21
"2012-08-31 15:50:00",85,9.68,103.4,13.41,0.19,0.1456059,13.39,0.926,13.23
"2012-08-31 15:55:00",86,9.67,103.4,13.42,0.19,0.1458387,13.42,0.924,13.25
"2012-08-31 16:00:00",87,9.65,103.3,13.45,0.19,0.1458402,13.44,0.925,13.28
"2012-08-31 16:05:00",88,9.64,103.3,13.5,0.19,0.1459554,13.48,0.925,13.3
"2012-08-31 16:10:00",89,9.64,103.3,13.52,0.189,0.1459557,13.53,0.926,13.32
"2012-08-31 16:15:00",90,9.63,103.2,13.53,0.19,0.1461842,13.52,0.926,13.34
"2012-08-31 16:20:00",91,9.63,103.2,13.53,0.19,0.1461843,13.55,0.926,13.37
"2012-08-31 16:25:00",92,9.62,103.1,13.54,0.19,0.1461888,13.55,0.927,13.38
"2012-08-31 16:30:00",93,9.61,103.1,13.55,0.19,0.1461862,13.54,0.926,13.4
"2012-08-31 16:35:00",94,9.61,103,13.57,0.19,0.1464135,13.6,0.927,13.42
"2012-08-31 16:40:00",95,9.6,103.1,13.59,0.19,0.1464131,13.62,0.927,13.45
"2012-08-31 16:45:00",96,9.6,103.1,13.63,0.189,0.1464165,13.66,0.926,13.48
"2012-08-31 16:50:00",97,9.59,103,13.66,0.19,0.146653,13.65,0.926,13.5
"2012-08-31 16:55:00",98,9.57,103,13.71,0.189,0.1466599,13.74,0.926,13.52
"2012-08-31 17:00:00",99,9.58,103,13.71,0.189,0.1466646,13.71,0.926,13.56
"2012-08-31 17:05:00",100,9.57,103,13.73,0.19,0.1470236,13.77,0.927,13.6
"2012-08-31 17:10:00",101,9.56,103,13.76,0.19,0.1471482,13.81,0.926,13.61
"2012-08-31 17:15:00",102,9.56,103,13.78,0.19,0.1471524,13.77,0.926,13.62
"2012-08-31 17:20:00",103,9.55,103,13.82,0.189,0.1471493,13.83,0.925,13.64
"2012-08-31 17:25:00",104,9.54,103,13.84,0.189,0.1471492,13.84,0.926,13.67
"2012-08-31 17:30:00",105,9.52,102.8,13.86,0.19,0.1473771,13.86,0.925,13.69
"2012-08-31 17:35:00",106,9.52,102.8,13.88,0.189,0.147373,13.91,0.926,13.72
"2012-08-31 17:40:00",107,9.51,102.8,13.91,0.189,0.1473784,13.91,0.926,13.74
"2012-08-31 17:45:00",108,9.49,102.7,13.94,0.189,0.1476106,13.97,0.925,13.77
"2012-08-31 17:50:00",109,9.49,102.7,13.95,0.189,0.1476119,13.99,0.925,13.79
"2012-08-31 17:55:00",110,9.48,102.7,14,0.189,0.1477213,13.99,0.926,13.81
"2012-08-31 18:00:00",111,9.47,102.6,14,0.19,0.1478387,14,0.927,13.84
"2012-08-31 18:05:00",112,9.45,102.4,14.02,0.19,0.147955,14.02,0.926,13.86
"2012-08-31 18:10:00",113,9.46,102.5,14.02,0.19,0.1480703,14.05,0.925,13.87
"2012-08-31 18:15:00",114,9.45,102.4,14.03,0.19,0.1480706,14.04,0.926,13.88
"2012-08-31 18:20:00",115,9.44,102.3,14.05,0.189,0.1480707,14.07,0.925,13.89
"2012-08-31 18:25:00",116,9.44,102.4,14.05,0.189,0.1480708,14.08,0.925,13.9
"2012-08-31 18:30:00",117,9.44,102.4,14.07,0.189,0.1480765,14.1,0.925,13.91
"2012-08-31 18:35:00",118,9.43,102.3,14.07,0.189,0.1480872,14.08,0.926,13.92
"2012-08-31 18:40:00",119,9.42,102.3,14.08,0.19,0.1482078,14.1,0.926,13.93
"2012-08-31 18:45:00",120,9.42,102.2,14.08,0.19,0.148326,14.1,0.926,13.93
"2012-08-31 18:50:00",121,9.43,102.3,14.08,0.19,0.1483275,14.1,0.926,13.93
"2012-08-31 18:55:00",122,9.43,102.3,14.08,0.19,0.1483282,14.13,0.925,13.93
"2012-08-31 19:00:00",123,9.42,102.2,14.08,0.19,0.1483388,14.12,0.925,13.93
"2012-08-31 19:05:00",124,9.4,102,14.07,0.189,0.1481113,14.12,0.925,13.92
"2012-08-31 19:10:00",125,9.4,102,14.07,0.189,0.1481043,14.12,0.925,13.92
"2012-08-31 19:15:00",126,9.38,101.7,14.07,0.189,0.1481119,14.13,0.925,13.92
"2012-08-31 19:20:00",127,9.36,101.5,14.07,0.189,0.1481199,14.12,0.926,13.92
"2012-08-31 19:25:00",128,9.34,101.3,14.07,0.189,0.1481248,14.09,0.926,13.92
"2012-08-31 19:30:00",129,9.33,101.2,14.07,0.189,0.1481438,14.1,0.927,13.92
"2012-08-31 19:35:00",130,9.33,101.2,14.07,0.189,0.1481515,14.12,0.925,13.92
"2012-08-31 19:40:00",131,9.31,101,14.07,0.189,0.1481541,14.09,0.924,13.91
"2012-08-31 19:45:00",132,9.26,100.4,14.05,0.189,0.1481557,14.09,0.926,13.91
"2012-08-31 19:50:00",133,9.18,99.6,14.05,0.19,0.1481622,14.06,0.925,13.9
"2012-08-31 19:55:00",134,9.17,99.4,14.04,0.19,0.1481724,14.07,0.924,13.9
"2012-08-31 20:00:00",135,9.18,99.5,14.03,0.19,0.1481788,14.08,0.924,13.89
"2012-08-31 20:05:00",136,9.17,99.3,14.02,0.19,0.1481829,14.04,0.926,13.87
"2012-08-31 20:10:00",137,9.14,99,14,0.19,0.1481846,14.03,0.925,13.86
"2012-08-31 20:15:00",138,9.13,98.8,13.98,0.19,0.1481852,14.03,0.925,13.84
"2012-08-31 20:20:00",139,9.11,98.6,13.98,0.19,0.1481854,14.01,0.925,13.83
"2012-08-31 20:25:00",140,9.09,98.5,13.98,0.19,0.1481902,14,0.925,13.83
"2012-08-31 20:30:00",141,9.09,98.4,13.96,0.19,0.1481978,13.98,0.925,13.82
"2012-08-31 20:35:00",142,9.07,98.2,13.97,0.19,0.1482077,14,0.923,13.82
"2012-08-31 20:40:00",143,9.06,98,13.96,0.19,0.148211,13.99,0.925,13.81
"2012-08-31 20:45:00",144,9.05,97.9,13.96,0.19,0.1480984,14,0.924,13.81
"2012-08-31 20:50:00",145,9.04,97.8,13.93,0.19,0.1479847,13.96,0.924,13.79
"2012-08-31 20:55:00",146,9.05,97.8,13.91,0.19,0.147985,13.95,0.924,13.77
"2012-08-31 21:00:00",147,8.97,96.9,13.88,0.19,0.1479934,13.91,0.925,13.74
"2012-08-31 21:05:00",148,8.96,96.8,13.89,0.19,0.1480026,13.92,0.924,13.73
"2012-08-31 21:10:00",149,8.95,96.7,13.88,0.19,0.1480094,13.9,0.923,13.73
"2012-08-31 21:15:00",150,8.96,96.7,13.87,0.19,0.1480121,13.9,0.924,13.72
"2012-08-31 21:20:00",151,8.96,96.8,13.86,0.19,0.148013,13.89,0.925,13.71
"2012-08-31 21:25:00",152,8.95,96.6,13.85,0.19,0.1478989,13.88,0.924,13.71
"2012-08-31 21:30:00",153,8.95,96.6,13.84,0.19,0.1477846,13.88,0.924,13.7
"2012-08-31 21:35:00",154,8.94,96.5,13.83,0.19,0.1477847,13.87,0.925,13.68
"2012-08-31 21:40:00",155,8.94,96.5,13.82,0.19,0.1477905,13.85,0.925,13.67
"2012-08-31 21:45:00",156,8.94,96.4,13.82,0.19,0.1478003,13.87,0.924,13.66
"2012-08-31 21:50:00",157,8.94,96.4,13.8,0.19,0.1478081,13.83,0.924,13.65
"2012-08-31 21:55:00",158,8.94,96.3,13.78,0.19,0.1478112,13.83,0.923,13.64
"2012-08-31 22:00:00",159,8.93,96.2,13.78,0.19,0.1476977,13.8,0.924,13.63
"2012-08-31 22:05:00",160,8.93,96.2,13.76,0.19,0.1475978,13.81,0.924,13.61
"2012-08-31 22:10:00",161,8.92,96.1,13.75,0.19,0.1476021,13.81,0.924,13.6
"2012-08-31 22:15:00",162,8.92,96,13.73,0.19,0.1474902,13.78,0.924,13.59
"2012-08-31 22:20:00",163,8.91,95.9,13.71,0.19,0.1474941,13.77,0.924,13.57
"2012-08-31 22:25:00",164,8.9,95.7,13.7,0.19,0.1474966,13.75,0.924,13.55
"2012-08-31 22:30:00",165,8.89,95.6,13.68,0.19,0.147383,13.69,0.924,13.54
"2012-08-31 22:35:00",166,8.88,95.5,13.67,0.19,0.147255,13.73,0.924,13.53
"2012-08-31 22:40:00",167,8.89,95.5,13.66,0.19,0.1472619,13.7,0.923,13.51
"2012-08-31 22:45:00",168,8.88,95.4,13.64,0.19,0.1472662,13.67,0.923,13.5
"2012-08-31 22:50:00",169,8.89,95.5,13.63,0.19,0.1471534,13.68,0.923,13.49
"2012-08-31 22:55:00",170,8.89,95.4,13.6,0.19,0.1471542,13.65,0.923,13.46
"2012-08-31 23:00:00",171,8.88,95.3,13.58,0.191,0.1471544,13.62,0.923,13.43
"2012-08-31 23:05:00",172,8.88,95.2,13.55,0.19,0.1470401,13.64,0.923,13.41
"2012-08-31 23:10:00",173,8.87,95,13.53,0.191,0.1469255,13.55,0.924,13.38
"2012-08-31 23:15:00",174,8.87,95,13.5,0.191,0.1469255,13.51,0.924,13.34
"2012-08-31 23:20:00",175,8.88,95.1,13.5,0.191,0.1469255,13.5,0.924,13.33
"2012-08-31 23:25:00",176,8.88,95,13.46,0.19,0.1464723,13.47,0.923,13.31
"2012-08-31 23:30:00",177,8.88,95,13.45,0.191,0.146479,13.44,0.923,13.28
"2012-08-31 23:35:00",178,8.89,95,13.43,0.19,0.1464891,13.46,0.924,13.26
"2012-08-31 23:40:00",179,8.89,95,13.41,0.191,0.1464927,13.44,0.924,13.25
"2012-08-31 23:45:00",180,8.9,95.1,13.39,0.191,0.1464948,13.41,0.924,13.24
"2012-08-31 23:50:00",181,8.88,94.8,13.36,0.191,0.1462667,13.39,0.923,13.21
"2012-08-31 23:55:00",182,8.89,94.9,13.34,0.191,0.1462671,13.36,0.923,13.18
"2012-09-01 00:00:00",183,8.89,94.9,13.32,0.191,0.1462672,13.35,0.923,13.16
"2012-09-01 00:05:00",184,8.89,94.8,13.29,0.191,0.1462673,13.34,0.923,13.14
"2012-09-01 00:10:00",185,8.89,94.7,13.28,0.191,0.1462673,13.31,0.923,13.12
"2012-09-01 00:15:00",186,8.89,94.7,13.26,0.191,0.1459242,13.29,0.924,13.1
"2012-09-01 00:20:00",187,8.9,94.8,13.24,0.191,0.1459242,13.29,0.924,13.08
"2012-09-01 00:25:00",188,8.9,94.7,13.21,0.191,0.1458099,13.23,0.923,13.06
"2012-09-01 00:30:00",189,8.9,94.7,13.19,0.191,0.1458099,13.22,0.923,13.03
"2012-09-01 00:35:00",190,8.9,94.6,13.18,0.191,0.1456956,13.2,0.922,13.01
"2012-09-01 00:40:00",191,8.9,94.6,13.14,0.191,0.1455812,13.16,0.923,12.99
"2012-09-01 00:45:00",192,8.9,94.5,13.12,0.191,0.1455812,13.12,0.922,12.96
"2012-09-01 00:50:00",193,8.9,94.4,13.09,0.191,0.1455812,13.12,0.923,12.93
"2012-09-01 00:55:00",194,8.9,94.4,13.08,0.191,0.1453527,13.08,0.923,12.91
"2012-09-01 01:00:00",195,8.91,94.5,13.05,0.191,0.145243,13.07,0.923,12.89
"2012-09-01 01:05:00",196,8.91,94.4,13.02,0.191,0.145139,13.04,0.923,12.86
"2012-09-01 01:10:00",197,8.92,94.5,13,0.191,0.1451469,12.99,0.923,12.84
"2012-09-01 01:15:00",198,8.93,94.5,12.99,0.191,0.1451502,13.01,0.924,12.82
"2012-09-01 01:20:00",199,8.94,94.6,12.96,0.191,0.145037,12.99,0.924,12.81
"2012-09-01 01:25:00",200,8.94,94.6,12.95,0.191,0.1450376,12.97,0.923,12.79
"2012-09-01 01:30:00",201,8.93,94.4,12.93,0.191,0.1449237,12.98,0.922,12.78
"2012-09-01 01:35:00",202,8.95,94.5,12.89,0.191,0.1448096,12.93,0.923,12.76
"2012-09-01 01:40:00",203,8.95,94.5,12.88,0.191,0.1446955,12.9,0.923,12.74
"2012-09-01 01:45:00",204,8.94,94.4,12.86,0.191,0.1446955,12.88,0.923,12.72
"2012-09-01 01:50:00",205,8.95,94.5,12.85,0.191,0.1446955,12.87,0.923,12.7
"2012-09-01 01:55:00",206,8.95,94.5,12.83,0.191,0.1446955,12.85,0.923,12.68
"2012-09-01 02:00:00",207,8.97,94.6,12.81,0.191,0.1445813,12.82,0.922,12.65
"2012-09-01 02:05:00",208,8.96,94.5,12.79,0.191,0.1444671,12.82,0.923,12.63
"2012-09-01 02:10:00",209,8.96,94.4,12.75,0.191,0.144353,12.78,0.923,12.6
"2012-09-01 02:15:00",210,8.97,94.4,12.75,0.191,0.1442425,12.76,0.924,12.58
"2012-09-01 02:20:00",211,8.96,94.3,12.72,0.191,0.1441266,12.73,0.922,12.55
"2012-09-01 02:25:00",212,8.97,94.4,12.7,0.191,0.1440114,12.73,0.923,12.54
"2012-09-01 02:30:00",213,8.98,94.4,12.68,0.191,0.1440194,12.7,0.923,12.52
"2012-09-01 02:35:00",214,8.98,94.3,12.66,0.191,0.1440308,12.7,0.923,12.5
"2012-09-01 02:40:00",215,8.98,94.3,12.63,0.191,0.1440346,12.64,0.922,12.47
"2012-09-01 02:45:00",216,9,94.4,12.6,0.191,0.1436992,12.62,0.922,12.44
"2012-09-01 02:50:00",217,9,94.4,12.58,0.191,0.1437039,12.57,0.922,12.42
"2012-09-01 02:55:00",218,9,94.3,12.56,0.191,0.143599,12.57,0.922,12.39
"2012-09-01 03:00:00",219,9,94.4,12.55,0.191,0.1435953,12.57,0.923,12.38
"2012-09-01 03:05:00",220,9.01,94.4,12.52,0.191,0.1436041,12.53,0.922,12.36
"2012-09-01 03:10:00",221,9.02,94.4,12.48,0.191,0.1434936,12.52,0.922,12.34
"2012-09-01 03:15:00",222,9.03,94.5,12.47,0.191,0.1435621,12.51,0.922,12.32
"2012-09-01 03:20:00",223,9.02,94.4,12.47,0.192,0.1435622,12.48,0.921,12.31
"2012-09-01 03:25:00",224,9.02,94.4,12.44,0.191,0.1435052,12.47,0.923,12.28
"2012-09-01 03:30:00",225,9.03,94.4,12.4,0.192,0.1433343,12.42,0.922,12.25
"2012-09-01 03:35:00",226,9.03,94.3,12.38,0.191,0.1432317,12.42,0.921,12.22
