"TOA5","CR1000 Casc","CR1000","43359","CR1000.Std.22","CPU:Nyack_CASC_corrected 1hr.CR1","47364","Table1"
"TIMESTAMP","RECORD","DoConc6","DoSat6","DO_W_T6","Cond6","Ct6","Cond_W_T6","Lvl_m6","Lvl_W_T6"
"TS","RN","mg/L","%","oC","mS/cm","mS/cm","Deg C","meters","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2013-04-23 07:00:00",5487,11.65,95.6,2.459,0.178,0.09778652,2.484,1.297,2.377
"2013-04-23 08:00:00",5488,11.76,96.4,2.4,0.178,0.09771137,2.494,1.299,2.345
"2013-04-23 09:00:00",5489,11.76,96.7,2.497,0.178,0.09792106,2.54,1.296,2.4
"2013-04-23 10:00:00",5490,11.91,98.2,2.633,0.178,0.09855986,2.624,1.295,2.535
"2013-04-23 11:00:00",5491,11.99,99.5,2.861,0.179,0.09951663,2.818,1.294,2.749
"2013-04-23 12:00:00",5492,11.89,99.5,3.194,0.179,0.1007484,3.123,1.296,3.068
"2013-04-23 13:00:00",5493,11.81,100,3.594,0.179,0.1020767,3.531,1.297,3.461
"2013-04-23 14:00:00",5494,11.57,98.9,3.97,0.179,0.1034406,3.908,1.289,3.849
"2013-04-23 15:00:00",5495,11.64,100.4,4.311,0.179,0.1047365,4.267,1.293,4.176
"2013-04-23 16:00:00",5496,11.45,99.2,4.463,0.18,0.1056573,4.394,1.291,4.354
"2013-04-23 17:00:00",5497,11.24,98.2,4.813,0.18,0.1073042,4.747,1.287,4.729
"2013-04-23 18:00:00",5498,10.97,96.5,5.085,0.181,0.1081583,4.95,1.287,4.941
"2013-04-23 19:00:00",5499,10.99,96.4,4.991,0.18,0.1079056,4.926,1.281,4.871
"2013-04-23 20:00:00",5500,10.93,95.7,4.892,0.18,0.1076292,4.849,1.285,4.771
"2013-04-23 21:00:00",5501,10.61,92.7,4.811,0.18,0.1072391,4.731,1.283,4.684
"2013-04-23 22:00:00",5502,10.84,94.5,4.718,0.18,0.1070903,4.67,1.28,4.611
"2013-04-23 23:00:00",5503,10.61,92.2,4.624,0.18,0.1066753,4.604,1.279,4.524
"2013-04-24 00:00:00",5504,10.87,94,4.422,0.18,0.1061012,4.425,1.28,4.339
"2013-04-24 01:00:00",5505,10.95,94.1,4.187,0.18,0.1049846,4.175,1.279,4.081
"2013-04-24 02:00:00",5506,11.03,94.3,3.985,0.18,0.1044739,3.951,1.274,3.872
"2013-04-24 03:00:00",5507,11.07,94.3,3.832,0.18,0.1038354,3.826,1.279,3.714
"2013-04-24 04:00:00",5508,11.08,94.1,3.706,0.18,0.103165,3.662,1.28,3.58
"2013-04-24 05:00:00",5509,11.18,94.4,3.541,0.18,0.1029489,3.538,1.279,3.45
"2013-04-24 06:00:00",5510,11.23,94.6,3.407,0.18,0.1025711,3.413,1.281,3.311
