"TOA5","Nyack HA02 MovRd","CR1000","43360","CR1000.Std.22","CPU:Nyack_HA02_corrected 1 hr.CR1","12209","Table1"
"TIMESTAMP","RECORD","DoConc9","DoSat9","DO_W_T9","Cond9","Ct9","Cond_W_T9","Lvl_m9","Lvl_W_T9","DoConc10","DoSat10","Do_W_T10","Cond_10","Ct_10","Cond_WT10","Lvl_m_10","Lvl_W_T10"
"TS","RN","mg/L","%","oC","mS/cm","mS/cm","Deg C","meters","deg C","mg/L","%","oC","mS/cm","mS/cm","Deg C","meters","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-05-08 10:00:00",0,9,77.24,4.36,0.189,0.1108559,4.333,3.228,4.34,7.358,76.23,12.05,0.291,0.2163526,12.16,0.037,12.49
"2012-05-08 11:00:00",1,9.77,83.9,4.36,0.195,0.114221,4.324,3.231,4.338,6.657,74.9,15.78,0.294,0.2404802,15.92,0.042,16.16
"2012-05-08 12:00:00",2,9.42,80.8,4.36,0.197,0.1155668,4.324,3.23,4.337,5.808,68.02,17.68,0.309,0.2666799,18.17,0.043,18.3
"2012-05-08 13:00:00",3,9.84,84.5,4.36,0.198,0.116517,4.362,3.231,4.329,5.829,69.82,18.77,0.307,0.2726377,19.41,0.045,19.38
"2012-05-08 14:00:00",4,9.63,82.7,4.36,0.198,0.1163419,4.329,3.231,4.326,5.792,68.54,18.18,0.305,0.2672799,18.78,0.045,18.6
"2012-05-08 15:00:00",5,9.77,83.9,4.36,0.199,0.1165922,4.318,3.231,4.328,5.949,69.48,17.55,0.305,0.2638335,18.29,0.046,18.08
"2012-05-08 16:00:00",6,9.77,83.8,4.359,0.2,0.1171917,4.324,3.232,4.326,5.967,68.75,16.9,0.307,0.2611852,17.56,0.046,17.29
"2012-05-08 17:00:00",7,9.69,83.1,4.359,0.201,0.1176787,4.324,3.232,4.323,5.661,64.19,16.15,0.31,0.2580659,16.69,0.046,16.4
"2012-05-08 18:00:00",8,9.76,83.8,4.359,0.2,0.1171917,4.333,3.233,4.324,5.672,63.6,15.62,0.31,0.2553103,16.14,0.046,15.87
"2012-05-08 19:00:00",9,9.81,84.2,4.359,0.199,0.1168054,4.326,3.234,4.325,5.573,61.69,15.03,0.311,0.2523825,15.52,0.046,15.23
"2012-05-08 20:00:00",10,9.71,83.4,4.359,0.199,0.1163624,4.307,3.236,4.326,5.44,59.13,14.19,0.312,0.247619,14.72,0.046,14.38
"2012-05-08 21:00:00",11,9.86,84.7,4.36,0.198,0.1163025,4.334,3.24,4.327,5.512,58.75,13.31,0.312,0.241995,13.8,0.047,13.42
"2012-05-08 22:00:00",12,9.69,83.2,4.359,0.2,0.1170376,4.31,3.245,4.324,5.692,59.55,12.49,0.313,0.2372919,12.93,0.048,12.59
"2012-05-08 23:00:00",13,9.65,82.8,4.361,0.2,0.1172553,4.31,3.251,4.323,5.792,59.54,11.71,0.314,0.2329809,12.13,0.051,11.83
"2012-05-09 00:00:00",14,9.86,84.6,4.36,0.2,0.1170268,4.306,3.258,4.324,5.814,58.79,11,0.314,0.2288188,11.39,0.054,11.1
"2012-05-09 01:00:00",15,9.26,79.44,4.359,0.198,0.116075,4.312,3.265,4.329,5.69,56.69,10.37,0.315,0.2249286,10.71,0.057,10.45
"2012-05-09 02:00:00",16,8.78,75.38,4.357,0.196,0.114727,4.332,3.273,4.324,5.624,55.22,9.75,0.315,0.2214287,10.1,0.063,9.82
"2012-05-09 03:00:00",17,8.78,75.39,4.359,0.199,0.1166727,4.284,3.281,4.322,5.571,53.97,9.18,0.316,0.2182079,9.5,0.068,9.25
"2012-05-09 04:00:00",18,8.81,75.59,4.351,0.2,0.1170517,4.31,3.29,4.325,5.5,52.61,8.66,0.317,0.2150726,8.97,0.074,8.72
"2012-05-09 05:00:00",19,8.82,75.67,4.343,0.206,0.1205253,4.305,3.299,4.325,5.343,50.57,8.23,0.317,0.2122042,8.46,0.08,8.27
"2012-05-09 06:00:00",20,8.76,75.15,4.338,0.206,0.1207033,4.286,3.308,4.322,5.144,48.36,7.953,0.318,0.2107085,8.17,0.087,7.956
"2012-05-09 07:00:00",21,8.7,74.65,4.334,0.206,0.1206255,4.286,3.315,4.309,4.958,46.39,7.753,0.318,0.209467,7.895,0.094,7.752
"2012-05-09 08:00:00",22,8.73,74.82,4.31,0.202,0.1180135,4.275,3.324,4.303,4.904,45.96,7.828,0.32,0.2106698,7.902,0.102,7.819
"2012-05-09 09:00:00",23,8.57,73.23,4.209,0.207,0.1208131,4.193,3.33,4.282,4.183,39.55,8.19,0.32,0.212328,8.16,0.108,8.27
"2012-05-09 10:00:00",24,8.33,71.06,4.133,0.228,0.1326393,4.122,3.335,4.109,4.855,48.08,10.11,0.324,0.2278622,10.16,0.116,10.32
"2012-05-09 11:00:00",25,7.961,67.89,4.117,0.241,0.1404124,4.106,3.339,4.068,4.648,48.36,12.24,0.329,0.2463502,12.4,0.123,12.51
"2012-05-09 12:00:00",26,7.099,60.54,4.115,0.241,0.1403425,4.122,3.344,4.092,4.512,48,13.23,0.327,0.2517814,13.54,0.13,13.56
"2012-05-09 13:00:00",27,7.018,59.91,4.156,0.24,0.1398632,4.132,3.348,4.077,4.125,44.57,13.92,0.327,0.2563735,14.19,0.137,14.2
"2012-05-09 14:00:00",28,6.957,59.44,4.189,0.238,0.1388147,4.17,3.352,4.089,4.013,43.51,14.09,0.327,0.257003,14.35,0.142,14.3
"2012-05-09 15:00:00",29,6.774,58.67,4.71,0.215,0.1264111,4.42,3.36,4.395,2.925,31.51,13.79,0.328,0.2572804,14.19,0.171,14.06
"2012-05-09 16:00:00",30,6.751,59.62,5.459,0.211,0.1265847,5.017,3.365,4.844,8.61,89.3,12.07,0.199,0.1484009,12.25,0.263,12.1
"2012-05-09 17:00:00",31,6.809,60.59,5.757,0.199,0.1214785,5.583,3.369,5.41,9.98,99.4,10.32,0.166,0.1176517,10.44,0.267,10.24
"2012-05-09 18:00:00",32,6.98,62.31,5.882,0.195,0.1201981,5.792,3.372,5.32,10.33,99.8,9.1,0.158,0.1087958,9.39,0.274,9.04
"2012-05-09 19:00:00",33,7.098,63.23,5.798,0.19,0.1179231,6.053,3.377,5.372,10.6,100.6,8.33,0.156,0.1048256,8.53,0.282,8.29
"2012-05-09 20:00:00",34,7.208,64.38,5.901,0.187,0.1164503,6.126,3.384,5.279,10.79,100.6,7.581,0.149,0.09742857,7.713,0.295,7.535
"2012-05-09 21:00:00",35,7.202,64.73,6.145,0.189,0.1174139,6.007,3.392,5.464,10.88,100.5,7.222,0.148,0.0957736,7.271,0.308,7.161
"2012-05-09 22:00:00",36,7.258,65.27,6.172,0.19,0.1183119,6.075,3.402,5.706,10.93,100.5,7.066,0.148,0.09502383,7.047,0.32,7.011
"2012-05-09 23:00:00",37,7.093,64.98,6.905,0.19,0.1183119,6.172,3.414,5.848,10.96,100.5,6.925,0.148,0.09421057,6.92,0.335,6.869
"2012-05-10 00:00:00",38,6.915,64.87,7.866,0.189,0.1183119,6.289,3.425,6.078,10.95,100.3,6.9,0.149,0.09464922,6.794,0.349,6.737
"2012-05-10 01:00:00",39,7.123,66.3,7.548,0.189,0.1184653,6.371,3.437,6.26,11.06,100.6,6.641,0.147,0.09261313,6.604,0.364,6.591
"2012-05-10 02:00:00",40,6.958,66.64,8.71,0.187,0.1181792,6.528,3.451,6.363,11.13,100.8,6.455,0.146,0.09181479,6.451,0.38,6.414
"2012-05-10 03:00:00",41,7.181,69.06,8.88,0.186,0.1176028,6.665,3.464,6.489,11.2,100.8,6.2,0.145,0.09072825,6.199,0.392,6.161
"2012-05-10 04:00:00",42,7.254,70.36,9.24,0.186,0.117827,6.717,3.477,6.595,11.31,101,5.906,0.145,0.08982343,5.931,0.405,5.872
