"TOA5","CR1000_HA07","CR1000","43363","CR1000.Std.22","CPU:Nyack_Met corrected_5_15_12.CR1","34329","Met"
"TIMESTAMP","RECORD","AirTC","RH","BP_mmHg","PAR_Den","SlrkW","Soil_T_C","VW","PA_uS","WindSpeed","WindDir","WindSpeed_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","Rain_mm_Tot","AirTC_Max","AirTC_TMx","AirTC_Min","AirTC_TMn"
"TS","RN","Deg C","%","mmHg","umol/s/m^2","kW/m^2","Deg C","","uSec","kph","Degrees","kph","Deg","Deg","mm","Deg C","Deg C","Deg C","Deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","WVc","WVc","WVc","Tot","Max","TMx","Min","TMn"
"2012-05-15 12:00:00",0,24.3,26.86,761.9,1930,0.931,9.68,0.317,28.32,2.812,7.25,2.899,343.7,23.83,0,24.3,"2012-05-15 12:00:00",24.27,"2012-05-15 11:50:00"
"2012-05-15 13:00:00",1,25.17,20.25,761.2,1894,0.927,9.69,0.316,28.31,8.9,314.6,3.992,333.4,10.15,0,25.17,"2012-05-15 13:00:00",24.6,"2012-05-15 12:10:00"
"2012-05-15 14:00:00",2,26.67,16.51,761.1,1801,0.877,9.77,0.317,28.32,11.77,324.9,9.01,351.8,39.09,0,26.67,"2012-05-15 14:00:00",26.02,"2012-05-15 13:20:00"
"2012-05-15 15:00:00",3,27.11,13.58,760.2,1595,0.779,9.89,0.317,28.32,7.651,38.18,5.33,359.4,48.14,0,27.11,"2012-05-15 15:00:00",26.6,"2012-05-15 14:10:00"
"2012-05-15 16:00:00",4,27.51,12.52,760.1,1311,0.643,10.05,0.316,28.31,5.998,334,4.173,30.9,52.46,0,27.51,"2012-05-15 16:00:00",26.8,"2012-05-15 15:10:00"
"2012-05-15 17:00:00",5,27.45,12.39,759.6,647.6,0.306,10.21,0.316,28.31,7.477,259.2,6.148,276.8,50.39,0,27.68,"2012-05-15 16:30:00",27.1,"2012-05-15 16:10:00"
"2012-05-15 18:00:00",6,24.39,23.41,759,342.3,0.16,10.37,0.316,28.31,3.072,247.2,4.729,281,48.16,0,27.14,"2012-05-15 17:10:00",24.39,"2012-05-15 18:00:00"
"2012-05-15 19:00:00",7,17.87,45.48,758.7,121.8,0.048,10.52,0.316,28.31,0,138,0.348,229.7,0,0,23.23,"2012-05-15 18:10:00",17.87,"2012-05-15 19:00:00"
"2012-05-15 20:00:00",8,15.42,50.55,759,12.02,0.005,10.67,0.316,28.31,0,224.3,0,0,0,0,17.68,"2012-05-15 19:10:00",15.42,"2012-05-15 20:00:00"
"2012-05-15 21:00:00",9,11.43,60.39,759.6,0,0,10.78,0.316,28.31,0,141.5,0.493,133.8,0.008,0,15.87,"2012-05-15 20:10:00",11.43,"2012-05-15 21:00:00"
"2012-05-15 22:00:00",10,8.99,71.94,760,0,0,10.87,0.316,28.31,0,153.2,0,0,0,0,11.53,"2012-05-15 21:10:00",8.99,"2012-05-15 22:00:00"
"2012-05-15 23:00:00",11,8.09,74.96,759.9,0,0,10.92,0.316,28.31,0,191.4,0,0,0,0,9.23,"2012-05-15 22:10:00",7.507,"2012-05-15 22:50:00"
"2012-05-16 00:00:00",12,6.18,86.4,760.3,0,0,10.96,0.316,28.31,0,303.6,0,0,0,0,7.135,"2012-05-15 23:10:00",6.18,"2012-05-16 00:00:00"
"2012-05-16 01:00:00",13,4.319,94,760.2,0,0,10.95,0.316,28.29,0,260.5,0,0,0,0,5.707,"2012-05-16 00:10:00",4.216,"2012-05-16 00:50:00"
"2012-05-16 02:00:00",14,4.081,92.8,760.7,0,0,10.92,0.316,28.31,0,171,0,0,0,0,4.729,"2012-05-16 01:10:00",4.081,"2012-05-16 02:00:00"
"2012-05-16 03:00:00",15,3.334,93,760.7,0,0,10.88,0.316,28.31,0,253.5,0,0,0,0,3.773,"2012-05-16 02:20:00",3.334,"2012-05-16 03:00:00"
"2012-05-16 04:00:00",16,3.003,92.7,760.6,0,0,10.81,0.316,28.29,0,159.5,0,0,0,0,3.711,"2012-05-16 03:10:00",3.001,"2012-05-16 03:40:00"
"2012-05-16 05:00:00",17,2.081,97.4,761.1,9.46,0.003,10.73,0.316,28.29,0,92.7,0,0,0,0,2.628,"2012-05-16 04:10:00",2.047,"2012-05-16 04:50:00"
"2012-05-16 06:00:00",18,1.775,99.4,760.7,57.6,0.017,10.65,0.316,28.29,0,131.7,0,0,0,0,2.116,"2012-05-16 05:40:00",1.57,"2012-05-16 05:10:00"
"2012-05-16 07:00:00",19,7.465,76.26,761.1,594.9,0.291,10.56,0.315,28.28,0,32.51,0,0,0,0,7.465,"2012-05-16 07:00:00",1.229,"2012-05-16 06:10:00"
"2012-05-16 08:00:00",20,10.71,64.93,760.3,967,0.464,10.46,0.315,28.27,4.298,84.6,1.52,97,16.12,0,10.71,"2012-05-16 08:00:00",8.89,"2012-05-16 07:10:00"
"2012-05-16 09:00:00",21,14.47,46.8,759.7,1195,0.567,10.35,0.315,28.28,0.058,158.1,1.602,97.6,33.37,0,14.47,"2012-05-16 09:00:00",11.42,"2012-05-16 08:10:00"
"2012-05-16 10:00:00",22,18.43,34.89,759.3,1623,0.786,10.27,0.315,28.27,0,140.6,0.256,7.887,0,0,18.43,"2012-05-16 10:00:00",15.62,"2012-05-16 09:10:00"
"2012-05-16 11:00:00",23,22.8,25.54,758.6,1827,0.877,10.22,0.315,28.27,6.83,54.76,2.937,2.893,60.98,0,22.8,"2012-05-16 11:00:00",19.3,"2012-05-16 10:20:00"
"2012-05-16 12:00:00",24,23.49,18.93,757.9,1412,0.667,10.19,0.314,28.25,7.393,116,10.19,120.7,62.35,0,24,"2012-05-16 11:40:00",23,"2012-05-16 11:10:00"
"2012-05-16 13:00:00",25,24.41,19.23,757.6,1817,0.87,10.22,0.314,28.25,7.335,61.54,9.66,334.1,82.8,0,24.41,"2012-05-16 13:00:00",22.98,"2012-05-16 12:10:00"
"2012-05-16 14:00:00",26,24.61,15.05,757.3,1820,0.888,10.3,0.314,28.24,11.6,66.08,12.04,358,64.16,0,24.61,"2012-05-16 14:00:00",23.76,"2012-05-16 13:20:00"
"2012-05-16 15:00:00",27,24.12,13.55,756.9,752.3,0.357,10.39,0.314,28.24,8.25,86.9,12.17,106.5,58.61,0,24.47,"2012-05-16 14:30:00",23.89,"2012-05-16 14:20:00"
"2012-05-16 16:00:00",28,23.82,16.61,757.1,905,0.442,10.51,0.314,28.24,11.6,47.51,12.66,338.4,36.49,0,24.1,"2012-05-16 15:50:00",23.55,"2012-05-16 15:30:00"
"2012-05-16 17:00:00",29,22.84,16.07,757.2,398.1,0.189,10.64,0.314,28.24,22.31,298,12.65,340.9,49.38,0,23.56,"2012-05-16 16:30:00",22.84,"2012-05-16 17:00:00"
"2012-05-16 18:00:00",30,21.79,16.65,757.1,254,0.121,10.76,0.314,28.24,13.44,320.3,9.71,254.9,47.95,0,22.74,"2012-05-16 17:10:00",21.79,"2012-05-16 18:00:00"
"2012-05-16 19:00:00",31,19.39,21.62,757.2,91,0.033,10.88,0.314,28.23,0.029,293.1,4.779,265,29.39,0,21.66,"2012-05-16 18:20:00",19.39,"2012-05-16 19:00:00"
"2012-05-16 20:00:00",32,17.4,17.2,757.8,10.3,0.004,10.97,0.314,28.23,3.655,275.1,4.38,253.3,23.74,0,19.41,"2012-05-16 19:50:00",17.22,"2012-05-16 19:20:00"
"2012-05-16 21:00:00",33,16.57,19.39,758,0,0,11.03,0.314,28.24,7.168,308.6,2.162,291.6,23.91,0,17.47,"2012-05-16 20:10:00",14.54,"2012-05-16 20:30:00"
"2012-05-16 22:00:00",34,12.83,42.94,758.2,0,0,11.08,0.314,28.23,3.628,326.4,4.232,330,31.84,0,14.69,"2012-05-16 21:10:00",12.83,"2012-05-16 22:00:00"
"2012-05-16 23:00:00",35,9.2,57.01,758.4,0,0,11.09,0.314,28.23,0,284.7,1.229,235.5,12.26,0,10.25,"2012-05-16 22:50:00",8.95,"2012-05-16 22:40:00"
"2012-05-17 00:00:00",36,9,53.16,758.1,0,0,11.1,0.313,28.2,0,2.494,0.465,204.1,36.37,0,10.36,"2012-05-16 23:10:00",8.21,"2012-05-16 23:50:00"
"2012-05-17 01:00:00",37,6.862,60.61,758.7,0,0,11.08,0.313,28.21,0,199.3,0.005,230.6,0,0,8.5,"2012-05-17 00:20:00",6.862,"2012-05-17 01:00:00"
"2012-05-17 02:00:00",38,6.692,65.52,758.8,0,0,11.04,0.312,28.17,0.029,352.1,0.675,338.4,43.39,0,7.51,"2012-05-17 01:20:00",6.282,"2012-05-17 01:40:00"
"2012-05-17 03:00:00",39,6.215,70.5,759,0,0,10.99,0.312,28.18,3.021,254.2,1.498,174.6,52.72,0,6.215,"2012-05-17 03:00:00",5.293,"2012-05-17 02:20:00"
