"TOA5","CR1000_HA07","CR1000","43363","CR1000.Std.22","CPU:Nyack_Met corrected_5_15_12.CR1","34329","Water"
"TIMESTAMP","RECORD","DoConc3","DoSat3","DO_W_T3","Cond3","Ct3","Cond_W_T3","Lvl_m3","Lvl_W_T3"
"TS","RN","mg/L","%","C","mS/cm","mS/cm","Deg C","meters","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-05-15 12:00:00",0,6.221,53.65,4.547,0.286,0.1691531,4.543,3.544,4.528
"2012-05-15 13:00:00",1,6.227,53.71,4.546,0.286,0.1691153,4.531,3.547,4.528
"2012-05-15 14:00:00",2,6.232,53.75,4.549,0.287,0.1693511,4.512,3.548,4.529
"2012-05-15 15:00:00",3,6.233,53.76,4.55,0.287,0.1693511,4.528,3.548,4.529
"2012-05-15 16:00:00",4,6.235,53.78,4.55,0.287,0.1694529,4.509,3.55,4.529
"2012-05-15 17:00:00",5,6.24,53.82,4.549,0.287,0.1694618,4.508,3.553,4.53
"2012-05-15 18:00:00",6,6.243,53.84,4.546,0.287,0.169469,4.511,3.555,4.53
"2012-05-15 19:00:00",7,6.247,53.88,4.548,0.287,0.1695337,4.523,3.559,4.53
"2012-05-15 20:00:00",8,6.246,53.87,4.551,0.287,0.1695448,4.53,3.562,4.531
"2012-05-15 21:00:00",9,6.248,53.89,4.548,0.287,0.1695246,4.525,3.566,4.531
"2012-05-15 22:00:00",10,6.252,53.92,4.546,0.287,0.1695946,4.534,3.57,4.532
"2012-05-15 23:00:00",11,6.254,53.94,4.547,0.287,0.1695446,4.549,3.574,4.532
"2012-05-16 00:00:00",12,6.255,53.95,4.547,0.287,0.169553,4.522,3.578,4.533
"2012-05-16 01:00:00",13,6.259,53.98,4.549,0.287,0.1696139,4.535,3.582,4.534
"2012-05-16 02:00:00",14,6.257,53.97,4.548,0.287,0.169496,4.519,3.586,4.535
"2012-05-16 03:00:00",15,6.263,54.02,4.549,0.287,0.1696456,4.51,3.593,4.535
"2012-05-16 04:00:00",16,6.261,54.01,4.553,0.287,0.1695623,4.55,3.593,4.536
"2012-05-16 05:00:00",17,6.267,54.05,4.548,0.287,0.1695629,4.505,3.595,4.537
"2012-05-16 06:00:00",18,6.269,54.08,4.553,0.287,0.1695629,4.549,3.597,4.538
"2012-05-16 07:00:00",19,6.268,54.08,4.56,0.287,0.169772,4.555,3.599,4.539
"2012-05-16 08:00:00",20,6.269,54.08,4.555,0.287,0.1696346,4.527,3.601,4.539
"2012-05-16 09:00:00",21,6.272,54.11,4.555,0.287,0.1697703,4.578,3.603,4.54
"2012-05-16 10:00:00",22,6.272,54.11,4.56,0.287,0.1695732,4.549,3.604,4.541
"2012-05-16 11:00:00",23,6.272,54.11,4.559,0.287,0.1697238,4.535,3.604,4.541
"2012-05-16 12:00:00",24,6.276,54.15,4.559,0.287,0.1696538,4.564,3.605,4.542
"2012-05-16 13:00:00",25,6.277,54.16,4.563,0.287,0.1697717,4.572,3.605,4.542
"2012-05-16 14:00:00",26,6.275,54.14,4.564,0.287,0.1697542,4.59,3.606,4.543
"2012-05-16 15:00:00",27,6.277,54.17,4.565,0.287,0.1696203,4.528,3.607,4.543
"2012-05-16 16:00:00",28,6.28,54.18,4.56,0.288,0.1697553,4.522,3.609,4.544
"2012-05-16 17:00:00",29,6.279,54.18,4.564,0.287,0.1696535,4.572,3.611,4.544
"2012-05-16 18:00:00",30,6.28,54.18,4.562,0.287,0.1695355,4.515,3.614,4.545
"2012-05-16 19:00:00",31,6.279,54.19,4.567,0.287,0.1696018,4.55,3.618,4.545
"2012-05-16 20:00:00",32,6.279,54.18,4.564,0.287,0.1696678,4.523,3.621,4.546
"2012-05-16 21:00:00",33,6.285,54.24,4.568,0.287,0.1694928,4.548,3.626,4.546
"2012-05-16 22:00:00",34,6.285,54.24,4.568,0.287,0.1695317,4.536,3.631,4.547
"2012-05-16 23:00:00",35,6.283,54.22,4.569,0.287,0.16936,4.555,3.635,4.548
"2012-05-17 00:00:00",36,6.286,54.25,4.57,0.287,0.1693891,4.538,3.639,4.548
"2012-05-17 01:00:00",37,6.289,54.27,4.569,0.287,0.1694294,4.548,3.643,4.549
"2012-05-17 02:00:00",38,6.288,54.27,4.573,0.287,0.1696659,4.541,3.649,4.55
"2012-05-17 03:00:00",39,6.291,54.3,4.571,0.287,0.1695549,4.58,3.65,4.551
"2012-05-17 04:00:00",40,6.292,54.31,4.574,0.287,0.1695478,4.512,3.653,4.551
"2012-05-17 05:00:00",41,6.293,54.31,4.572,0.287,0.1695478,4.532,3.655,4.552
"2012-05-17 06:00:00",42,6.294,54.32,4.572,0.287,0.1695478,4.551,3.657,4.553
"2012-05-17 07:00:00",43,6.293,54.32,4.575,0.287,0.1694295,4.527,3.66,4.553
"2012-05-17 08:00:00",44,6.296,54.34,4.571,0.287,0.1695606,4.586,3.66,4.554
"2012-05-17 09:00:00",45,6.296,54.33,4.572,0.287,0.1695136,4.536,3.661,4.554
"2012-05-17 10:00:00",46,6.294,54.32,4.575,0.286,0.1694415,4.586,3.662,4.555
"2012-05-17 11:00:00",47,6.296,54.34,4.572,0.287,0.1694327,4.535,3.661,4.555
"2012-05-17 12:00:00",48,6.295,54.33,4.575,0.287,0.1696365,4.598,3.66,4.556
"2012-05-17 13:00:00",49,6.295,54.33,4.573,0.287,0.1696022,4.56,3.66,4.556
"2012-05-17 14:00:00",50,6.298,54.36,4.574,0.287,0.1693662,4.54,3.659,4.556
"2012-05-17 15:00:00",51,6.299,54.36,4.573,0.287,0.1693993,4.531,3.657,4.556
"2012-05-17 16:00:00",52,6.298,54.36,4.573,0.287,0.1695553,4.534,3.655,4.556
"2012-05-17 17:00:00",53,6.301,54.38,4.571,0.287,0.1696557,4.572,3.654,4.556
"2012-05-17 18:00:00",54,6.299,54.37,4.574,0.287,0.1696686,4.552,3.653,4.557
"2012-05-17 19:00:00",55,6.298,54.36,4.576,0.287,0.1696977,4.555,3.651,4.557
"2012-05-17 20:00:00",56,6.299,54.37,4.577,0.287,0.1694981,4.544,3.649,4.557
"2012-05-17 21:00:00",57,6.299,54.36,4.574,0.287,0.1695315,4.536,3.647,4.558
"2012-05-17 22:00:00",58,6.3,54.37,4.576,0.286,0.1694186,4.568,3.646,4.558
