"TOA5","CR1000 West Shore","CR1000","36198","CR1000.Std.20","CPU:West Shore 15 min_05_26_16 recalibration.CR1","56981","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","AirTC","RH","AirTC_Max","AirTC_TMx","AirTC_Min","AirTC_TMn","BP_mmHg","PAR_Den","PAR_Tot_Tot","SlrkW","SlrMJ_Tot","Rain_mm_Tot","VW","PA_uS_Avg","T109_C","WS_ms","WindDir","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","WS_ms_TMx","ETrs","Rso"
"TS","RN","Volts","Deg C","Deg C","%","Deg C","Deg C","Deg C","Deg C","mmHg","umol/s/m^2","mmol/m^2","kW/m^2","MJ/m^2","mm","","uSec","Deg C","meters/second","Degrees","meters/second","meters/second","meters/second","meters/second","meters/second","Deg C","Deg C"
"","","Smp","Smp","Smp","Smp","Max","TMx","Min","TMn","Smp","Smp","Tot","Smp","Tot","Tot","Smp","Avg","Smp","Smp","Smp","WVc","WVc","WVc","Max","TMx","ETsz","RSo"
"2016-05-31 13:45:00",0,13.15,19.15,16.78,34.82,16.78,"2016-05-31 13:45:00",16.45,"2016-05-31 13:42:00",0,1697,685.9689,0.885,0.3568895,0,0,0,15.8,1.085,100.8,1.002,98.3,16.56,1.264,"2016-05-31 13:41:00",0.081,3.108
"2016-05-31 14:00:00",1,13.15,19.34,16.95,34.48,17.06,"2016-05-31 13:50:00",16.41,"2016-05-31 13:57:00",766,1726,1409.587,0.903,0.7337061,0,0.198,1.629,16.15,0.898,133.9,1.111,83.1,22.28,1.365,"2016-05-31 13:54:00",0.223,2.943
"2016-05-31 14:15:00",2,13.15,19.86,17.33,32.3,17.33,"2016-05-31 14:15:00",16.99,"2016-05-31 14:07:00",766,1934,1585.229,1.023,0.8320264,0,0.198,24.44,16.49,1.392,64.75,1.248,75.11,11.64,1.45,"2016-05-31 14:14:00",0.25,2.844
"2016-05-31 14:30:00",3,13.13,20.31,16.68,33.93,17.26,"2016-05-31 14:18:00",16.68,"2016-05-31 14:30:00",766,1452,1041.138,0.746,0.5276706,0,0.198,24.44,16.18,0.91,99.5,1.186,91.8,15.23,1.512,"2016-05-31 14:19:00",0.19,2.73
"2016-05-31 14:45:00",4,13.13,20.48,17.67,29.85,17.67,"2016-05-31 14:44:00",16.68,"2016-05-31 14:32:00",766,1569,1456.324,0.819,0.7618528,0,0.198,24.44,16.67,1.088,96.2,1.225,79.88,11.03,1.481,"2016-05-31 14:39:00",0.236,2.618
"2016-05-31 15:00:00",5,13.15,20.61,16.75,33.32,17.77,"2016-05-31 14:47:00",16.68,"2016-05-31 14:56:00",765.7,674.2,725.4147,0.323,0.3575394,0,0.198,24.44,16.23,1.274,76.17,1.108,85.1,13.2,1.387,"2016-05-31 14:47:00",0.156,2.488
"2016-05-31 15:15:00",6,13.16,20.15,17.02,31.11,17.02,"2016-05-31 15:15:00",16.41,"2016-05-31 15:07:00",765.7,879,684.7684,0.442,0.3362672,0,0.198,24.44,16,0.642,56.59,0.845,69.1,9.46,1.081,"2016-05-31 15:01:00",0.132,2.358
"2016-05-31 15:30:00",7,13.16,20.18,18.01,30.67,18.01,"2016-05-31 15:30:00",17.09,"2016-05-31 15:16:00",765.7,1579,1148.465,0.32,0.488786,0,0.198,24.44,15.92,1.197,88.4,0.938,76.34,10.89,1.197,"2016-05-31 15:30:00",0.173,2.22
"2016-05-31 15:45:00",8,13.15,20.24,16.85,30.09,18.08,"2016-05-31 15:34:00",16.85,"2016-05-31 15:45:00",765.7,333.7,617.6545,0.153,0.2537437,0,0.198,24.44,15.55,0.55,87.5,0.925,87.5,8.52,1.166,"2016-05-31 15:35:00",0.127,2.076
"2016-05-31 16:00:00",9,13.16,20.05,17.67,27.13,17.67,"2016-05-31 16:00:00",16.75,"2016-05-31 15:48:00",765.3,1244,1019.129,0.652,0.5256599,0,0.198,24.44,15.32,0.758,67.35,0.773,78.99,10.99,1.003,"2016-05-31 15:55:00",0.165,1.927
"2016-05-31 16:15:00",10,13.17,20.08,18.08,25.4,18.08,"2016-05-31 16:11:00",17.74,"2016-05-31 16:01:00",765.3,1167,1070.669,0.618,0.5715986,0,0.198,24.44,15.13,0.882,73.41,0.862,77.4,8.56,0.983,"2016-05-31 16:10:00",0.182,1.781
"2016-05-31 16:30:00",11,13.13,20.29,18.08,28.09,18.48,"2016-05-31 16:23:00",18.08,"2016-05-31 16:16:00",765.3,941,859.4885,0.462,0.3038485,0,0.198,24.44,15.07,0.869,69.33,0.74,81.5,17.6,0.897,"2016-05-31 16:29:00",0.128,1.618
"2016-05-31 16:45:00",12,13.13,20.37,18.08,28.39,18.08,"2016-05-31 16:45:00",17.8,"2016-05-31 16:33:00",765.3,996,834.5328,0.525,0.354158,0,0.198,24.44,14.93,0.671,88.5,0.808,76.4,6.283,0.907,"2016-05-31 16:40:00",0.141,1.457
"2016-05-31 17:00:00",13,13.15,20.61,17.46,27.2,18.31,"2016-05-31 16:48:00",17.46,"2016-05-31 17:00:00",764.5,168.5,495.421,0.07,0.2240333,0,0.198,24.44,14.81,0.33,70.93,0.647,73.61,3.259,0.851,"2016-05-31 16:49:00",0.104,1.298
"2016-05-31 17:15:00",14,13.16,20.15,17.87,27.07,17.87,"2016-05-31 17:12:00",17.06,"2016-05-31 17:04:00",764.5,785.4,510.1065,0.421,0.2608839,0,0.198,24.43,14.81,0.263,122.7,0.257,90.2,17.91,0.501,"2016-05-31 17:09:00",0.077,1.136
"2016-05-31 17:30:00",15,13.16,19.76,18.21,26.79,18.21,"2016-05-31 17:29:00",17.8,"2016-05-31 17:17:00",764.5,415.8,371.1486,0.083,0.2643932,0,0.198,24.43,14.78,0.544,82.4,0.437,109.4,22.37,0.676,"2016-05-31 17:29:00",0.092,0.978
"2016-05-31 17:45:00",16,13.13,19.47,17.74,25.37,18.35,"2016-05-31 17:32:00",17.7,"2016-05-31 17:43:00",764.5,299.5,369.9689,0.137,0.1170497,0,0.198,24.43,14.71,0.745,107.4,0.649,96.8,5.82,0.818,"2016-05-31 17:40:00",0.083,0.819
"2016-05-31 18:00:00",17,13.18,18.92,17.46,20.95,17.74,"2016-05-31 17:46:00",17.43,"2016-05-31 17:52:00",764.4,166,295.64,0.15,0.2339097,0,0.197,24.43,14.59,0.506,121.9,0.526,122.6,7.057,0.707,"2016-05-31 17:46:00",0.084,0.669
"2016-05-31 18:15:00",18,13.2,18.43,17.67,24.21,17.84,"2016-05-31 18:07:00",17.53,"2016-05-31 18:01:00",764.4,110.4,112.3269,0.065,0.06718482,0,0.197,24.41,14.54,0.207,63.35,0.119,42.05,51.09,0.312,"2016-05-31 18:01:00",0.026,0.518
"2016-05-31 18:30:00",19,13.23,17.99,18.02,29.18,18.02,"2016-05-31 18:30:00",17.47,"2016-05-31 18:18:00",764.4,105.3,91.644,0.051,0.04717068,0,0.197,24.41,14.47,0.178,333.2,0.13,301.4,33.41,0.483,"2016-05-31 18:25:00",0.023,0.377
"2016-05-31 18:45:00",20,13.23,17.74,18.37,28.3,18.43,"2016-05-31 18:41:00",18.05,"2016-05-31 18:31:00",764.4,157.4,106.997,0.066,0.04968221,0,0.197,24.41,14.43,0,305.6,0.083,288.2,10.52,0.359,"2016-05-31 18:33:00",0.019,0.248
"2016-05-31 19:00:00",21,13.21,17.41,17.69,29.05,18.37,"2016-05-31 18:48:00",17.69,"2016-05-31 19:00:00",764,64.18,70.955,0.033,0.03516334,0,0.197,24.41,14.34,0,269.3,0.084,275,8.18,0.333,"2016-05-31 18:49:00",0.016,0.14
"2016-05-31 19:15:00",22,13.18,17.06,17.31,30.95,17.69,"2016-05-31 19:01:00",17.31,"2016-05-31 19:15:00",764,62.47,55.75771,0.032,0.02847418,0,0.197,24.41,14.24,0,279.4,0,0,0,0,"2016-05-31 19:01:00",-0.014,0.067
"2016-05-31 19:30:00",23,13.2,16.71,16.94,33.4,17.28,"2016-05-31 19:16:00",16.94,"2016-05-31 19:29:00",764,61.61,56.88723,0.035,0.0299033,0,0.197,24.41,14.19,0.343,259.2,0.152,263.1,4.438,0.343,"2016-05-31 19:30:00",0.017,0
"2016-05-31 19:45:00",24,13.04,16.44,16.87,33.2,16.97,"2016-05-31 19:42:00",16.87,"2016-05-31 19:45:00",764,36.8,43.12751,0.02,0.02337021,0,0.197,24.41,14.12,0,311.8,0.085,281,15.78,0.318,"2016-05-31 19:32:00",0.012,0
"2016-05-31 20:00:00",25,12.93,16.07,16.6,31.87,16.87,"2016-05-31 19:46:00",16.6,"2016-05-31 19:54:00",764.3,20.54,26.18456,0.011,0.01395487,0,0.197,24.41,14.04,0,322.4,0,0,0,0,"2016-05-31 19:46:00",0.003,0
"2016-05-31 20:15:00",26,12.85,15.7,16.09,27.76,16.56,"2016-05-31 20:01:00",16.09,"2016-05-31 20:15:00",764.3,7.702,11.75748,0.004,0.005824562,0,0.197,24.41,13.95,0,49.94,0,0,0,0,"2016-05-31 20:01:00",0.002,0
"2016-05-31 20:30:00",27,12.8,15.31,16.05,32.89,16.12,"2016-05-31 20:26:00",15.92,"2016-05-31 20:20:00",764.3,3.423,4.518374,0.001,0.001669355,0,0.197,24.41,13.85,0,7.969,0,0,0,0,"2016-05-31 20:16:00",0.001,0
"2016-05-31 20:45:00",28,12.79,15,16.05,33.71,16.09,"2016-05-31 20:35:00",15.99,"2016-05-31 20:41:00",764.3,0.856,1.386412,0,0.0002762409,0,0.197,24.41,13.76,0.126,297.8,0.296,307.9,16.02,0.662,"2016-05-31 20:39:00",0.022,0
"2016-05-31 21:00:00",29,12.77,14.8,15.92,34.15,16.09,"2016-05-31 20:50:00",15.92,"2016-05-31 20:57:00",764.3,0,0.1540499,0,0,0,0.197,24.41,13.69,0.025,305.3,0.224,316.3,10.09,0.361,"2016-05-31 20:57:00",0.017,0
"2016-05-31 21:15:00",30,12.77,14.61,15.41,33.5,15.88,"2016-05-31 21:01:00",15.37,"2016-05-31 21:12:00",764.3,0,0,0,0,0,0.197,24.4,13.62,0.387,263.9,0.331,254.3,11.6,0.492,"2016-05-31 21:11:00",0.023,0
"2016-05-31 21:30:00",31,12.75,14.44,15.51,33.95,15.55,"2016-05-31 21:28:00",15.38,"2016-05-31 21:17:00",764.3,0,0,0,0,0,0.197,24.4,13.56,0.219,214.3,0.378,247.7,12.47,0.635,"2016-05-31 21:20:00",0.026,0
"2016-05-31 21:45:00",32,12.74,14.28,15.38,31.74,15.58,"2016-05-31 21:36:00",15.38,"2016-05-31 21:44:00",764.3,0,0,0,0,0,0.197,24.4,13.49,0,234.1,0.05,228.1,1.708,0.253,"2016-05-31 21:33:00",0.005,0
"2016-05-31 22:00:00",33,12.74,14.09,15.28,32.86,15.35,"2016-05-31 21:46:00",15.28,"2016-05-31 21:50:00",764,0,0,0,0,0,0.197,24.4,13.42,0,255.8,0.034,252.8,4.218,0.235,"2016-05-31 21:47:00",0.004,0
"2016-05-31 22:15:00",34,12.72,13.85,14.94,35.99,15.28,"2016-05-31 22:01:00",14.94,"2016-05-31 22:15:00",764,0,0,0,0,0,0.197,24.4,13.35,0,263,0,0,0,0,"2016-05-31 22:01:00",0.001,0
