"TOA5","Nyack HA07 MET","CR1000","43363","CR1000.Std.22","CPU:Nyack_Met corrected_5_15_12.CR1","34329","Batt24hr"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2012-05-16 00:00:00",0,12.38
"2012-05-17 00:00:00",1,12.27
"2012-05-18 00:00:00",2,12.36
"2012-05-19 00:00:00",3,12.36
"2012-05-20 00:00:00",4,12.31
"2012-05-21 00:00:00",5,12.32
"2012-05-22 00:00:00",6,12.38
"2012-05-23 00:00:00",7,12.42
"2012-05-24 00:00:00",8,12.36
"2012-05-25 00:00:00",9,12.37
"2012-05-26 00:00:00",10,12.37
"2012-05-27 00:00:00",11,12.53
"2012-05-28 00:00:00",12,12.55
"2012-05-29 00:00:00",13,12.51
"2012-05-30 00:00:00",14,12.49
"2012-05-31 00:00:00",15,12.51
"2012-06-01 00:00:00",16,12.44
"2012-06-02 00:00:00",17,12.51
"2012-06-03 00:00:00",18,12.5
"2012-06-04 00:00:00",19,12.5
"2012-06-05 00:00:00",20,12.52
"2012-06-06 00:00:00",21,12.48
"2012-06-07 00:00:00",22,12.47
"2012-06-08 00:00:00",23,12.42
"2012-06-09 00:00:00",24,12.53
"2012-06-10 00:00:00",25,12.46
"2012-06-11 00:00:00",26,12.47
"2012-06-12 00:00:00",27,12.45
"2012-06-13 00:00:00",28,12.5
"2012-06-14 00:00:00",29,12.53
"2012-06-15 00:00:00",30,12.46
"2012-06-16 00:00:00",31,12.45
"2012-06-17 00:00:00",32,12.43
"2012-06-18 00:00:00",33,12.54
"2012-06-19 00:00:00",34,12.45
"2012-06-20 00:00:00",35,12.45
"2012-06-21 00:00:00",36,12.46
"2012-06-22 00:00:00",37,12.45
"2012-06-23 00:00:00",38,12.51
"2012-06-24 00:00:00",39,12.49
"2012-06-25 00:00:00",40,12.51
"2012-06-26 00:00:00",41,12.51
"2012-06-27 00:00:00",42,12.51
"2012-06-28 00:00:00",43,12.46
"2012-06-29 00:00:00",44,12.43
"2012-06-30 00:00:00",45,12.5
"2012-07-01 00:00:00",46,12.49
"2012-07-02 00:00:00",47,12.53
"2012-07-03 00:00:00",48,12.51
"2012-07-04 00:00:00",49,12.46
"2012-07-05 00:00:00",50,12.41
"2012-07-06 00:00:00",51,12.42
"2012-07-07 00:00:00",52,12.41
"2012-07-08 00:00:00",53,12.43
"2012-07-09 00:00:00",54,12.45
"2012-07-10 00:00:00",55,12.46
"2012-07-11 00:00:00",56,12.46
"2012-07-12 00:00:00",57,12.47
"2012-07-13 00:00:00",58,12.43
"2012-07-14 00:00:00",59,12.48
"2012-07-15 00:00:00",60,12.52
"2012-07-16 00:00:00",61,12.48
"2012-07-17 00:00:00",62,12.52
"2012-07-18 00:00:00",63,12.48
"2012-07-19 00:00:00",64,12.45
"2012-07-20 00:00:00",65,12.46
"2012-07-21 00:00:00",66,12.48
"2012-07-22 00:00:00",67,12.47
"2012-07-23 00:00:00",68,12.41
"2012-07-24 00:00:00",69,12.47
"2012-07-25 00:00:00",70,12.41
"2012-07-26 00:00:00",71,12.45
"2012-07-27 00:00:00",72,12.45
"2012-07-28 00:00:00",73,12.45
"2012-07-29 00:00:00",74,12.47
"2012-07-30 00:00:00",75,12.41
"2012-07-31 00:00:00",76,12.4
"2012-08-01 00:00:00",77,12.41
"2012-08-02 00:00:00",78,12.42
"2012-08-03 00:00:00",79,12.39
"2012-08-04 00:00:00",80,12.44
"2012-08-05 00:00:00",81,12.39
"2012-08-06 00:00:00",82,12.41
"2012-08-07 00:00:00",83,12.41
