"TOA5","CR1000_CabinHA08","CR1000","43361","CR1000.Std.22","CPU:Nyack_Cabin_corrected_1hr_4_26_12.CR1","5064","Table1"
"TIMESTAMP","RECORD","DoConc1","DoSat1","DO_W_T1","Cond1","Ct1","Cond_W_T1","Lvl_m1","Lvl_W_T1","DoConc2","DoSat2","Do_W_T2","Cond_2","Ct_2","Cond_W_T2","Lvl_m_2","Lvl_W_T2"
"TS","RN","mg/L","%","oC","mS/cm","mS/cm","Deg C","meters","deg C","mg/L","%","oC","mS/cm","mS/cm","Deg C","meters","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-06-08 13:00:00",890,4.535,40.65,5.371,0.306,0.1838894,5.011,2.655,4.94,10.05,93.4,6.59,0.174,0.1096673,6.483,0.53,6.591
"2012-06-08 14:00:00",891,4.596,40.87,5.075,0.306,0.1836394,5.03,2.654,4.941,10.42,98.6,7.297,0.174,0.111729,7.067,0.528,7.151
"2012-06-08 15:00:00",892,4.595,40.87,5.073,0.305,0.1833315,5.03,2.652,4.941,10.26,97.9,7.612,0.177,0.1151897,7.468,0.525,7.52
"2012-06-08 16:00:00",893,4.599,40.9,5.072,0.305,0.1832704,5.028,2.65,4.942,10.25,98.3,7.834,0.175,0.1143041,7.681,0.524,7.741
"2012-06-08 17:00:00",894,4.588,40.87,5.135,0.305,0.1832589,5.033,2.648,4.943,10.17,97.2,7.683,0.175,0.1141674,7.598,0.523,7.65
"2012-06-08 18:00:00",895,4.598,40.91,5.088,0.305,0.1833314,5.011,2.646,4.944,10.15,96.8,7.587,0.175,0.1137451,7.448,0.522,7.547
"2012-06-08 19:00:00",896,4.592,40.9,5.127,0.305,0.1833314,5.02,2.645,4.944,9.93,94.3,7.42,0.177,0.1145226,7.321,0.521,7.411
"2012-06-08 20:00:00",897,4.604,40.95,5.077,0.305,0.183395,5.017,2.643,4.945,9.77,92.2,7.147,0.179,0.1147891,7.073,0.521,7.144
"2012-06-08 21:00:00",898,4.604,40.95,5.079,0.305,0.1834041,5.067,2.642,4.946,9.54,89.3,6.862,0.177,0.11285,6.803,0.52,6.9
"2012-06-08 22:00:00",899,4.604,40.96,5.089,0.305,0.1833131,5.005,2.64,4.946,9.46,88.1,6.623,0.178,0.1120075,6.546,0.519,6.666
"2012-06-08 23:00:00",900,4.609,41,5.076,0.305,0.183497,5.103,2.639,4.947,9.34,86.6,6.467,0.179,0.1123783,6.421,0.519,6.511
"2012-06-09 00:00:00",901,4.608,40.99,5.075,0.305,0.1833068,5.031,2.638,4.948,9.32,86.2,6.346,0.179,0.1119665,6.242,0.518,6.4
"2012-06-09 01:00:00",902,4.609,40.99,5.074,0.305,0.1833068,5.033,2.637,4.949,9.32,86,6.273,0.179,0.1119155,6.214,0.518,6.316
"2012-06-09 02:00:00",903,4.612,41.02,5.074,0.305,0.1833794,5.04,2.635,4.949,9.44,86.9,6.174,0.178,0.1106033,6.076,0.517,6.209
"2012-06-09 03:00:00",904,4.612,41.02,5.075,0.305,0.1833203,5.031,2.634,4.95,9.36,85.9,6.051,0.179,0.1110225,5.989,0.517,6.115
"2012-06-09 04:00:00",905,4.613,41.03,5.076,0.306,0.1834525,5.022,2.633,4.951,9.4,86.1,5.978,0.179,0.1104918,5.865,0.516,6.015
"2012-06-09 05:00:00",906,4.615,41.05,5.074,0.305,0.1834326,5.032,2.632,4.952,9.38,85.9,5.977,0.18,0.1109675,5.855,0.516,6.005
"2012-06-09 06:00:00",907,4.614,41.04,5.074,0.306,0.1835012,5.026,2.631,4.952,9.54,87.4,5.97,0.18,0.1109577,5.888,0.516,6.001
"2012-06-09 07:00:00",908,4.619,41.08,5.076,0.305,0.1834306,5.027,2.63,4.953,9.83,90.2,6.053,0.179,0.1106769,5.918,0.516,6.054
"2012-06-09 08:00:00",909,4.619,41.08,5.077,0.306,0.1834823,5.009,2.629,4.954,10.09,93,6.248,0.179,0.1111602,6.093,0.516,6.225
"2012-06-09 09:00:00",910,4.618,41.07,5.074,0.305,0.1834481,5.043,2.628,4.955,10.27,95,6.381,0.177,0.1108664,6.273,0.516,6.346
"2012-06-09 10:00:00",911,4.623,41.12,5.077,0.305,0.1834041,5.043,2.627,4.955,10.29,95.4,6.432,0.178,0.1112719,6.263,0.516,6.413
"2012-06-09 11:00:00",912,4.623,41.12,5.073,0.306,0.1836468,5.02,2.626,4.956,10.41,97,6.666,0.178,0.1120937,6.492,0.516,6.61
"2012-06-09 12:00:00",913,4.624,41.13,5.077,0.305,0.1836436,5.094,2.625,4.957,10.67,99.6,6.739,0.177,0.1114276,6.557,0.515,6.628
"2012-06-09 13:00:00",914,4.623,41.12,5.075,0.306,0.183574,5.04,2.624,4.958,10.34,97,6.908,0.177,0.112126,6.745,0.515,6.861
"2012-06-09 14:00:00",915,4.626,41.15,5.078,0.305,0.1836101,5.054,2.622,4.958,10.34,96.5,6.739,0.179,0.1128767,6.614,0.514,6.734
"2012-06-09 15:00:00",916,4.626,41.15,5.077,0.306,0.1834772,5.024,2.621,4.959,10.37,96.7,6.687,0.177,0.111606,6.594,0.514,6.693
"2012-06-09 16:00:00",917,4.63,41.18,5.076,0.305,0.1835253,5.04,2.62,4.96,10.41,97,6.682,0.177,0.1117309,6.571,0.514,6.675
"2012-06-09 17:00:00",918,4.63,41.18,5.076,0.306,0.1835253,5.023,2.62,4.961,10.45,97.3,6.617,0.177,0.1112165,6.476,0.513,6.616
"2012-06-09 18:00:00",919,4.629,41.17,5.078,0.306,0.183679,5.044,2.619,4.962,10.26,95.2,6.494,0.176,0.110823,6.41,0.513,6.525
"2012-06-09 19:00:00",920,4.632,41.2,5.074,0.306,0.1837196,5.054,2.618,4.962,10.16,93.8,6.296,0.176,0.1101183,6.245,0.512,6.339
"2012-06-09 20:00:00",921,4.631,41.2,5.084,0.306,0.1836053,5.026,2.618,4.963,9.9,91,6.102,0.178,0.1106283,6.033,0.512,6.172
"2012-06-09 21:00:00",922,4.633,41.21,5.075,0.306,0.1837916,5.046,2.617,4.964,9.68,88.5,5.93,0.179,0.110492,5.917,0.511,6.011
"2012-06-09 22:00:00",923,4.633,41.22,5.082,0.306,0.1837925,5.061,2.616,4.964,9.61,87.6,5.831,0.178,0.1097317,5.807,0.51,5.9
"2012-06-09 23:00:00",924,4.633,41.21,5.079,0.306,0.183671,5.042,2.615,4.965,9.5,86.4,5.731,0.181,0.110904,5.681,0.51,5.799
"2012-06-10 00:00:00",925,4.636,41.24,5.079,0.306,0.183671,5.042,2.614,4.966,9.54,86.7,5.651,0.179,0.1098311,5.613,0.509,5.724
"2012-06-10 01:00:00",926,4.637,41.25,5.081,0.305,0.183671,5.071,2.613,4.967,9.57,86.8,5.59,0.18,0.1099859,5.574,0.509,5.654
"2012-06-10 02:00:00",927,4.637,41.25,5.083,0.305,0.183671,5.061,2.612,4.967,9.52,86.3,5.583,0.18,0.1099638,5.506,0.509,5.636
"2012-06-10 03:00:00",928,4.639,41.27,5.083,0.305,0.183671,5.071,2.611,4.968,9.52,86.2,5.565,0.18,0.1100081,5.487,0.508,5.617
"2012-06-10 04:00:00",929,4.637,41.26,5.088,0.306,0.1837925,5.042,2.611,4.969,9.58,86.7,5.533,0.18,0.109577,5.448,0.509,5.581
"2012-06-10 05:00:00",930,4.638,41.26,5.084,0.307,0.1837925,4.965,2.611,4.97,9.56,86.5,5.49,0.182,0.1106938,5.439,0.509,5.546
"2012-06-10 06:00:00",931,4.638,41.27,5.095,0.306,0.1837925,5.046,2.614,4.971,9.68,87.5,5.436,0.18,0.1093417,5.385,0.509,5.498
"2012-06-10 07:00:00",932,4.639,41.27,5.089,0.306,0.183743,5.058,2.617,4.971,9.75,88,5.399,0.179,0.1085378,5.3,0.51,5.46
