"TOA5","CR1000_HA08 Cabin","CR1000","43361","CR1000.Std.22","CPU:Nyack_Cabin_corrected_1hr_4_26_12.CR1","5064","Table1"
"TIMESTAMP","RECORD","DoConc1","DoSat1","DO_W_T1","Cond1","Ct1","Cond_W_T1","Lvl_m1","Lvl_W_T1","DoConc2","DoSat2","Do_W_T2","Cond_2","Ct_2","Cond_W_T2","Lvl_m_2","Lvl_W_T2"
"TS","RN","mg/L","%","oC","mS/cm","mS/cm","Deg C","meters","deg C","mg/L","%","oC","mS/cm","mS/cm","Deg C","meters","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-08-23 07:00:00",2708,4.877,44.68,6.531,0.316,0.1992829,6.526,2.391,6.458,-0.015,-0.144,7.916,0.31,0.2036519,7.856,0.345,7.923
"2012-08-23 08:00:00",2709,4.879,44.69,6.528,0.316,0.199305,6.523,2.391,6.459,2.567,24.54,8.23,0.308,0.2046706,8.21,0.346,8.22
"2012-08-23 09:00:00",2710,4.878,44.69,6.529,0.316,0.1993842,6.507,2.39,6.459,5.205,50.47,8.83,0.288,0.1945639,8.8,0.346,8.75
"2012-08-23 10:00:00",2711,4.876,44.67,6.532,0.316,0.1992224,6.571,2.389,6.461,7.385,73.21,9.75,0.281,0.1945298,9.65,0.346,9.53
"2012-08-23 11:00:00",2712,4.879,44.7,6.533,0.316,0.1995602,6.529,2.389,6.462,8.56,86,10.34,0.28,0.1973394,10.27,0.347,10.03
"2012-08-23 12:00:00",2713,4.879,44.7,6.528,0.316,0.1994757,6.554,2.388,6.463,9,91.6,10.85,0.277,0.1981216,10.76,0.346,10.5
"2012-08-23 13:00:00",2714,4.878,44.69,6.531,0.316,0.1993962,6.578,2.386,6.463,9.35,96.4,11.41,0.276,0.2005201,11.38,0.346,11.03
"2012-08-23 14:00:00",2715,4.878,44.69,6.533,0.316,0.199321,6.554,2.385,6.465,9.72,100.8,11.68,0.275,0.2019341,11.66,0.345,11.29
"2012-08-23 15:00:00",2716,4.877,44.69,6.539,0.316,0.1995637,6.569,2.384,6.465,9.34,97.4,11.92,0.276,0.203671,11.89,0.345,11.37
"2012-08-23 16:00:00",2717,4.878,44.69,6.534,0.316,0.1994401,6.549,2.385,6.467,8.48,87.4,11.42,0.277,0.2025512,11.5,0.346,10.95
"2012-08-23 17:00:00",2718,4.88,44.71,6.532,0.316,0.1993451,6.507,2.384,6.467,6.689,67.56,10.55,0.28,0.1998487,10.64,0.345,10.1
"2012-08-23 18:00:00",2719,4.882,44.73,6.538,0.316,0.1994298,6.512,2.384,6.468,5.403,53.92,10.04,0.284,0.1996855,10.17,0.345,9.67
"2012-08-23 19:00:00",2720,4.881,44.73,6.541,0.316,0.1995114,6.539,2.384,6.47,4.704,46.55,9.68,0.287,0.1997672,9.76,0.345,9.38
"2012-08-23 20:00:00",2721,4.879,44.7,6.539,0.316,0.1993417,6.545,2.384,6.47,3.903,38.35,9.38,0.29,0.1995969,9.4,0.345,9.13
"2012-08-23 21:00:00",2722,4.878,44.71,6.546,0.316,0.1993757,6.538,2.385,6.472,1.396,13.65,9.19,0.291,0.1995065,9.25,0.344,9.04
"2012-08-23 22:00:00",2723,4.88,44.73,6.547,0.316,0.1992115,6.542,2.386,6.473,-0.011,-0.108,9.04,0.294,0.1999626,9.06,0.345,8.98
"2012-08-23 23:00:00",2724,4.877,44.71,6.553,0.316,0.1992908,6.497,2.387,6.474,-0.012,-0.121,8.95,0.298,0.2021586,8.96,0.345,8.87
"2012-08-24 00:00:00",2725,4.878,44.72,6.555,0.316,0.1994947,6.52,2.387,6.474,-0.013,-0.126,8.83,0.304,0.2058652,8.83,0.345,8.77
"2012-08-24 01:00:00",2726,4.879,44.72,6.551,0.316,0.1993711,6.535,2.387,6.475,-0.014,-0.133,8.76,0.307,0.2069941,8.74,0.345,8.69
"2012-08-24 02:00:00",2727,4.879,44.73,6.555,0.317,0.1994498,6.493,2.388,6.477,-0.014,-0.131,8.68,0.309,0.2078296,8.67,0.345,8.63
"2012-08-24 03:00:00",2728,4.881,44.74,6.554,0.317,0.1994509,6.508,2.388,6.478,-0.014,-0.137,8.59,0.31,0.2078308,8.55,0.345,8.57
"2012-08-24 04:00:00",2729,4.884,44.77,6.554,0.316,0.1994509,6.539,2.39,6.48,-0.015,-0.14,8.43,0.311,0.2077052,8.41,0.345,8.42
"2012-08-24 05:00:00",2730,4.881,44.74,6.556,0.316,0.1995749,6.605,2.389,6.479,-0.015,-0.142,8.28,0.312,0.207454,8.26,0.345,8.3
"2012-08-24 06:00:00",2731,4.882,44.76,6.554,0.316,0.1994509,6.545,2.389,6.482,-0.015,-0.143,8.14,0.312,0.2070772,8.15,0.345,8.16
"2012-08-24 07:00:00",2732,4.882,44.75,6.553,0.316,0.1993714,6.526,2.389,6.482,-0.015,-0.143,8.09,0.313,0.2068689,8.05,0.345,8.1
"2012-08-24 08:00:00",2733,4.883,44.76,6.553,0.316,0.1994544,6.56,2.388,6.484,-0.014,-0.137,8.19,0.313,0.2073243,8.14,0.345,8.17
"2012-08-24 09:00:00",2734,4.879,44.73,6.558,0.316,0.1995033,6.561,2.388,6.485,-0.014,-0.13,8.38,0.311,0.2071208,8.31,0.345,8.34
"2012-08-24 10:00:00",2735,4.88,44.74,6.559,0.316,0.1994923,6.57,2.387,6.486,-0.006,-0.06,8.6,0.308,0.2062323,8.46,0.345,8.5
"2012-08-24 11:00:00",2736,4.881,44.75,6.561,0.316,0.1994923,6.527,2.387,6.487,5.375,52.47,9.12,0.295,0.2006173,9,0.346,8.98
"2012-08-24 12:00:00",2737,4.882,44.76,6.555,0.316,0.1994896,6.57,2.386,6.489,3.007,29.44,9.24,0.285,0.1946724,9.14,0.345,9.11
"2012-08-24 13:00:00",2738,4.882,44.76,6.562,0.316,0.1995119,6.57,2.387,6.489,4.449,43.59,9.26,0.283,0.1939544,9.23,0.345,9.13
"2012-08-24 14:00:00",2739,4.881,44.75,6.559,0.316,0.1994675,6.57,2.385,6.489,6.494,63.86,9.42,0.283,0.1941579,9.33,0.345,9.25
"2012-08-24 15:00:00",2740,4.88,44.76,6.571,0.316,0.1994239,6.535,2.385,6.49,7.483,74.43,9.89,0.279,0.1943621,9.8,0.345,9.69
"2012-08-24 16:00:00",2741,4.882,44.76,6.564,0.316,0.1994626,6.553,2.385,6.491,7.002,69.1,9.56,0.28,0.1931678,9.53,0.345,9.31
"2012-08-24 17:00:00",2742,4.882,44.77,6.576,0.316,0.199614,6.541,2.385,6.492,6.973,68.55,9.41,0.278,0.1907366,9.34,0.344,9.22
"2012-08-24 18:00:00",2743,4.88,44.76,6.577,0.316,0.1995473,6.547,2.386,6.493,7.102,69.37,9.14,0.275,0.1874838,9.08,0.345,8.97
"2012-08-24 19:00:00",2744,4.88,44.76,6.576,0.316,0.1995473,6.538,2.385,6.494,6.188,60.11,8.9,0.274,0.1857744,8.87,0.345,8.79
"2012-08-24 20:00:00",2745,4.883,44.78,6.574,0.316,0.1995589,6.544,2.385,6.495,0.05,0.481,8.69,0.275,0.1851757,8.65,0.345,8.7
"2012-08-24 21:00:00",2746,4.879,44.76,6.581,0.316,0.1993794,6.531,2.386,6.495,-0.011,-0.105,8.55,0.289,0.1936962,8.5,0.345,8.58
"2012-08-24 22:00:00",2747,4.879,44.76,6.578,0.316,0.1996025,6.535,2.386,6.498,-0.013,-0.125,8.41,0.303,0.2028461,8.42,0.345,8.44
"2012-08-24 23:00:00",2748,4.882,44.77,6.578,0.316,0.1996165,6.58,2.387,6.499,-0.013,-0.126,8.26,0.31,0.206239,8.27,0.345,8.31
"2012-08-25 00:00:00",2749,4.881,44.77,6.575,0.316,0.199447,6.532,2.387,6.5,-0.014,-0.137,8.12,0.312,0.2066966,8.11,0.345,8.16
