"TOA5","Nyack HA12 CH4","CR1000","43364","CR1000.Std.22","CPU:Nyack_HA12_corrected test.CR1","41265","Table1"
"TIMESTAMP","RECORD","DoConc5","DoSat5","DO_W_T5","Cond5","Ct5","Cond_W_T5","Lvl_m5","Lvl_W_T5"
"TS","RN","mg/L","%","oC","mS/cm","mS/cm","Deg C","meters","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-04-10 13:20:00",0,"NAN",0,0,"NAN","NAN",-108.9,"NAN",0
"2012-04-10 13:25:00",1,"NAN",0,0,0.276,0.2217933,15.2,"NAN",0
"2012-04-10 13:35:00",2,9.09,100.7,15.04,0.28,0.2213967,14.55,0.25,14.3
"2012-04-10 13:40:00",3,8.97,98.8,14.77,0.28,0.2220139,14.59,0.242,14.34
"2012-04-24 10:10:00",4,8.74,69.62,1.161,0.225,0.1178469,1.174,3.923,1.201
"2012-04-24 10:15:00",5,8.74,69.64,1.158,0.225,0.1178621,1.221,3.945,1.201
"2012-04-24 10:20:00",6,8.74,69.67,1.155,0.225,0.1181003,1.249,3.946,1.198
"2012-04-24 10:25:00",7,8.73,69.58,1.156,0.225,0.1179003,1.199,3.935,1.2
"2012-04-24 10:30:00",8,8.74,69.64,1.166,0.227,0.1192004,1.247,3.917,1.205
"2012-04-24 10:35:00",9,8.72,69.48,1.169,0.225,0.1176416,1.188,3.911,1.207
"2012-04-24 10:40:00",10,8.71,69.42,1.17,0.225,0.1175855,1.187,3.904,1.207
"2012-04-24 10:45:00",11,8.7,69.39,1.175,0.224,0.1175511,1.214,3.903,1.207
"2012-04-24 10:50:00",12,8.71,69.41,1.177,0.225,0.1175542,1.174,3.905,1.207
"2012-04-24 10:55:00",13,8.71,69.42,1.174,0.224,0.1175602,1.201,3.904,1.208
"2012-04-24 11:00:00",14,8.71,69.46,1.174,0.225,0.1175802,1.179,3.902,1.208
"2012-04-24 11:05:00",15,8.71,69.45,1.18,0.225,0.1175684,1.169,3.898,1.208
"2012-04-24 11:10:00",16,8.71,69.44,1.175,0.224,0.1175681,1.197,3.896,1.209
"2012-04-24 11:15:00",17,8.71,69.47,1.174,0.224,0.1175679,1.225,3.897,1.209
"2012-04-24 11:20:00",18,8.72,69.49,1.175,0.224,0.1175238,1.186,3.899,1.209
"2012-04-24 11:25:00",19,8.72,69.49,1.176,0.225,0.1180742,1.205,3.905,1.209
"2012-04-24 11:30:00",20,8.72,69.5,1.18,0.225,0.1180771,1.243,3.91,1.21
"2012-04-24 11:35:00",21,8.72,69.5,1.176,0.225,0.1180795,1.204,3.913,1.21
"2012-04-24 11:40:00",22,8.72,69.53,1.179,0.225,0.1181862,1.212,3.915,1.21
"2012-04-24 11:45:00",23,8.72,69.56,1.179,0.225,0.1179931,1.182,3.916,1.21
"2012-04-24 11:50:00",24,8.72,69.54,1.179,0.225,0.1178737,1.21,3.914,1.211
"2012-04-24 11:55:00",25,8.72,69.54,1.176,0.225,0.1177734,1.228,3.914,1.211
"2012-04-24 12:00:00",26,8.73,69.58,1.183,0.225,0.1180284,1.18,3.915,1.212
"2012-04-24 12:05:00",27,8.73,69.57,1.181,0.225,0.1177759,1.218,3.915,1.212
"2012-04-24 12:10:00",28,8.73,69.57,1.177,0.225,0.1177697,1.199,3.912,1.212
"2012-04-24 12:15:00",29,8.72,69.56,1.18,0.224,0.1176718,1.208,3.911,1.213
"2012-04-24 12:20:00",30,8.73,69.61,1.18,0.225,0.1177852,1.189,3.912,1.213
"2012-04-24 12:25:00",31,8.73,69.62,1.183,0.225,0.1179039,1.227,3.917,1.213
"2012-04-24 12:30:00",32,8.73,69.63,1.18,0.225,0.1176485,1.199,3.917,1.214
"2012-04-24 12:35:00",33,8.73,69.64,1.184,0.225,0.1177383,1.217,3.911,1.214
"2012-04-24 12:40:00",34,8.73,69.64,1.18,0.224,0.1176717,1.227,3.909,1.214
"2012-04-24 12:45:00",35,8.74,69.67,1.182,0.226,0.1185559,1.179,3.906,1.215
"2012-04-24 12:50:00",36,8.73,69.64,1.183,0.227,0.119028,1.198,3.905,1.215
"2012-04-24 12:55:00",37,8.73,69.65,1.184,0.227,0.1191935,1.217,3.905,1.215
"2012-04-24 13:00:00",38,8.74,69.67,1.186,0.23,0.1206307,1.198,3.906,1.215
"2012-04-24 13:05:00",39,8.74,69.66,1.183,0.229,0.1198587,1.199,3.906,1.216
"2012-04-24 13:10:00",40,8.74,69.7,1.181,0.23,0.1205722,1.189,3.909,1.216
"2012-04-24 13:15:00",41,8.74,69.7,1.18,0.232,0.1212577,1.189,3.907,1.216
"2012-04-24 13:20:00",42,8.74,69.71,1.18,0.23,0.1206258,1.207,3.91,1.217
"2012-04-24 13:25:00",43,8.74,69.7,1.184,0.23,0.1206336,1.196,3.912,1.217
"2012-04-24 13:30:00",44,8.74,69.71,1.178,0.231,0.1209751,1.224,3.913,1.217
"2012-04-24 13:35:00",45,8.74,69.72,1.182,0.232,0.1214829,1.176,3.91,1.218
"2012-04-24 13:40:00",46,8.75,69.74,1.179,0.228,0.119594,1.185,3.911,1.218
"2012-04-24 13:45:00",47,8.75,69.73,1.182,0.231,0.1212014,1.194,3.913,1.218
"2012-04-24 13:50:00",48,8.74,69.7,1.184,0.232,0.121704,1.194,3.914,1.218
"2012-04-24 13:55:00",49,8.75,69.74,1.181,0.23,0.1203852,1.183,3.915,1.219
"2012-04-24 14:00:00",50,8.75,69.76,1.185,0.23,0.1207372,1.211,3.916,1.22
"2012-04-24 14:05:00",51,8.75,69.77,1.186,0.232,0.1214291,1.2,3.914,1.219
"2012-04-24 14:10:00",52,8.75,69.8,1.182,0.233,0.1220913,1.2,3.914,1.218
"2012-04-24 14:15:00",53,8.75,69.79,1.183,0.233,0.1219023,1.18,3.916,1.219
"2012-04-24 14:20:00",54,8.75,69.81,1.182,0.233,0.1220126,1.218,3.916,1.219
"2012-04-24 14:25:00",55,8.76,69.8,1.175,0.231,0.1209288,1.198,3.917,1.22
"2012-04-24 14:30:00",56,8.75,69.8,1.181,0.231,0.120984,1.227,3.915,1.22
"2012-04-24 14:35:00",57,8.75,69.81,1.181,0.232,0.1214482,1.217,3.913,1.22
"2012-04-24 14:40:00",58,8.76,69.83,1.183,0.233,0.1219127,1.188,3.913,1.22
"2012-04-24 14:45:00",59,8.75,69.81,1.185,0.236,0.1233635,1.188,3.908,1.219
"2012-04-24 14:50:00",60,8.76,69.83,1.182,0.23,0.1207188,1.198,3.908,1.223
"2012-04-24 14:55:00",61,8.76,69.82,1.177,0.233,0.122134,1.208,3.909,1.222
"2012-04-24 15:00:00",62,8.76,69.83,1.183,0.232,0.1218353,1.208,3.911,1.221
"2012-04-24 15:05:00",63,8.76,69.86,1.184,0.232,0.1218353,1.217,3.909,1.221
"2012-04-24 15:10:00",64,8.76,69.84,1.185,0.234,0.1223997,1.188,3.908,1.222
"2012-04-24 15:15:00",65,8.76,69.87,1.181,0.233,0.1221451,1.198,3.909,1.221
"2012-04-24 15:20:00",66,8.76,69.83,1.18,0.231,0.1212352,1.207,3.913,1.222
"2012-04-24 15:25:00",67,8.76,69.84,1.185,0.231,0.1213429,1.217,3.909,1.223
"2012-04-24 15:30:00",68,8.76,69.87,1.179,0.231,0.1212902,1.207,3.909,1.223
"2012-04-24 15:35:00",69,8.76,69.83,1.18,0.231,0.1212776,1.196,3.911,1.224
"2012-04-24 15:40:00",70,8.76,69.87,1.183,0.231,0.1211098,1.224,3.908,1.223
"2012-04-24 15:45:00",71,8.77,69.89,1.181,0.231,0.1211422,1.204,3.915,1.222
"2012-04-24 15:50:00",72,8.76,69.86,1.184,0.229,0.1201792,1.232,3.916,1.225
"2012-04-24 15:55:00",73,8.76,69.85,1.18,0.229,0.1203132,1.223,3.917,1.225
"2012-04-24 16:00:00",74,8.77,69.89,1.182,0.23,0.1207525,1.203,3.915,1.225
"2012-04-24 16:05:00",75,8.77,69.9,1.185,0.229,0.120023,1.184,3.913,1.227
"2012-04-24 16:10:00",76,8.77,69.92,1.182,0.234,0.1222327,1.174,3.913,1.227
"2012-04-24 16:15:00",77,8.77,69.92,1.173,0.229,0.1200887,1.221,3.916,1.226
"2012-04-24 16:20:00",78,8.77,69.94,1.182,0.234,0.1227306,1.231,3.922,1.225
"2012-04-24 16:25:00",79,8.77,69.91,1.17,0.23,0.120762,1.212,3.926,1.222
"2012-04-24 16:30:00",80,8.77,69.91,1.179,0.23,0.1207841,1.212,3.926,1.224
"2012-04-24 16:35:00",81,8.77,69.9,1.181,0.234,0.1227194,1.212,3.929,1.226
"2012-04-24 16:40:00",82,8.77,69.92,1.18,0.231,0.1208504,1.212,3.929,1.227
"2012-04-24 16:45:00",83,8.77,69.93,1.181,0.231,0.121226,1.212,3.93,1.226
"2012-04-24 16:50:00",84,8.77,69.9,1.185,0.229,0.1201106,1.202,3.93,1.23
"2012-04-24 16:55:00",85,8.77,69.94,1.183,0.229,0.1202983,1.25,3.93,1.231
"2012-04-24 17:00:00",86,8.77,69.92,1.181,0.235,0.1232624,1.221,3.929,1.227
"2012-04-24 17:05:00",87,8.77,69.9,1.181,0.23,0.1205964,1.212,3.932,1.231
"2012-04-24 17:10:00",88,8.77,69.92,1.183,0.231,0.1213144,1.212,3.934,1.231
"2012-04-24 17:15:00",89,8.77,69.93,1.182,0.235,0.1233399,1.221,3.937,1.229
"2012-04-24 17:20:00",90,8.76,69.88,1.205,0.232,0.1216766,1.202,3.942,1.234
"2012-04-24 17:25:00",91,8.76,69.86,1.202,0.232,0.121608,1.222,3.952,1.235
"2012-04-24 17:30:00",92,8.76,69.91,1.197,0.231,0.1211245,1.204,3.948,1.234
"2012-04-24 17:35:00",93,8.76,69.92,1.198,0.234,0.1223984,1.196,3.944,1.235
"2012-04-24 17:40:00",94,8.76,69.9,1.197,0.232,0.1213729,1.207,3.941,1.235
"2012-04-24 17:45:00",95,8.76,69.91,1.198,0.233,0.12212,1.228,3.939,1.235
"2012-04-24 17:50:00",96,8.76,69.92,1.203,0.232,0.1214298,1.21,3.938,1.237
"2012-04-24 17:55:00",97,8.77,69.93,1.202,0.231,0.1210061,1.202,3.938,1.234
"2012-04-24 18:00:00",98,8.77,69.95,1.202,0.236,0.123849,1.223,3.936,1.237
"2012-04-24 18:05:00",99,8.76,69.93,1.206,0.234,0.1225339,1.215,3.935,1.236
"2012-04-24 18:10:00",100,8.77,69.94,1.184,0.234,0.1225953,1.206,3.937,1.238
"2012-04-24 18:15:00",101,8.77,69.93,1.202,0.231,0.1211493,1.226,3.937,1.239
"2012-04-24 18:20:00",102,8.77,69.94,1.198,0.233,0.1220468,1.236,3.938,1.239
"2012-04-24 18:25:00",103,8.76,69.92,1.204,0.23,0.1204598,1.208,3.939,1.239
"2012-04-24 18:30:00",104,8.76,69.92,1.208,0.232,0.1214415,1.218,3.939,1.24
"2012-04-24 18:35:00",105,8.77,69.94,1.208,0.234,0.122842,1.248,3.94,1.241
"2012-04-24 18:40:00",106,8.77,69.94,1.204,0.234,0.1226915,1.239,3.942,1.24
"2012-04-24 18:45:00",107,8.77,69.94,1.199,0.235,0.1229721,1.211,3.943,1.239
"2012-04-24 18:50:00",108,8.77,69.93,1.201,0.234,0.1229647,1.221,3.944,1.24
"2012-04-24 18:55:00",109,8.77,69.95,1.206,0.229,0.1201679,1.27,3.943,1.243
"2012-04-24 19:00:00",110,8.77,69.96,1.208,0.23,0.1205112,1.252,3.944,1.243
"2012-04-24 19:05:00",111,8.77,69.96,1.204,0.229,0.1202133,1.252,3.945,1.244
"2012-04-24 19:10:00",112,8.77,69.95,1.207,0.233,0.1225474,1.253,3.946,1.244
"2012-04-24 19:15:00",113,8.77,69.96,1.208,0.23,0.1204787,1.234,3.947,1.245
"2012-04-24 19:20:00",114,8.77,69.94,1.207,0.235,0.1231904,1.234,3.949,1.244
"2012-04-24 19:25:00",115,8.77,69.95,1.21,0.229,0.1201694,1.234,3.95,1.245
"2012-04-24 19:30:00",116,8.77,69.96,1.21,0.233,0.1220492,1.243,3.951,1.246
"2012-04-24 19:35:00",117,8.77,69.95,1.21,0.228,0.1196064,1.215,3.953,1.247
"2012-04-24 19:40:00",118,8.77,69.95,1.209,0.229,0.1200614,1.234,3.954,1.246
"2012-04-24 19:45:00",119,8.77,69.96,1.21,0.229,0.1203692,1.225,3.955,1.248
"2012-04-24 19:50:00",120,8.77,69.96,1.213,0.229,0.1203246,1.234,3.956,1.248
"2012-04-24 19:55:00",121,8.77,69.98,1.217,0.229,0.1199929,1.234,3.957,1.249
"2012-04-24 20:00:00",122,8.77,69.95,1.212,0.23,0.1209209,1.234,3.959,1.249
"2012-04-24 20:05:00",123,8.77,69.98,1.212,0.233,0.1223552,1.225,3.959,1.25
"2012-04-24 20:10:00",124,8.77,69.97,1.215,0.23,0.1207192,1.235,3.961,1.251
"2012-04-24 20:15:00",125,8.76,69.96,1.218,0.226,0.1184479,1.237,3.961,1.251
"2012-04-24 20:20:00",126,8.77,69.99,1.224,0.227,0.1189274,1.248,3.962,1.251
"2012-04-24 20:25:00",127,8.77,70,1.221,0.226,0.1187334,1.241,3.964,1.252
"2012-04-24 20:30:00",128,8.77,69.98,1.225,0.231,0.1210097,1.232,3.965,1.252
"2012-04-24 20:35:00",129,8.77,69.98,1.224,0.226,0.1185595,1.253,3.966,1.253
"2012-04-24 20:40:00",130,8.77,70,1.226,0.226,0.118648,1.254,3.967,1.254
"2012-04-24 20:45:00",131,8.77,69.98,1.225,0.226,0.1186482,1.245,3.968,1.254
"2012-04-24 20:50:00",132,8.77,69.99,1.225,0.227,0.1191666,1.235,3.969,1.255
"2012-04-24 20:55:00",133,8.77,70.03,1.225,0.225,0.1184058,1.254,3.969,1.255
"2012-04-24 21:00:00",134,8.77,70,1.228,0.225,0.1183176,1.255,3.969,1.256
"2012-04-24 21:05:00",135,8.77,70.01,1.231,0.225,0.1182956,1.235,3.971,1.256
"2012-04-24 21:10:00",136,8.77,70.01,1.227,0.225,0.1183397,1.245,3.972,1.257
"2012-04-24 21:15:00",137,8.77,69.99,1.23,0.225,0.1180614,1.255,3.974,1.257
"2012-04-24 21:20:00",138,8.77,70.03,1.232,0.225,0.1180671,1.246,3.976,1.257
"2012-04-24 21:25:00",139,8.76,69.99,1.234,0.225,0.1180282,1.266,3.977,1.258
"2012-04-24 21:30:00",140,8.77,70.04,1.229,0.225,0.1180189,1.248,3.978,1.259
"2012-04-24 21:35:00",141,8.77,70.04,1.233,0.225,0.11802,1.259,3.977,1.259
"2012-04-24 21:40:00",142,8.77,70.07,1.232,0.225,0.1180425,1.231,3.978,1.26
"2012-04-24 21:45:00",143,8.77,70.02,1.234,0.225,0.1179986,1.26,3.979,1.26
"2012-04-24 21:50:00",144,8.77,70.03,1.237,0.225,0.1180208,1.222,3.981,1.261
"2012-04-24 21:55:00",145,8.77,70.06,1.231,0.225,0.1182081,1.26,3.982,1.261
"2012-04-24 22:00:00",146,8.77,70.04,1.235,0.225,0.1179436,1.231,3.984,1.262
"2012-04-24 22:05:00",147,8.77,70.05,1.229,0.225,0.1179436,1.231,3.984,1.262
"2012-04-24 22:10:00",148,8.78,70.07,1.231,0.225,0.1179436,1.251,3.986,1.262
"2012-04-24 22:15:00",149,8.78,70.07,1.233,0.224,0.1179363,1.289,3.987,1.263
"2012-04-24 22:20:00",150,8.78,70.09,1.236,0.224,0.1179231,1.28,3.986,1.263
"2012-04-24 22:25:00",151,8.77,70.06,1.231,0.224,0.1179157,1.28,3.99,1.264
"2012-04-24 22:30:00",152,8.78,70.11,1.234,0.225,0.1178839,1.251,3.993,1.264
"2012-04-24 22:35:00",153,8.78,70.12,1.231,0.225,0.1178846,1.232,3.995,1.265
"2012-04-24 22:40:00",154,8.78,70.11,1.229,0.225,0.1178805,1.242,3.997,1.265
"2012-04-24 22:45:00",155,8.78,70.11,1.235,0.224,0.1177935,1.242,3.999,1.266
"2012-04-24 22:50:00",156,8.78,70.14,1.231,0.225,0.1178393,1.242,4.001,1.266
"2012-04-24 22:55:00",157,8.77,70.07,1.236,0.224,0.1178359,1.262,4.002,1.266
"2012-04-24 23:00:00",158,8.78,70.14,1.231,0.225,0.1178274,1.234,4.003,1.267
"2012-04-24 23:05:00",159,8.78,70.11,1.233,0.225,0.1178093,1.235,4.005,1.267
"2012-04-24 23:10:00",160,8.78,70.12,1.236,0.224,0.1177996,1.254,4.007,1.268
"2012-04-24 23:15:00",161,8.78,70.13,1.235,0.224,0.1177673,1.245,4.008,1.268
"2012-04-24 23:20:00",162,8.78,70.13,1.232,0.224,0.1177456,1.265,4.01,1.269
"2012-04-24 23:25:00",163,8.79,70.18,1.234,0.224,0.1177458,1.246,4.011,1.269
"2012-04-24 23:30:00",164,8.79,70.17,1.235,0.224,0.1177458,1.246,4.013,1.27
"2012-04-24 23:35:00",165,8.79,70.2,1.23,0.224,0.1177128,1.247,4.014,1.27
"2012-04-24 23:40:00",166,8.79,70.19,1.234,0.224,0.1177018,1.275,4.016,1.271
"2012-04-24 23:45:00",167,8.79,70.19,1.231,0.224,0.1177018,1.256,4.017,1.271
"2012-04-24 23:50:00",168,8.79,70.2,1.234,0.224,0.1176688,1.285,4.019,1.271
"2012-04-24 23:55:00",169,8.79,70.21,1.232,0.224,0.1176578,1.285,4.02,1.272
"2012-04-25 00:00:00",170,8.79,70.22,1.234,0.224,0.1176358,1.266,4.023,1.272
"2012-04-25 00:05:00",171,8.79,70.21,1.236,0.224,0.1176358,1.294,4.023,1.273
"2012-04-25 00:10:00",172,8.79,70.22,1.236,0.224,0.1176137,1.275,4.025,1.273
"2012-04-25 00:15:00",173,8.79,70.23,1.235,0.224,0.1176027,1.256,4.027,1.273
"2012-04-25 00:20:00",174,8.79,70.23,1.235,0.224,0.1175917,1.275,4.028,1.274
"2012-04-25 00:25:00",175,8.8,70.27,1.235,0.224,0.1175807,1.275,4.029,1.274
"2012-04-25 00:30:00",176,8.8,70.25,1.232,0.224,0.1175587,1.256,4.031,1.274
"2012-04-25 00:35:00",177,8.8,70.28,1.237,0.224,0.1175366,1.256,4.032,1.275
"2012-04-25 00:40:00",178,8.8,70.25,1.234,0.224,0.1175256,1.256,4.034,1.275
"2012-04-25 00:45:00",179,8.8,70.28,1.235,0.224,0.1175256,1.266,4.035,1.275
"2012-04-25 00:50:00",180,8.8,70.29,1.237,0.224,0.1175256,1.256,4.037,1.276
"2012-04-25 00:55:00",181,8.8,70.27,1.234,0.224,0.1174816,1.275,4.039,1.276
"2012-04-25 01:00:00",182,8.8,70.29,1.235,0.224,0.1174816,1.247,4.041,1.276
"2012-04-25 01:05:00",183,8.81,70.33,1.234,0.224,0.1174596,1.275,4.042,1.277
"2012-04-25 01:10:00",184,8.81,70.32,1.238,0.224,0.1174625,1.266,4.043,1.277
"2012-04-25 01:15:00",185,8.81,70.33,1.234,0.223,0.1174461,1.285,4.045,1.277
"2012-04-25 01:20:00",186,8.8,70.32,1.241,0.224,0.1174324,1.257,4.046,1.278
"2012-04-25 01:25:00",187,8.81,70.33,1.235,0.224,0.1174208,1.258,4.047,1.278
"2012-04-25 01:30:00",188,8.81,70.34,1.234,0.224,0.1174153,1.267,4.049,1.278
"2012-04-25 01:35:00",189,8.81,70.36,1.237,0.224,0.1173868,1.249,4.051,1.279
"2012-04-25 01:40:00",190,8.81,70.33,1.233,0.224,0.1173911,1.221,4.053,1.279
"2012-04-25 01:45:00",191,8.81,70.36,1.238,0.223,0.1173773,1.289,4.054,1.28
"2012-04-25 01:50:00",192,8.81,70.39,1.237,0.223,0.1173755,1.27,4.056,1.28
"2012-04-25 01:55:00",193,8.81,70.39,1.237,0.223,0.1173652,1.271,4.058,1.28
"2012-04-25 02:00:00",194,8.81,70.37,1.236,0.223,0.1173325,1.281,4.059,1.28
"2012-04-25 02:05:00",195,8.81,70.37,1.245,0.224,0.1173372,1.244,4.06,1.281
"2012-04-25 02:10:00",196,8.81,70.39,1.238,0.223,0.1173436,1.283,4.061,1.281
"2012-04-25 02:15:00",197,8.81,70.38,1.242,0.223,0.1173366,1.274,4.062,1.282
"2012-04-25 02:20:00",198,8.82,70.43,1.236,0.223,0.1173126,1.265,4.063,1.282
"2012-04-25 02:25:00",199,8.82,70.45,1.243,0.223,0.1173044,1.304,4.065,1.282
"2012-04-25 02:30:00",200,8.82,70.44,1.236,0.223,0.1173052,1.266,4.066,1.283
"2012-04-25 02:35:00",201,8.82,70.46,1.245,0.223,0.1172838,1.276,4.067,1.283
"2012-04-25 02:40:00",202,8.82,70.45,1.239,0.223,0.1172731,1.267,4.068,1.283
"2012-04-25 02:45:00",203,8.82,70.45,1.245,0.223,0.1172732,1.277,4.069,1.283
"2012-04-25 02:50:00",204,8.82,70.47,1.247,0.223,0.1172512,1.286,4.07,1.284
"2012-04-25 02:55:00",205,8.82,70.46,1.243,0.223,0.1172512,1.277,4.072,1.284
"2012-04-25 03:00:00",206,8.83,70.5,1.248,0.223,0.1172402,1.267,4.072,1.284
"2012-04-25 03:05:00",207,8.83,70.5,1.241,0.223,0.1172402,1.248,4.073,1.285
"2012-04-25 03:10:00",208,8.82,70.48,1.248,0.223,0.1172181,1.267,4.074,1.285
"2012-04-25 03:15:00",209,8.83,70.52,1.244,0.223,0.1172181,1.296,4.074,1.285
"2012-04-25 03:20:00",210,8.83,70.51,1.248,0.223,0.1172181,1.277,4.076,1.286
"2012-04-25 03:25:00",211,8.83,70.55,1.244,0.223,0.1171961,1.277,4.078,1.286
"2012-04-25 03:30:00",212,8.83,70.52,1.25,0.223,0.1171961,1.287,4.08,1.286
"2012-04-25 03:35:00",213,8.83,70.54,1.244,0.223,0.1171852,1.287,4.082,1.287
"2012-04-25 03:40:00",214,8.83,70.54,1.25,0.223,0.1171742,1.277,4.082,1.287
"2012-04-25 03:45:00",215,8.83,70.55,1.251,0.223,0.1171961,1.287,4.084,1.287
"2012-04-25 03:50:00",216,8.83,70.56,1.249,0.223,0.1171742,1.287,4.084,1.288
"2012-04-25 03:55:00",217,8.83,70.57,1.253,0.223,0.1171852,1.277,4.085,1.288
"2012-04-25 04:00:00",218,8.84,70.6,1.249,0.223,0.1171742,1.248,4.086,1.288
"2012-04-25 04:05:00",219,8.83,70.59,1.255,0.223,0.1171631,1.267,4.087,1.289
"2012-04-25 04:10:00",220,8.83,70.59,1.255,0.223,0.1171631,1.287,4.088,1.289
"2012-04-25 04:15:00",221,8.83,70.58,1.253,0.223,0.1171631,1.267,4.088,1.289
"2012-04-25 04:20:00",222,8.84,70.62,1.258,0.223,0.1171521,1.296,4.089,1.29
"2012-04-25 04:25:00",223,8.84,70.61,1.254,0.223,0.1171521,1.277,4.089,1.29
"2012-04-25 04:30:00",224,8.84,70.61,1.26,0.223,0.1171521,1.296,4.09,1.29
