"TOA5","Nyack HA15 Spring","CR1000","43358","CR1000.Std.22","CPU:Nyack_HA15_corrected test.CR1","12309","Table1"
"TIMESTAMP","RECORD","DoConc7","DoSat7","DO_W_T7","Cond7","Ct7","Cond_W_T7","Lvl_m7","Lvl_W_T7","DoConc8","DoSat8","Do_W_T8","Cond_8","Ct_8","Cond_W_T8","Lvl_m_8","Lvl_W_T8"
"TS","RN","mg/L","%","oC","mS/cm","mS/cm","Deg C","meters","deg C","mg/L","%","oC","mS/cm","mS/cm","Deg C","meters","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-04-10 09:40:00",0,"NAN",0,0,"NAN","NAN",-108.9,"NAN",0,"NAN",0,0,"NAN","NAN",-273.2,"NAN",0
"2012-04-10 09:45:00",1,"NAN",0,0,"NAN","NAN",-108.9,"NAN",0,"NAN",0,0,"NAN","NAN",-108.9,"NAN",0
"2012-04-10 09:50:00",2,"NAN",0,0,"NAN","NAN",-273.2,0.197,9.46,"NAN",0,0,"NAN","NAN",-92.4,"NAN",0
"2012-04-10 09:55:00",3,"NAN",0,0,0.311,0.2214379,10.57,0.197,9.53,"NAN",0,0,"NAN","NAN","NAN","NAN",0
"2012-04-10 10:00:00",4,"NAN",0,0,0.31,0.217419,10.09,0.198,9.74,"NAN",0,0,0.288,0.2041354,10.39,"NAN",0
"2012-04-10 10:05:00",5,"NAN",0,0,0.31,0.2177677,10.14,0.197,9.82,"NAN",0,0,0.29,0.2039871,10.19,"NAN",0
"2012-04-10 10:10:00",6,"NAN",0,0,0.301,0.2125356,10.3,0.199,9.98,"NAN",0,0,0.29,0.2037155,10.16,0.192,10.76
"2012-04-10 11:00:00",7,9.17,97.3,13.08,0.29,0.2092292,11.11,0.205,11,"NAN",0,0,0.284,0.2022416,10.58,0.201,10.9
"2012-04-10 11:05:00",8,9.32,97.3,12.37,0.288,0.2084912,11.22,0.205,11.11,"NAN",0,0,0.281,0.2021163,10.95,0.201,11.02
"2012-04-10 11:10:00",9,"NAN",97.3,12.06,0.289,0.2100912,11.29,0.211,11.21,"NAN",0,0,0.281,0.2038713,11.23,0.208,11.19
"2012-04-10 11:15:00",10,9.47,97.7,11.86,0.288,0.2098448,11.41,0.211,11.35,9.39,99.7,13.13,0.281,0.2039967,11.29,0.208,11.3
"2012-04-24 15:15:00",11,7.574,66.92,5.452,0.233,0.1395789,4.912,4.402,4.874,5.918,52.99,5.977,0.278,0.1713519,5.856,0.615,5.689
"2012-04-24 15:20:00",12,7.646,67.16,5.227,0.233,0.1396799,4.912,4.402,4.876,5.965,53.34,5.925,0.277,0.1712298,5.856,0.616,5.797
"2012-04-24 15:25:00",13,7.678,67.22,5.099,0.234,0.1399719,4.873,4.402,4.873,5.814,52.03,5.95,0.277,0.1711084,5.837,0.616,5.718
"2012-04-24 15:30:00",14,7.702,67.32,5.03,0.234,0.1401067,4.883,4.402,4.871,5.778,51.8,6.024,0.278,0.1711115,5.817,0.615,5.688
"2012-04-24 15:35:00",15,7.715,67.36,4.988,0.235,0.1403203,4.893,4.401,4.871,5.837,52.33,6.023,0.277,0.170989,5.817,0.616,5.681
"2012-04-24 15:40:00",16,7.722,67.38,4.966,"NAN","NAN",4.922,4.401,4.87,6.076,54.49,6.037,0.277,0.1707476,5.875,0.615,5.734
"2012-04-24 15:45:00",17,7.723,67.36,4.952,"NAN","NAN",4.893,4.401,4.871,5.955,53.34,5.987,0.277,0.1707514,5.856,0.617,5.73
"2012-04-24 15:50:00",18,7.727,67.4,4.954,"NAN","NAN",4.883,4.402,4.871,5.92,53.01,5.972,0.277,0.1705124,5.818,0.614,5.694
"2012-04-24 15:55:00",19,7.725,67.36,4.944,"NAN","NAN",4.864,4.402,4.872,5.886,52.73,5.994,0.276,0.1700313,5.837,0.614,5.694
"2012-04-24 16:00:00",20,7.722,67.35,4.949,"NAN","NAN",4.922,4.402,4.872,5.861,52.52,6.005,0.275,0.1697947,5.827,0.617,5.696
"2012-04-24 16:05:00",21,7.726,67.37,4.941,"NAN","NAN",4.902,4.402,4.873,5.884,52.78,6.045,0.275,0.1697889,5.818,0.615,5.704
"2012-04-24 16:10:00",22,7.729,67.4,4.948,"NAN","NAN",4.893,4.403,4.873,5.877,52.72,6.041,0.275,0.1697866,5.846,0.617,5.712
"2012-04-24 16:15:00",23,7.724,67.35,4.94,"NAN","NAN",4.902,4.403,4.873,5.875,52.7,6.046,0.275,0.1697856,5.875,0.617,5.715
"2012-04-24 16:20:00",24,7.729,67.39,4.938,"NAN","NAN",4.893,4.403,4.874,5.837,52.3,5.996,0.276,0.1701459,5.818,0.614,5.705
"2012-04-24 16:25:00",25,7.722,67.34,4.943,"NAN","NAN",4.893,4.403,4.874,5.834,52.3,6.02,0.276,0.1700255,5.818,0.611,5.698
"2012-04-24 16:30:00",26,7.726,67.36,4.939,"NAN","NAN",4.912,4.403,4.875,5.839,52.34,6.014,0.276,0.1699052,5.798,0.619,5.675
"2012-04-24 16:35:00",27,7.73,67.4,4.937,"NAN","NAN",4.931,4.403,4.875,5.883,52.7,5.993,0.276,0.1697851,5.779,0.615,5.677
"2012-04-24 16:40:00",28,7.73,67.39,4.934,"NAN","NAN",4.902,4.404,4.876,5.893,52.75,5.963,0.276,0.1699052,5.789,0.613,5.686
"2012-04-24 16:45:00",29,7.729,67.39,4.939,"NAN","NAN",4.922,4.404,4.876,5.884,52.69,5.976,0.275,0.1696682,5.798,0.616,5.683
"2012-04-24 16:50:00",30,7.729,67.4,4.941,"NAN","NAN",4.902,4.405,4.876,5.831,52.18,5.948,0.276,0.1696663,5.789,0.616,5.677
"2012-04-24 16:55:00",31,7.724,67.34,4.932,"NAN","NAN",4.883,4.404,4.877,5.798,51.88,5.946,0.276,0.1694252,5.731,0.615,5.638
"2012-04-24 17:00:00",32,7.725,67.36,4.943,"NAN","NAN",4.922,4.405,4.877,5.758,51.52,5.947,0.276,0.169688,5.74,0.616,5.636
"2012-04-24 17:05:00",33,7.723,67.33,4.935,0.234,0.1399944,4.902,4.405,4.877,5.859,52.4,5.925,0.276,0.1698336,5.74,0.617,5.628
"2012-04-24 17:10:00",34,7.728,67.37,4.934,0.235,0.1402641,4.902,4.404,4.878,5.858,52.33,5.877,0.276,0.1697239,5.721,0.616,5.601
"2012-04-24 17:15:00",35,7.726,67.36,4.94,0.234,0.1402773,4.912,4.405,4.878,5.849,52.13,5.793,0.276,0.1692476,5.635,0.617,5.553
"2012-04-24 17:20:00",36,7.724,67.34,4.935,0.235,0.1403066,4.904,4.406,4.878,5.869,52.28,5.773,0.276,0.1690089,5.635,0.616,5.543
"2012-04-24 17:25:00",37,7.727,67.38,4.943,0.235,0.1402882,4.886,4.407,4.88,5.803,51.69,5.764,0.276,0.1688897,5.569,0.617,5.499
"2012-04-24 17:30:00",38,7.725,67.35,4.939,0.235,0.1402788,4.897,4.407,4.879,5.803,51.79,5.844,0.275,0.1683094,5.6,0.617,5.491
"2012-04-24 17:35:00",39,7.729,67.38,4.932,0.235,0.1403635,4.859,4.407,4.88,5.865,52.3,5.813,0.275,0.1680894,5.601,0.617,5.538
"2012-04-24 17:40:00",40,7.726,67.36,4.938,0.235,0.1402878,4.908,4.408,4.88,5.889,52.44,5.764,0.274,0.1681023,5.64,0.616,5.519
"2012-04-24 17:45:00",41,7.726,67.36,4.94,0.235,0.1403104,4.89,4.408,4.881,5.837,51.98,5.756,0.275,0.1681104,5.593,0.616,5.493
"2012-04-24 17:50:00",42,7.732,67.41,4.934,0.234,0.1401464,4.921,4.408,4.881,5.974,53.18,5.747,0.275,0.1678738,5.576,0.617,5.509
